lga,Not stated,Inadequately described,"Eurasian, so described","Asian, so described","African, so described","European, so described","Caucasian, so described","Creole, so described","Oceanian, nfd","Australian Peoples, nfd",Australian,Australian Aboriginal,Australian South Sea Islander,Torres Strait Islander,"New Zealand Peoples, nfd",Maori,New Zealander,"Melanesian and Papuan, nfd",New Caledonian,Ni-Vanuatu,Papua New Guinean,Solomon Islander,"Melanesian and Papuan, nec (includes Bisorio,Bougainvillian, Huli)","Micronesian, nfd",I-Kiribati,Nauruan,"Micronesian, nec (includes Marianas Islander, Marshallese, Palauan)","Polynesian, nfd",Cook Islander,Fijian,Niuean,Samoan,Tongan,Hawaiian,Tahitian,Tokelauan,Tuvaluan,"Polynesian, nec (includes French Polynesian, Pitcairn Islander, Wallisian)","North-West European, nfd","British, nfd",English,Scottish,Welsh,Channel Islander,Manx,"British, nec (includes Falkland Islander)",Irish,"Western European, nfd",Austrian,Dutch,Flemish,French,German,Swiss,Belgian,Frisian,Luxembourg,"Western European, nec (includes Alsatian, Breton, Walloon)","Northern European, nfd",Danish,Finnish,Icelandic,Norwegian,Swedish,"Northern European, nec (includes Faeroese, Greenlandic, Saami)","Southern and Eastern European, nfd","Southern European, nfd",Basque,Catalan,Italian,Maltese,Portuguese,Spanish,Gibraltarian,"Southern European, nec (includes Andorran, Galician, Ladin)","South Eastern European, nfd",Albanian,Bosnian,Bulgarian,Croatian,Greek,Macedonian,Moldovan,Montenegrin,Romanian,Roma/Gypsy,Serbian,Slovene,Cypriot,Vlach,"South Eastern European, nec (includes Aromani, Karakachani)","Eastern European, nfd",Belarusan,Czech,Estonian,Hungarian,Latvian,Lithuanian,Polish,Russian,Slovak,Ukrainian,Sorb/Wend,"Eastern European, nec (includes Adygei, Khanty, Nenets)","North African and Middle Eastern, nfd","Arab, nfd",Algerian,Egyptian,Iraqi,Jordanian,Kuwaiti,Lebanese,Libyan,Moroccan,Palestinian,Saudi Arabian,Syrian,Tunisian,Yemeni,"Arab, nec (includes Baggara, Bedouin, Omani)",Jewish,"Other North African and Middle Eastern, nfd",Assyrian/Chaldean,Berber,Coptic,Iranian,Kurdish,Sudanese,Turkish,"Other North African and Middle Eastern, nec (includes Azande, Madi, Nubian)","South-East Asian, nfd","Mainland South-East Asian, nfd",Anglo-Burmese,Burmese,Hmong,Khmer,Lao,Thai,Vietnamese,Karen,Mon,"Mainland South-East Asian, nec (includes Arakanese, Chin, Shan)","Maritime South-East Asian, nfd",Filipino,Indonesian,Javanese,Madurese,Malay,Sundanese,Timorese,Acehnese,Balinese,Bruneian,Kadazan,Singaporean,Temoq,"Maritime South-East Asian, nec (includes Iban, Irian Jayan, Sumatran)","North-East Asian, nfd","Chinese Asian, nfd",Chinese,Taiwanese,"Chinese Asian, nec (includes Hui, Manchu, Yi)","Other North-East Asian, nfd",Japanese,Korean,Mongolian,Tibetan,"Other North-East Asian, nec (includes Ainu, Menba, Xiareba)","Southern and Central Asian, nfd","Southern Asian, nfd",Anglo-Indian,Bengali,Burgher,Gujarati,Indian,Malayali,Nepalese,Pakistani,Punjabi,Sikh,Sinhalese,Tamil,Maldivian,"Southern Asian, nec (includes Gurkha, Kashmiri, Marathi)","Central Asian, nfd",Afghan,Armenian,Georgian,Kazakh,Pathan,Uzbek,Azeri,Hazara,Tajik,Tatar,Turkmen,Uighur,"Central Asian, nec (includes Chechen, Circassian, Ingush)","People of the Americas, nfd","North American, nfd",African American,American,Canadian,French Canadian,Hispanic (North American),Native North American Indian,Bermudan,"North American, nec (includes Aleut, Inuit, Metis)","South American, nfd",Argentinian,Bolivian,Brazilian,Chilean,Colombian,Ecuadorian,Guyanese,Peruvian,Uruguayan,Venezuelan,Paraguayan,"South American, nec (includes Arawak, Carib, Surinamese)","Central American, nfd",Mexican,Nicaraguan,Salvadoran,Costa Rican,Guatemalan,Mayan,"Central American, nec (includes Belizean, Honduran, Panamanian)","Caribbean Islander, nfd",Cuban,Jamaican,Trinidadian (Tobagonian),Barbadian,Puerto Rican,"Caribbean Islander, nec (includes Bahamian, Grenadian, Haitian)","Sub-Saharan African, nfd","Central and West African, nfd",Akan,Ghanaian,Nigerian,Yoruba,Ivorean,Liberian,Sierra Leonean,"Central and West African, nec (includes Fang, Fulani, Kongo)","Southern and East African, nfd",Afrikaner,Angolan,Eritrean,Ethiopian,Kenyan,Malawian,Mauritian,Mozambican,Oromo,Seychellois,Somali,South African,Tanzanian,Ugandan,Zambian,Zimbabwean,Amhara,Batswana,Dinka,Hutu,Masai,Nuer,Tigrayan,Tigre,Zulu,"Southern and East African, nec (includes Afar, Namibian, Tutsi)"
Albury (C),3449,40,3,0,0,6,0,0,0,0,15873,41,0,0,0,63,80,0,0,0,3,0,0,0,0,0,0,9,0,17,0,7,14,0,0,0,5,0,5,11,16213,1834,73,0,0,0,3314,0,90,409,7,41,1959,17,11,0,0,0,3,23,25,0,14,18,0,0,0,0,0,677,48,10,60,0,0,0,10,10,0,83,205,13,0,0,6,0,95,34,0,0,0,13,0,46,6,75,17,6,174,29,9,59,0,0,0,8,0,12,0,0,0,80,0,0,0,0,4,0,0,0,3,0,0,0,0,15,3,3,0,0,0,0,0,0,0,0,103,25,9,0,0,0,0,148,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,6,10,0,0,0,0,0,11,0,0,0,123,0,0,3,0,0,19,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,19,0,0,0,0,0,0,3,0,3,10,7,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,3,0,0,3,0,47,0,0,0,5,0,0,0,0,0,0,0,0,0,3
Armidale Dumaresq (A),1554,28,3,0,4,0,0,0,0,0,8720,156,0,0,0,16,49,0,0,0,0,0,0,0,0,0,0,0,5,26,0,9,0,0,0,0,0,0,3,4,8162,941,34,0,0,0,1598,0,14,121,0,32,537,14,13,0,0,0,0,20,7,0,3,12,0,0,0,0,0,160,13,3,14,0,0,0,0,0,0,3,41,0,0,0,12,0,9,0,5,0,0,3,0,3,0,13,4,4,36,19,0,9,0,0,0,14,0,3,0,0,0,37,0,0,0,0,0,0,0,0,3,0,0,0,0,23,0,14,5,0,5,0,0,0,0,0,0,24,3,0,0,0,0,40,9,3,0,8,0,3,0,0,0,0,0,0,0,0,0,296,3,0,0,28,30,7,0,0,0,5,0,11,0,0,85,0,0,3,0,0,38,6,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,12,3,0,0,0,3,0,0,0,6,4,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,49,0,0,0,3,0,4,6,0,0,0,0,0,0,3
Ashfield (A),3812,40,9,7,27,12,0,0,17,0,5172,18,0,0,0,73,108,0,0,0,8,0,0,0,0,0,0,8,11,71,4,25,84,0,0,0,0,0,11,6,6788,779,40,0,0,0,2046,0,28,147,0,106,442,29,5,0,0,0,3,16,12,0,10,22,0,5,0,10,0,4287,120,272,295,0,0,3,7,4,16,294,1087,36,0,0,36,0,151,30,19,0,0,0,6,61,8,111,35,34,380,156,26,51,0,0,0,12,11,63,3,3,0,692,0,3,11,0,35,0,0,0,16,0,14,0,9,44,0,5,165,4,0,0,0,44,0,18,13,160,234,0,0,3,0,760,74,0,0,40,0,8,0,0,0,0,3,0,3,0,0,6218,9,0,0,153,548,0,3,0,0,27,12,215,0,16,1427,0,292,17,0,4,139,20,3,14,0,3,7,0,0,0,3,0,0,0,0,0,0,0,3,0,3,34,14,0,25,3,0,0,17,31,9,30,70,43,11,5,53,28,0,3,0,0,11,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,14,4,0,0,0,7,0,0,4,0,0,10,0,0,22,0,0,0,3,36,8,3,0,4,0,0,0,0,0,0,0,0,0,3
Auburn (A),9555,120,0,23,151,21,0,3,81,0,4990,26,6,0,0,247,88,0,0,0,17,3,0,0,0,0,0,9,89,200,22,241,563,0,0,23,0,8,0,8,5068,521,24,0,3,0,940,0,32,58,0,42,287,11,3,0,0,3,4,5,21,0,4,7,3,6,0,0,0,1013,163,103,199,0,0,6,12,196,15,700,568,89,0,4,9,0,193,34,44,0,0,4,7,17,13,60,22,17,220,410,19,213,0,0,10,590,26,218,835,57,68,4793,5,8,108,56,175,0,7,6,9,0,40,7,10,134,160,345,4300,10,3,0,0,251,0,22,29,66,1330,17,6,14,0,1332,147,0,0,61,4,10,0,0,0,0,18,0,0,0,0,12589,28,3,0,66,2008,11,0,0,0,69,30,204,0,3,1652,0,208,593,51,11,894,403,6,11,0,1458,22,0,0,6,3,11,365,0,10,25,7,16,0,0,5,26,7,0,5,0,0,0,29,30,0,6,93,14,3,0,35,35,0,3,3,0,3,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,19,13,0,7,27,25,58,0,4,0,12,69,5,0,28,0,0,0,232,51,0,3,0,8,0,0,79,10,0,0,0,0,0,35
Ballina (A),2358,38,0,3,0,7,0,0,4,0,13561,168,5,0,0,23,95,0,0,0,10,3,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,4,14917,1614,74,0,0,0,2704,0,29,288,0,38,772,33,3,0,0,0,0,39,10,0,15,28,0,0,0,0,0,652,51,3,26,0,0,0,0,0,3,38,56,6,0,0,0,0,26,14,0,0,0,3,0,4,10,32,7,14,63,28,3,12,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,14,0,0,0,3,0,0,0,3,0,0,3,20,11,0,0,0,0,66,7,0,0,3,0,0,0,0,0,0,6,0,0,0,0,123,0,0,0,28,3,0,0,0,0,0,3,3,0,0,50,0,0,0,3,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,13,3,0,3,0,0,3,3,5,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,54,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Balranald (A),182,3,0,0,0,0,0,0,0,0,928,15,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,720,73,0,0,0,0,142,0,0,7,0,0,38,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,255,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
Bankstown (C),16266,160,5,24,139,37,0,4,112,0,28525,77,6,3,0,681,260,0,0,0,11,0,0,0,0,0,0,17,222,385,6,856,315,0,0,11,0,3,9,7,26355,2713,101,0,4,0,4760,0,123,369,0,292,1605,39,15,0,0,3,6,45,69,0,18,33,0,12,0,0,0,6011,790,488,547,0,0,3,23,173,23,918,6654,3032,0,17,115,3,528,151,340,0,0,22,24,72,61,296,199,142,1170,339,42,307,0,0,37,1540,48,1167,535,221,4,24462,0,27,672,20,1017,0,9,12,3,0,207,0,130,102,134,150,561,10,0,0,0,84,0,191,67,193,11599,5,0,0,0,1271,435,0,0,91,0,3,3,4,0,0,5,0,4,0,0,10877,24,0,0,96,1305,7,0,0,0,52,35,202,3,0,2255,3,50,675,35,37,314,47,0,10,0,169,104,0,0,0,0,0,6,0,4,13,0,3,9,0,0,81,31,0,27,4,0,0,86,65,3,51,268,27,29,4,89,97,6,3,8,0,17,5,38,0,0,0,0,0,0,4,0,0,0,3,0,11,4,85,30,0,0,4,49,23,0,3,0,14,29,6,0,337,0,0,0,68,170,4,0,3,79,3,0,0,0,0,0,0,0,0,19
Bathurst Regional (A),2885,34,0,0,7,6,0,0,0,0,13260,36,0,0,0,23,56,0,0,0,3,0,0,0,0,0,0,0,3,10,0,11,16,0,0,0,0,0,3,0,13043,1305,47,0,0,0,2633,0,17,225,0,25,588,20,7,0,0,0,0,25,7,0,6,8,0,0,0,0,0,349,66,11,21,0,0,0,0,8,0,33,67,7,0,7,3,0,47,3,0,0,0,3,0,12,4,37,9,3,72,33,0,7,0,0,0,3,0,3,6,4,0,95,0,0,3,7,0,0,0,0,0,0,0,0,0,11,3,0,4,3,0,0,0,0,0,4,0,14,15,0,0,0,0,55,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,20,36,0,0,0,0,3,5,4,0,0,68,0,0,0,0,0,17,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,8,3,0,3,0,0,4,3,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Baulkham Hills (A),7881,116,39,42,58,21,0,0,11,0,37985,18,0,0,0,214,568,0,0,0,9,3,0,0,0,0,0,6,8,81,0,29,63,3,0,3,0,3,5,26,42125,4786,269,4,3,0,7288,0,205,1069,3,263,2513,142,44,0,0,3,3,126,97,0,42,82,0,12,5,0,0,6747,1661,213,607,0,0,5,10,43,29,1093,1748,124,0,8,104,0,515,142,86,0,0,30,5,153,83,408,127,58,1057,443,63,241,0,0,19,222,3,619,44,81,0,2784,0,6,118,0,122,0,3,0,8,0,102,0,47,1078,61,22,477,19,0,0,3,83,0,54,13,130,449,0,0,0,0,2445,220,0,0,180,0,4,0,0,0,0,22,0,0,0,0,13803,121,3,0,137,2537,0,0,0,0,76,103,311,18,6,4852,0,19,335,121,48,2020,282,0,3,0,389,292,0,0,0,0,9,0,0,0,0,0,0,4,0,6,219,87,3,43,10,0,0,87,76,4,57,217,27,10,5,83,97,8,0,7,0,32,3,7,0,0,0,0,12,9,3,0,3,3,0,0,0,5,57,41,0,3,0,0,4,0,29,4,0,3,16,0,174,0,0,0,0,823,4,12,3,32,0,0,0,0,0,0,0,0,0,4
Bega Valley (A),1812,21,0,0,3,3,0,0,0,0,11068,65,0,6,0,33,67,0,0,4,4,0,0,0,0,0,0,3,6,4,0,3,6,0,0,0,0,0,0,4,12157,1268,56,0,0,0,1955,0,38,386,0,33,822,35,13,0,0,0,3,23,15,0,33,14,0,0,0,0,0,317,53,4,20,0,0,0,3,0,4,33,49,0,0,0,4,0,30,12,0,0,0,3,0,9,9,40,18,16,62,24,0,11,0,0,0,3,0,3,0,0,0,11,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,0,0,0,0,59,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,17,8,3,0,0,0,0,3,0,0,0,15,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,31,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
