Individual Income (weekly) (INCP),lga,Negative income,Nil income,$1-$149,$150-$249,$250-$399,$400-$599,$600-$799,$800-$999,"$1,000-$1,299","$1,300-$1,599","$1,600-$1,999","$2,000 or more",Not stated,Not applicable,
,Not stated,3014,10392,35914,36624,53908,85143,60372,39355,32001,14871,8726,11363,49911,0,
,Albury (C),33,110,1231,1205,2435,4414,3973,2881,2604,1528,617,647,278,0,
,Sydney Undefined,27,73,213,339,568,994,953,793,784,417,285,433,210,0,
,Armidale Dumaresq (A),31,56,600,669,1220,1981,1829,1166,1135,790,351,346,101,0,
,Ashfield (A),18,61,470,484,1011,1780,1514,1042,1150,854,532,604,126,0,
,Auburn (A),69,223,872,1171,2307,6604,7699,6218,6309,3892,2420,2725,516,0,
,Ballina (A),49,94,820,867,1744,3008,2254,1290,1091,726,261,317,180,0,
,Balranald (A),15,17,38,48,126,255,167,83,69,40,17,19,23,0,
,Bankstown (C),94,418,2167,2563,5183,11163,11086,8292,7522,4402,2330,2459,931,0,
,Bathurst Regional (A),51,89,894,907,1673,2859,2486,1827,1852,1227,492,447,164,0,
,Baulkham Hills (A),124,348,3554,2753,4865,8376,7770,6025,6366,4393,2850,3965,736,0,
,Bega Valley (A),59,94,650,855,1635,2596,1935,1045,902,574,191,190,146,0,
,Bellingen (A),16,45,191,316,561,823,486,261,257,152,60,46,50,0,
,Berrigan (A),41,49,146,243,381,743,494,337,228,87,53,72,71,0,
,Blacktown (C),126,563,3493,3379,6678,13861,14086,11099,10836,6282,3185,3132,1237,0,
,Bland (A),61,45,118,206,348,489,356,262,223,136,72,83,70,0,
,Blayney (A),17,16,117,109,264,416,305,224,197,128,51,47,32,0,
,Blue Mountains (C),59,117,1327,1192,2348,3377,2562,1599,1532,1073,398,418,253,0,
,Bogan (A),31,26,56,76,152,240,179,99,115,60,54,43,26,0,
,Bombala (A),9,6,37,70,130,251,192,116,94,58,27,17,19,0,
,Boorowa (A),25,10,43,45,122,213,144,70,63,41,12,28,11,0,
,Botany Bay (C),32,190,806,888,1870,5196,6393,5851,6368,4434,2815,4479,462,0,
,Bourke (A),18,18,42,90,127,242,196,172,132,85,38,34,23,0,
,Brewarrina (A),11,7,32,69,71,119,88,68,70,35,14,20,7,0,
,Broken Hill (C),25,41,330,474,813,1237,912,725,697,597,262,192,121,0,
,Burwood (A),28,111,787,811,1334,2254,2025,1698,1896,1388,876,979,203,0,
,Byron (A),45,80,563,809,1794,2737,1798,1040,855,461,218,275,172,0,
,Cabonne (A),55,62,182,228,481,801,605,364,314,217,129,108,82,0,
,Camden (A),38,116,1012,898,1606,2763,2451,1808,1696,961,377,382,181,0,
,Campbelltown (C),68,259,2404,2120,3833,7543,6638,4823,4571,2861,1208,1119,617,0,
