Industry of Employment (ANZSIC93) (IND93P),lga,Not stated,Not applicable,Agriculture,Services to Agriculture; Hunting and Trapping,Forestry and Logging,Commercial Fishing,"Agriculture, Forestry and Fishing, undefined",Coal Mining,Oil and Gas Extraction,Metal Ore Mining,Other Mining,Services to Mining,"Mining, undefined","Food, Beverage and Tobacco Manufacturing","Textile, Clothing, Footwear and Leather Manufacturing",Wood and Paper Product Manufacturing,"Printing, Publishing and Recorded Media","Petroleum, Coal, Chemical and Associated Product Manufacturing",Non-Metallic Mineral Product Manufacturing,Metal Product Manufacturing,Machinery and Equipment Manufacturing,Other Manufacturing,"Manufacturing, undefined",Electricity and Gas Supply,"Water Supply, Sewerage and Drainage Services","Electricity, Gas and Water Supply, undefined",General Construction,Construction Trade Services,"Construction, undefined",Basic Material Wholesaling,Machinery and Motor Vehicle Wholesaling,Personal and Household Good Wholesaling,"Wholesale Trade, undefined",Food Retailing,Personal and Household Good Retailing,Motor Vehicle Retailing and Services,"Retail Trade, undefined","Accommodation, Cafes and Restaurants",Road Transport,Rail Transport,Water Transport,Air and Space Transport,Other Transport,Services to Transport,Storage,"Transport and Storage, undefined",Communication Services,Finance,Insurance,Services to Finance and Insurance,"Finance and Insurance, undefined",Property Services,Business Services,"Property and Business Services, undefined",Government Administration,Defence,"Government Administration and Defence, undefined",Education,Health Services,Community Services,"Health and Community Services, undefined","Motion Picture, Radio and Television Services","Libraries, Museums and the Arts",Sport and Recreation,"Cultural and Recreational Services, undefined",Personal Services,Other Services,Private Households Employing Staff,"Personal and Other Services, undefined",Non-Classifiable Economic Units,
,Not stated,111629,0,8750,879,399,596,149,1267,366,1646,265,947,802,6584,1354,2010,1972,2255,1325,4432,5913,1565,12099,1204,400,49,20742,25335,1950,1728,2560,4974,2860,17956,13819,5293,8701,21420,13883,1087,513,1282,27,2619,584,555,3661,3501,1335,1176,216,2604,24145,64,7842,2731,42,14817,13557,10986,5375,873,1200,3995,349,5489,3190,26,4,17672,
,Albury (C),19,0,115,40,27,9,0,5,0,0,5,0,0,99,279,333,123,130,62,532,832,94,242,88,39,0,686,822,40,260,396,269,59,1427,2100,550,140,1423,595,8,4,37,0,101,18,12,256,359,143,154,18,337,1452,0,1477,21,0,1628,1979,791,81,155,49,155,9,422,282,0,0,150,
,Sydney Undefined,60,0,17,0,0,0,0,5,0,0,0,3,0,46,8,12,57,22,14,21,59,22,54,17,28,0,351,447,35,28,50,113,33,146,206,31,104,368,158,94,34,35,0,103,3,21,147,263,129,143,18,60,971,0,261,26,0,345,233,161,41,23,43,59,13,61,106,0,0,186,
,Armidale Dumaresq (A),12,0,501,56,0,0,0,0,0,19,0,3,5,37,15,33,59,3,8,38,40,58,44,36,18,0,170,264,4,113,76,113,12,674,720,260,51,662,132,3,0,14,0,30,0,6,98,187,25,55,3,114,710,0,501,19,0,2347,834,430,37,28,48,97,0,171,185,0,0,70,
,Ashfield (A),19,0,6,0,0,0,0,0,0,0,0,0,0,155,64,12,60,12,12,3,67,61,35,10,0,0,262,225,16,26,134,145,28,682,648,306,61,622,140,26,4,0,0,79,0,5,54,97,36,56,8,534,948,3,622,0,0,853,995,746,64,19,84,79,11,202,220,0,0,78,
,Auburn (A),55,0,45,9,9,4,0,0,0,0,4,0,11,1592,183,207,1552,626,363,527,2627,289,669,51,47,7,834,1662,99,807,2504,2515,499,1000,2591,658,325,1059,1610,850,12,22,3,343,207,59,1205,657,254,105,15,512,3020,3,798,32,3,1854,1635,532,103,87,67,811,61,429,1718,0,0,593,
,Ballina (A),25,0,811,34,9,26,0,0,0,0,17,0,0,150,57,77,58,100,49,77,170,55,72,57,21,0,371,534,22,171,91,183,36,1028,1101,338,84,885,205,0,4,27,0,54,15,3,114,161,45,88,3,276,879,0,620,0,0,1144,986,541,54,30,86,158,4,250,140,0,0,101,
,Balranald (A),6,0,257,19,3,0,0,0,0,0,5,0,0,23,0,13,0,4,0,0,6,0,3,11,9,0,13,15,0,17,0,14,0,26,23,30,3,69,56,0,0,0,0,0,0,0,3,11,3,0,0,0,21,0,52,0,0,89,51,19,6,0,7,7,0,3,8,0,0,5,
,Bankstown (C),72,0,33,13,10,7,0,4,0,0,18,0,15,2046,401,933,1756,2004,246,2822,3513,1300,1128,52,341,3,1169,2003,78,765,1850,1860,337,2966,3523,1596,334,1663,2405,291,10,331,0,633,172,72,986,635,119,217,28,838,2864,0,1370,4,0,4609,3386,1650,136,77,129,448,11,695,1052,0,0,560,
,Bathurst Regional (A),16,0,563,29,56,3,3,0,0,5,9,4,6,961,30,183,88,54,99,121,157,46,144,255,18,0,306,449,24,128,151,87,18,906,1131,379,79,841,367,86,0,7,0,28,23,4,321,187,33,54,3,194,766,0,951,9,0,1828,1164,480,40,60,40,126,14,243,505,0,0,78,
,Baulkham Hills (A),74,0,482,22,111,10,6,3,47,18,25,5,10,628,179,120,569,1034,77,335,1299,147,399,42,52,0,2102,2220,110,727,1658,1565,307,5263,5053,979,434,1965,450,12,15,11,0,175,52,23,347,941,362,614,39,1039,6562,9,737,3,0,4470,2497,1785,191,160,138,764,31,1101,853,3,0,656,
,Bega Valley (A),18,0,638,19,140,117,4,0,0,0,3,4,0,539,17,112,78,23,47,57,73,47,62,52,34,0,298,391,17,119,81,146,10,765,800,324,56,1129,292,0,14,3,0,52,10,8,88,121,26,33,5,171,593,4,458,3,0,835,846,399,27,30,61,158,7,198,121,0,0,71,
,Bellingen (A),4,0,361,9,14,11,0,0,0,0,0,0,0,82,16,85,32,3,5,4,41,16,19,5,7,0,65,87,3,48,27,45,6,225,150,92,22,308,85,0,3,0,0,9,3,3,25,42,0,9,0,43,163,0,140,0,0,318,282,103,16,3,37,42,0,68,34,0,0,24,
,Berrigan (A),11,0,765,41,0,0,8,0,0,0,9,0,0,51,0,11,6,5,8,27,44,0,11,10,38,0,60,101,0,38,40,24,0,133,87,84,18,382,122,0,0,3,0,6,9,3,18,16,0,4,0,20,69,0,86,0,0,177,185,66,12,0,3,35,0,35,23,0,0,26,
,Blacktown (C),87,0,403,24,10,3,3,4,3,5,159,6,11,3001,270,538,1048,1819,882,2162,2213,801,1282,1436,127,0,2207,2932,278,1332,2358,2904,603,5592,4901,2083,500,2097,3969,294,20,41,0,494,1005,116,731,989,133,211,26,1012,4223,3,2674,7,3,7021,4229,1992,187,180,155,519,34,1116,1621,0,0,882,
,Bland (A),3,0,705,11,3,0,0,0,0,178,8,3,7,10,3,3,4,6,4,19,28,0,19,5,4,0,28,57,9,40,40,28,0,100,107,87,16,150,87,5,0,0,0,8,22,3,22,13,4,5,0,9,65,0,142,0,0,168,92,59,12,0,3,7,0,20,24,0,0,19,
,Blayney (A),6,0,406,22,0,0,0,0,0,14,0,3,0,218,0,15,6,4,12,3,7,3,11,4,18,0,47,73,0,23,7,59,0,79,42,41,8,113,66,20,0,0,0,4,10,0,16,9,3,4,0,11,62,0,75,0,0,164,77,52,10,0,10,17,0,39,16,0,0,8,
,Blue Mountains (C),28,0,160,7,21,0,0,0,0,0,3,0,0,43,48,46,141,23,33,45,66,83,76,45,45,0,352,535,9,101,69,162,24,1304,1152,356,102,1789,262,169,3,3,0,67,11,5,123,185,27,81,7,289,1221,3,664,237,0,1869,1637,1008,78,57,221,160,15,463,374,0,0,143,
,Bogan (A),7,0,355,14,0,0,3,0,0,76,0,35,8,4,0,0,5,3,0,3,3,0,0,7,6,0,7,25,0,10,7,0,0,54,26,37,3,57,29,7,0,0,0,0,4,0,11,9,0,0,0,9,38,0,72,0,0,86,52,49,5,0,3,8,0,8,16,0,0,9,
,Bombala (A),0,0,246,16,85,0,3,0,0,0,0,3,0,4,0,52,3,0,0,3,0,3,12,10,6,0,10,25,0,16,0,10,4,47,38,34,0,39,40,0,0,0,0,0,0,0,8,6,3,0,0,0,23,0,69,0,0,80,68,28,8,0,6,4,0,9,8,0,0,11,
,Boorowa (A),3,0,345,32,0,0,3,0,0,0,0,0,0,3,0,0,7,0,0,5,0,3,0,5,5,0,24,12,0,10,0,3,0,37,13,12,3,41,12,0,0,0,0,0,0,0,5,10,0,0,0,10,15,0,45,0,0,65,41,15,4,0,10,4,0,3,3,0,0,3,
,Botany Bay (C),33,0,20,4,3,0,0,0,0,0,0,3,6,1668,331,290,561,489,53,270,1064,219,289,26,12,7,388,611,41,191,676,1730,283,1314,1832,455,182,1628,2300,84,245,12498,22,2723,194,128,782,298,55,89,14,717,1976,3,590,61,0,440,359,346,42,75,57,181,27,250,229,0,0,339,
,Bourke (A),5,0,267,24,0,0,0,0,0,0,0,0,0,10,3,3,0,0,0,7,0,0,4,12,9,0,17,22,0,12,0,9,3,57,40,33,8,49,14,0,0,0,0,3,0,0,15,12,3,0,0,0,30,0,104,0,0,137,105,44,9,6,3,7,0,13,73,0,0,18,
,Brewarrina (A),0,0,127,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,20,5,0,3,0,0,0,14,8,4,3,20,13,0,0,0,0,3,0,0,7,3,0,0,0,0,7,0,73,0,0,111,69,45,4,0,3,0,0,0,37,0,0,18,
,Broken Hill (C),9,0,104,14,0,3,0,0,0,562,4,47,57,29,7,5,48,19,6,58,38,12,33,138,35,0,108,146,4,56,90,54,9,454,541,200,39,444,137,30,0,6,0,25,4,3,53,54,23,23,0,53,290,0,390,0,0,509,646,359,34,19,24,33,3,120,183,0,0,37,
,Burwood (A),14,0,4,0,0,0,0,3,0,0,0,0,0,119,23,16,46,14,6,19,70,11,25,4,0,0,192,226,12,11,75,108,35,806,1525,223,119,536,316,58,0,0,0,71,5,3,476,646,128,199,26,287,2211,5,663,0,0,1909,1507,661,64,51,26,98,3,264,350,0,0,104,
,Byron (A),18,0,439,16,23,9,4,0,0,5,11,3,0,284,115,17,125,45,35,31,43,128,63,22,28,0,476,377,12,122,71,289,40,955,818,198,77,1340,180,0,4,3,0,78,17,3,77,118,21,29,7,286,837,0,315,0,0,759,691,316,49,48,147,116,7,258,139,0,0,106,
