Housing Loan Repayments (monthly) Ranges (HLRD01),lga,$1 - $99,$100 - $149,$150 - $249,$250 - $399,$400 - $549,$550 - $649,$650 - $749,$750 - $849,$850 - $949,"$950 - $1,049","$1,050 - $1,199","$1,200 - $1,399","$1,400 - $1,599","$1,600 - $1,999","$2,000 - $2,399","$2,400 - $2,999","$3,000 - $3,999","$4,000 and over",Not stated,Not applicable,
,Albury (C),53,29,79,150,375,192,379,275,529,393,638,810,520,671,338,139,81,56,452,14115,
,Armidale Dumaresq (A),13,8,24,59,139,91,187,139,201,164,215,255,148,167,99,48,37,26,157,7626,
,Ashfield (A),24,8,31,60,109,53,84,76,129,109,151,267,286,544,523,358,393,223,241,13474,
,Auburn (A),35,9,37,73,185,67,141,135,199,229,302,482,391,809,715,524,460,207,442,16945,
,Ballina (A),29,22,45,104,200,93,189,163,258,223,302,431,312,494,359,156,122,80,334,13215,
,Balranald (A),0,4,11,9,33,17,26,11,15,14,8,11,4,9,0,3,0,3,47,925,
,Bankstown (C),83,46,140,261,539,258,421,386,600,671,908,1535,1337,2401,2387,1701,1170,505,1305,44016,
,Bathurst Regional (A),29,14,41,84,196,98,188,174,294,258,394,539,429,624,367,158,87,54,281,10667,
,Baulkham Hills (A),120,66,145,265,505,257,395,355,502,683,744,1354,1313,2770,3561,3225,3209,1719,1750,31469,
,Bega Valley (A),17,27,74,151,251,140,222,181,263,214,290,314,206,313,156,68,51,48,273,12401,
,Bellingen (A),3,11,27,59,116,45,100,61,104,81,127,124,82,96,76,34,17,18,121,4520,
,Berrigan (A),7,0,18,37,95,44,67,63,97,42,77,90,44,49,29,12,8,14,121,2856,
,Blacktown (C),223,92,224,485,1006,524,932,825,1224,1333,1909,3100,2875,6192,5745,3723,1912,796,2505,57882,
,Bland (A),0,3,17,39,82,21,50,21,41,35,34,35,15,19,20,3,8,8,111,2370,
,Blayney (A),3,4,10,29,45,32,54,35,51,61,83,74,64,85,40,27,16,17,69,2076,
,Blue Mountains (C),81,35,139,232,485,253,415,346,484,492,685,1052,895,1767,1353,775,487,192,756,21897,
,Bogan (A),4,3,4,17,35,22,26,11,18,16,15,16,13,8,6,0,9,8,61,1130,
,Bombala (A),3,0,3,14,31,13,25,22,25,10,12,19,9,18,4,3,0,3,22,1157,
,Boorowa (A),0,0,3,13,24,11,22,12,15,12,15,19,3,18,13,3,4,8,34,1111,
,Botany Bay (C),14,4,24,35,88,30,87,56,92,100,147,232,241,478,474,403,457,203,288,11293,
,Bourke (A),0,0,7,15,47,16,21,10,18,16,16,13,5,6,6,3,3,3,40,1217,
,Brewarrina (A),0,0,3,5,15,4,5,3,0,3,0,3,0,0,0,0,0,0,10,763,
,Broken Hill (C),7,20,115,240,392,139,216,135,139,80,113,95,46,47,41,20,4,12,200,7503,
,Burwood (A),15,0,17,35,74,31,42,58,66,74,85,173,153,320,353,248,269,183,232,9229,
,Byron (A),20,17,54,96,200,81,152,135,177,153,226,322,214,334,213,150,123,69,302,10617,
,Cabonne (A),9,3,16,46,109,54,107,64,97,67,112,130,94,147,83,48,43,40,163,3938,
,Camden (A),30,10,36,91,165,110,157,161,253,258,368,674,579,1476,1372,1012,587,239,551,8852,
,Campbelltown (C),80,52,174,275,684,374,648,594,929,895,1332,1955,1860,3484,2501,1110,613,322,1307,31079,
,Canada Bay (A),34,27,37,76,193,85,107,102,153,190,211,395,370,792,932,868,1069,883,581,21188,
,Canterbury (C),58,39,65,176,374,176,318,322,513,490,642,1066,949,1563,1379,1086,867,409,1015,38621,
,Carrathool (A),3,3,5,13,32,7,20,6,17,7,16,16,3,5,3,3,3,8,55,1222,
,Central Darling (A),0,0,3,7,11,3,4,6,3,0,0,0,0,0,3,0,3,3,22,1142,
,Cessnock (C),27,15,85,148,396,197,346,242,444,318,508,743,481,690,340,157,97,68,461,13412,
,Clarence Valley (A),33,36,123,234,445,241,432,284,432,313,489,503,288,369,217,84,49,41,433,17254,
,Cobar (A),0,4,9,20,41,30,37,30,32,25,35,42,19,25,20,7,3,6,61,1893,
,Coffs Harbour (C),31,35,128,242,445,219,420,316,543,369,616,783,548,843,460,238,148,106,568,21754,
,Conargo (A),0,0,3,6,6,6,3,3,9,9,3,5,8,11,11,6,7,9,63,563,
,Coolamon (A),3,3,16,31,50,19,49,18,35,27,30,27,21,29,8,11,3,8,58,1294,
,Cooma-Monaro (A),9,0,23,58,117,49,79,74,82,77,109,122,79,99,67,22,34,14,81,3560,
,Coonamble (A),0,3,15,27,67,27,33,17,21,8,16,6,3,12,4,5,3,3,77,1743,
,Cootamundra (A),12,3,18,48,96,49,94,49,60,67,58,72,29,38,20,8,11,3,59,2601,
,Corowa Shire (A),9,6,28,43,95,48,98,76,116,83,155,139,98,96,53,18,11,10,154,3839,
,Cowra (A),6,4,28,43,138,74,108,81,121,99,130,133,69,80,46,20,14,12,130,4352,
,Deniliquin (A),9,3,12,41,91,57,105,78,109,57,114,65,42,30,25,3,0,4,97,2526,
,Dubbo (C),19,19,44,107,191,130,283,207,401,284,454,652,386,539,293,118,78,41,317,10566,
,Dungog (A),3,3,14,39,69,33,59,35,72,65,90,102,81,113,85,40,34,28,89,2584,
,Eurobodalla (A),19,24,75,143,250,115,200,156,252,165,277,334,237,355,171,126,70,36,334,17996,
,Fairfield (C),69,47,126,340,658,384,650,555,822,819,1120,1691,1370,2354,2183,1289,847,410,1479,41565,
,Forbes (A),6,3,11,34,92,40,102,68,92,73,78,92,36,60,36,11,7,11,114,3213,
,Gilgandra (A),4,0,4,21,56,17,40,22,32,23,23,28,14,17,7,0,8,10,71,1620,
,Glen Innes Severn (A),8,3,27,59,141,48,64,43,65,48,72,59,32,24,20,12,10,8,109,3268,
,Gloucester (A),3,0,5,20,42,16,25,31,33,22,57,46,35,48,15,10,0,6,46,1947,
,Gosford (C),119,73,211,347,765,391,601,497,838,857,1199,1862,1694,3184,2525,1523,951,530,1503,52191,
,Goulburn Mulwaree (A),16,7,37,73,178,133,180,128,216,193,265,345,274,350,217,93,54,31,239,8946,
,Greater Taree (C),30,25,95,182,389,183,388,244,374,312,463,526,344,464,246,114,77,65,371,15737,
,Greater Hume Shire (A),9,4,20,42,128,57,86,54,94,81,89,109,63,79,37,31,15,21,176,2990,
,Great Lakes (A),17,13,48,109,201,75,167,132,205,152,232,320,216,295,213,114,85,49,286,17312,
,Griffith (C),7,3,16,37,94,46,77,80,155,138,183,304,248,311,177,75,57,24,234,7142,
,Gundagai (A),4,0,10,22,39,8,24,23,32,19,40,24,15,24,18,6,0,3,53,1266,
,Gunnedah (A),13,6,18,53,121,64,113,86,122,79,100,81,44,67,41,15,14,13,134,3856,
,Guyra (A),0,0,14,30,59,14,38,24,45,14,22,22,8,17,16,0,3,3,59,1532,
,Gwydir (A),4,3,11,32,62,29,44,24,21,12,16,21,8,15,18,5,11,6,93,2311,
,Harden (A),3,3,14,24,48,35,35,25,32,12,12,26,16,12,3,5,0,7,52,1398,
,Hastings (A),34,31,113,193,397,238,332,239,444,402,611,771,581,956,646,298,169,105,577,24907,
,Hawkesbury (C),39,23,62,128,274,158,231,185,329,358,448,756,687,1335,1187,692,517,305,677,14554,
,Hay (A),0,0,5,28,47,29,40,20,22,18,25,17,6,7,8,0,0,6,45,1290,
,Holroyd (C),50,20,55,121,281,141,266,213,310,377,454,755,771,1390,1320,994,531,222,629,25430,
,Hornsby (A),134,69,155,267,548,281,383,380,499,678,698,1251,1218,2376,2806,2586,2456,1110,1433,36641,
,Hunter's Hill (A),4,8,9,8,20,9,15,17,15,33,31,44,32,103,140,125,195,323,147,3709,
,Hurstville (C),57,21,63,116,219,113,186,177,244,257,374,632,525,1146,1088,827,697,429,603,21035,
,Inverell (A),8,12,40,91,180,83,158,108,172,116,159,133,67,94,53,26,19,19,177,5225,
,Jerilderie (A),0,0,3,10,17,8,5,11,9,0,0,5,3,3,6,5,3,4,40,696,
,Junee (A),3,0,4,31,63,39,58,38,54,21,50,45,30,20,14,19,10,13,90,1583,
,Kempsey (A),8,19,78,129,287,114,236,135,239,170,252,293,169,190,117,69,29,31,206,10189,
,Kiama (A),16,9,19,43,102,43,79,65,99,101,118,207,156,269,235,156,120,50,156,6740,
,Kogarah (A),33,16,30,67,152,81,100,106,173,169,198,421,390,731,789,558,584,471,514,15161,
,Ku-ring-gai (A),104,44,92,109,255,113,152,154,172,321,208,461,485,905,1378,1230,1896,2370,1183,24599,
,Kyogle (A),6,12,34,73,144,57,89,67,76,43,54,76,43,38,30,21,9,12,90,3196,
,Lachlan (A),0,3,17,32,68,34,57,26,52,23,31,28,18,15,13,9,6,10,108,2656,
,Lake Macquarie (C),150,91,282,553,1156,581,1026,869,1400,1154,1665,2736,1970,3310,2267,1108,650,390,1781,51684,
,Lane Cove (A),26,18,20,38,84,38,51,46,77,109,81,167,187,392,523,408,448,642,303,9453,
,Leeton (A),7,7,16,36,70,42,91,74,122,89,146,146,100,92,63,11,13,11,117,3271,
,Leichhardt (A),30,17,38,82,145,71,92,92,141,160,157,304,253,619,770,851,1253,909,471,17641,
,Lismore (C),35,20,95,167,392,191,339,263,395,319,462,592,375,467,249,119,61,48,377,12769,
,Lithgow (C),9,7,26,68,138,68,134,109,189,124,194,251,169,236,136,67,47,20,168,6973,
,Liverpool (C),121,45,110,219,519,256,462,421,679,762,1063,1813,1628,3066,3196,2338,1528,678,1522,34685,
,Liverpool Plains (A),4,5,23,54,94,30,74,40,52,29,33,42,17,29,6,11,7,11,86,2854,
,Lockhart (A),0,0,15,22,30,13,35,31,29,15,17,26,13,16,12,5,4,5,66,1027,
,Maitland (C),54,16,99,184,393,195,389,333,502,444,669,1147,814,1331,781,350,204,100,532,15410,
,Manly (A),20,3,22,35,92,33,39,37,62,86,75,161,165,308,448,416,567,730,360,13824,
,Marrickville (A),48,16,45,91,209,106,179,163,209,238,310,588,570,1071,1043,1056,1087,459,502,25192,
