Occupation 93 (ASCO2) (OCC93P) - 1 Digit,lga,Not stated,Inadequately described,Managers and Administrators,Professionals,Associate Professionals,Tradespersons and Related Workers,Advanced Clerical and Service Workers,"Intermediate Clerical, Sales and Service Workers",Intermediate Production and Transport Workers,"Elementary Clerical, Sales and Service Workers",Labourers and Related Workers,Not applicable,
,Not stated,62805,16277,21190,41407,25963,69059,6328,53451,45432,41590,58109,0,
,Albury (C),29,139,1376,3797,2877,2544,624,4178,1969,2762,1666,0,
,Sydney Undefined,44,167,387,1277,617,841,229,1007,444,536,559,0,
,Armidale Dumaresq (A),9,67,874,2601,1402,932,321,1836,428,1087,728,0,
,Ashfield (A),18,68,792,2353,1438,754,298,1861,421,1096,543,0,
,Auburn (A),57,537,4685,6629,4204,4848,829,8425,5285,2709,2828,0,
,Ballina (A),14,86,1183,2136,1826,1413,434,2076,844,1499,1191,0,
,Balranald (A),3,8,212,98,91,86,15,121,112,31,137,0,
,Bankstown (C),124,609,4850,9337,5358,8411,1514,9758,7956,5375,5326,0,
,Bathurst Regional (A),19,92,1235,2781,1744,1727,450,2626,1063,1705,1530,0,
,Baulkham Hills (A),73,506,5371,11126,6979,4481,2266,9706,2675,6007,2940,0,
,Bega Valley (A),13,60,1059,1680,1534,1281,368,1723,819,1101,1234,0,
,Bellingen (A),6,12,437,578,398,364,96,474,229,287,373,0,
,Berrigan (A),6,16,700,297,319,336,99,412,237,182,341,0,
,Blacktown (C),134,759,6333,12598,7475,8497,1971,13704,11377,7514,7602,0,
,Bland (A),3,11,682,254,245,276,58,270,281,164,239,0,
,Blayney (A),5,9,441,221,182,217,40,243,204,120,243,0,
,Blue Mountains (C),15,99,852,3616,2369,1663,535,3174,743,1973,1213,0,
,Bogan (A),3,4,324,130,118,115,17,136,145,59,105,0,
,Bombala (A),0,8,233,126,76,101,25,116,147,63,133,0,
,Boorowa (A),3,5,280,86,69,90,19,64,56,43,116,0,
,Botany Bay (C),44,486,3886,6126,3366,4814,3307,6964,4453,3807,2539,0,
,Bourke (A),0,16,221,213,176,121,20,157,69,68,152,0,
,Brewarrina (A),3,12,126,111,62,47,4,87,31,31,97,0,
,Broken Hill (C),11,38,405,1040,805,874,134,1155,676,726,547,0,
,Burwood (A),23,160,1040,3971,2110,898,557,2581,671,1830,568,0,
,Byron (A),9,76,945,1888,1726,1217,317,1702,662,1154,1133,0,
,Cabonne (A),0,20,1107,423,291,400,100,328,312,144,507,0,
,Camden (A),18,94,1107,2250,1622,1956,574,2405,1690,1507,1059,0,
,Campbelltown (C),43,267,2304,6704,4101,4291,995,6589,4457,4772,3545,0,
,Canada Bay (A),36,259,2113,5681,3052,1986,1006,4612,856,2039,1023,0,
,Canterbury (C),63,258,1866,4257,2539,3055,699,4176,2587,2727,1928,0,
,Carrathool (A),0,15,416,72,83,98,29,100,126,42,210,0,
,Central Darling (A),0,14,182,109,71,56,4,74,49,26,129,0,
,Cessnock (C),15,60,813,1850,1608,1610,345,2322,1277,1612,1392,0,
,Clarence Valley (A),25,98,1292,2366,1816,1703,450,2644,1334,1774,1647,0,
,Cobar (A),0,8,228,238,230,398,31,250,438,141,195,0,
,Coffs Harbour (C),34,141,1615,4142,3302,2601,802,4564,1594,2971,1894,0,
,Conargo (A),0,6,135,13,11,15,8,0,7,4,39,0,
,Coolamon (A),0,9,431,131,81,116,35,141,71,53,98,0,
,Cooma-Monaro (A),5,23,459,654,521,454,123,630,226,393,336,0,
,Coonamble (A),3,15,445,213,155,146,43,191,116,80,224,0,
,Cootamundra (A),3,21,326,370,306,337,65,376,241,218,325,0,
,Corowa Shire (A),0,29,589,396,458,616,83,602,322,350,710,0,
,Cowra (A),7,26,678,556,466,555,164,614,307,415,668,0,
,Deniliquin (A),10,20,524,538,482,430,99,552,330,304,364,0,
,Dubbo (C),13,100,1263,2896,2221,2079,597,2976,1264,1863,1567,0,
,Dungog (A),4,14,420,304,198,220,76,292,141,146,226,0,
,Eurobodalla (A),14,70,717,1641,1702,1255,327,1864,740,1444,925,0,
,Fairfield (C),122,449,3651,6961,4369,6301,1271,8218,6611,3912,4282,0,
,Forbes (A),3,16,598,475,376,414,115,490,247,253,390,0,
,Gilgandra (A),0,16,381,189,137,139,38,200,99,133,158,0,
,Glen Innes Severn (A),6,16,611,408,325,323,90,452,225,279,273,0,
,Gloucester (A),3,11,363,222,171,212,66,205,178,132,168,0,
,Gosford (C),63,311,3152,9609,6666,5126,1843,9227,3259,6302,4126,0,
,Goulburn Mulwaree (A),21,67,725,1584,1350,1165,254,1967,1009,1095,1072,0,
,Greater Taree (C),18,58,1182,2249,1678,1830,477,2213,1149,1503,1684,0,
,Greater Hume Shire (A),13,15,935,318,281,384,114,321,277,153,393,0,
,Great Lakes (A),18,57,679,1213,1394,1102,304,1572,680,1110,975,0,
,Griffith (C),29,70,1451,1377,1091,1247,336,1492,783,1077,1581,0,
,Gundagai (A),0,6,299,138,140,185,43,166,90,107,283,0,
,Gunnedah (A),3,13,783,555,454,463,134,571,380,315,498,0,
,Guyra (A),6,7,467,117,114,137,33,133,86,58,219,0,
,Gwydir (A),3,8,572,194,112,129,38,173,126,96,184,0,
,Harden (A),0,5,322,117,99,124,28,110,111,51,155,0,
,Hastings (A),31,122,1572,3853,3145,2603,811,4311,1616,2699,1741,0,
,Hawkesbury (C),24,166,1812,3341,2403,3464,780,3432,1717,1803,2047,0,
,Hay (A),0,12,230,143,149,188,35,174,107,96,163,0,
,Holroyd (C),56,390,2767,3976,2679,4150,724,5412,6214,2198,3020,0,
,Hornsby (A),57,328,3393,9869,5046,4007,1570,7609,2051,4686,2772,0,
,Hunter's Hill (A),3,45,284,1176,520,288,168,711,89,275,171,0,
,Hurstville (C),49,179,1524,3547,2533,2243,900,3963,1382,2267,1074,0,
,Inverell (A),10,36,831,743,660,669,153,896,372,556,766,0,
,Jerilderie (A),0,0,144,33,62,43,24,44,42,33,59,0,
,Junee (A),4,8,355,185,122,169,24,302,186,91,172,0,
,Kempsey (A),13,53,739,1251,969,1023,203,1509,648,902,875,0,
,Kiama (A),5,23,353,728,662,512,159,766,220,521,370,0,
,Kogarah (A),20,138,900,5473,2073,1098,721,3487,386,867,629,0,
,Ku-ring-gai (A),23,318,2744,9081,3583,1838,1133,4984,455,2213,1040,0,
,Kyogle (A),3,20,648,360,231,277,74,327,173,173,338,0,
,Lachlan (A),5,12,726,326,224,225,73,296,167,164,226,0,
,Lake Macquarie (C),48,281,2614,7530,5745,6481,1654,8347,4223,6464,3973,0,
,Lane Cove (A),14,196,2041,4420,1957,1030,512,2469,586,927,710,0,
,Leeton (A),5,30,633,620,430,574,105,619,409,308,752,0,
,Leichhardt (A),15,171,1848,4741,2620,1759,534,3069,894,1369,788,0,
,Lismore (C),13,82,1516,4252,2319,1810,636,3280,1270,2186,1519,0,
,Lithgow (C),10,45,470,930,726,1009,157,1241,1027,675,562,0,
,Liverpool (C),98,444,3744,9127,5100,6007,1397,8549,5815,4449,4169,0,
,Liverpool Plains (A),0,16,676,274,234,286,73,281,288,148,326,0,
,Lockhart (A),0,0,398,83,73,68,22,98,59,44,71,0,
,Maitland (C),21,114,1187,3347,2502,2696,598,3426,1827,2602,1570,0,
,Manly (A),10,105,907,2772,1863,883,424,1928,267,1027,463,0,
,Marrickville (A),69,211,2229,4635,2656,3001,628,3618,2379,1797,1842,0,
,Mid-Western Regional (A),9,46,1109,1025,902,1072,210,985,853,794,867,0,
,Moree Plains (A),7,39,1107,770,641,585,197,786,529,401,635,0,
,Mosman (A),3,117,713,1928,1236,729,259,1385,96,735,267,0,
,Murray (A),3,14,393,120,252,279,47,316,159,103,262,0,
,Murrumbidgee (A),0,8,362,82,70,108,34,76,104,25,196,0,
,Muswellbrook (A),9,40,631,931,815,1629,159,969,1409,577,725,0,
,Nambucca (A),4,45,480,701,568,553,149,782,353,477,451,0,
,Narrabri (A),18,34,1042,687,591,606,194,679,542,424,532,0,
,Narrandera (A),8,12,468,229,258,213,63,273,170,150,209,0,
,Narromine (A),0,19,551,256,190,247,70,264,153,134,277,0,
,Newcastle (C),72,544,4909,18731,10185,8718,2563,15834,6167,7672,5733,0,
,North Sydney (A),57,772,9825,21642,8971,2189,2450,9415,637,3167,941,0,
,Oberon (A),7,20,373,198,174,332,51,240,361,105,261,0,
,Orange (C),22,91,1114,3213,2219,1935,549,2911,1405,1825,1497,0,
,Palerang (A),5,11,426,340,226,250,69,238,164,164,196,0,
,Parkes (A),11,28,948,732,645,651,150,871,533,525,421,0,
,Parramatta (C),112,1009,7072,22085,11460,6325,3524,19678,5609,7269,4689,0,
,Penrith (C),65,376,3357,9486,6038,6003,1755,9732,4960,6396,4158,0,
,Pittwater (A),24,183,1690,3506,2273,2213,794,2632,747,1637,914,0,
,Port Stephens (A),14,162,1507,2674,2569,4128,584,3115,2040,2240,1625,0,
,Queanbeyan (C),17,61,699,1408,1305,1590,247,1603,1007,949,677,0,
,Randwick (C),37,331,2372,11820,4214,2908,914,6522,2222,2258,2039,0,
,Richmond Valley (A),13,37,629,868,619,736,139,948,526,599,1160,0,
,Rockdale (C),54,253,1509,3754,2709,2671,710,4962,2092,3237,1876,0,
,Ryde (C),62,616,7499,18086,7572,4131,1646,9763,2298,4320,2320,0,
,Shellharbour (C),15,60,564,2127,1636,1478,398,2273,954,2020,906,0,
,Shoalhaven (C),38,154,1748,4771,3872,3828,903,4492,1907,2933,2243,0,
,Singleton (A),15,84,972,1282,1236,2553,238,1314,2926,836,900,0,
,Snowy River (A),3,26,315,313,998,395,60,691,325,489,281,0,
,Strathfield (A),40,202,1810,2740,1771,1863,481,3095,2163,2077,1305,0,
,Sutherland Shire (A),68,401,3988,10314,7110,6469,2390,9898,3278,7157,3529,0,
,Sydney (C),299,4219,46157,114290,53202,14755,20614,65505,7674,23323,7732,0,
,Tamworth Regional (A),27,107,2293,3594,2635,2616,680,3482,1596,2274,2424,0,
,Temora (A),3,10,497,302,243,237,81,315,146,204,181,0,
,Tenterfield (A),9,16,429,227,221,206,47,248,168,174,215,0,
,Tumbarumba (A),0,7,308,126,132,164,23,170,218,82,185,0,
,Tumut Shire (A),9,20,527,593,448,566,94,569,585,332,611,0,
,Tweed (A),22,135,1593,3669,2839,2620,738,4217,1624,2863,1954,0,
,Upper Hunter Shire (A),4,32,801,580,426,593,136,592,326,332,876,0,
,Upper Lachlan (A),0,13,788,198,167,201,55,221,102,93,215,0,
,Uralla (A),0,19,380,160,109,162,31,127,82,77,200,0,
,Urana (A),0,4,248,51,32,33,20,35,64,13,72,0,
,Wagga Wagga (C),27,167,1987,4773,3352,3973,717,4427,1799,2957,2258,0,
,Wakool (A),0,3,589,155,160,186,31,214,148,90,282,0,
,Walcha (A),0,6,460,112,93,117,51,136,121,74,175,0,
,Walgett (A),5,24,551,304,269,182,51,307,217,137,330,0,
,Warren (A),0,6,322,111,96,118,47,125,93,55,120,0,
,Warringah (A),41,386,4717,9165,5636,4919,1744,8407,2959,4992,2566,0,
,Warrumbungle Shire (A),9,8,845,448,316,304,88,370,232,219,375,0,
,Waverley (A),24,167,1426,4332,2895,1330,672,3336,699,3119,674,0,
,Weddin (A),5,3,519,140,121,108,35,114,89,70,126,0,
,Wellington (A),6,9,527,299,223,255,54,276,129,179,246,0,
,Wentworth (A),3,24,553,280,276,257,49,310,285,103,504,0,
,Willoughby (C),49,540,6161,15667,6734,3793,1686,8365,1832,5050,1551,0,
,Wingecarribee (A),13,92,1277,2537,1903,1981,563,2383,1073,1498,1407,0,
,Wollondilly (A),15,45,873,1094,981,1382,374,1142,1422,577,1056,0,
,Wollongong (C),86,600,4149,14323,8575,8914,1900,12344,7099,6877,5091,0,
,Woollahra (A),25,239,1752,4139,3000,1338,647,2708,208,1475,535,0,
,Wyong (A),40,232,2081,5739,4593,4497,1173,6556,3145,4980,3314,0,
,Yass Valley (A),6,19,631,486,417,430,139,486,220,345,363,0,
,Young (A),3,17,691,626,482,646,188,651,348,508,623,0,
,Unincorporated NSW,3,3,115,60,75,58,0,67,37,32,69,0,
,No fixed address,303,1125,7104,10911,5459,43148,1693,11139,15638,5268,19567,0,
,NSW Undefined,180,407,2243,2440,1557,3373,341,2594,2781,2100,3350,0,
,Melbourne Undefined,32,132,230,891,418,575,135,884,391,509,491,0,
,Alpine (S),9,33,630,610,672,553,116,615,400,437,530,0,
,Ararat (RC),4,35,798,605,500,450,78,687,226,368,595,0,
,Ballarat (C),50,256,2333,7388,4836,4600,1059,6852,2899,4446,3255,0,
,Banyule (C),26,264,2055,10116,4092,3830,1141,6116,1830,3794,1944,0,
,Bass Coast (S),13,64,866,1109,1207,1092,213,1166,497,964,775,0,
,Baw Baw (S),25,76,1941,2033,1320,1619,443,1798,881,1199,1378,0,
,Bayside (C),32,278,2054,5963,3354,2335,904,4481,1037,2117,1230,0,
,Benalla (RC),6,51,695,820,659,605,114,710,542,494,584,0,
,Boroondara (C),68,610,5903,18087,8915,3482,2474,11236,1131,5463,1918,0,
,Brimbank (C),115,478,3410,7273,4213,5921,1133,7748,6537,4724,4004,0,
,Buloke (S),5,12,863,356,227,241,67,244,190,159,270,0,
,Campaspe (S),12,68,2513,1949,1632,1696,383,1967,1154,1337,1804,0,
,Cardinia (S),21,91,1575,1919,1541,1825,611,2001,1199,1355,1717,0,
,Casey (C),62,254,2924,6893,4764,5146,1461,7274,3880,6063,3800,0,
,Central Goldfields (S),3,28,369,542,431,600,80,497,379,406,419,0,
,Colac-Otway (S),4,60,1296,1153,1036,1045,182,1164,698,832,1245,0,
,Corangamite (S),13,35,2174,810,566,899,109,650,616,500,864,0,
,Darebin (C),72,350,2871,8199,4686,4616,999,6961,3761,4892,2740,0,
,East Gippsland (S),17,107,1591,2181,1948,1664,434,2066,1020,1456,1519,0,
,Frankston (C),40,214,1991,6960,4011,3854,1150,5719,2293,4955,2669,0,
,Gannawarra (S),3,19,1239,519,426,415,114,482,319,308,467,0,
,Glen Eira (C),57,261,2159,8164,4002,2695,1071,5326,1136,2746,1393,0,
