lga,Other Religions,Not stated,Supplementary codes,Buddhism,Christianity,Hinduism,Islam,Judaism,No Religion
Albury (C),138,4284,365,324,33412,72,100,21,7570
Armidale Dumaresq (A),135,2319,233,218,16473,64,112,15,3789
Ashfield (A),281,4696,269,1849,22072,1485,620,84,8312
Auburn (A),419,9037,187,6008,23602,2004,16111,29,7575
Ballina (A),164,3515,360,334,27299,27,27,48,6699
Balranald (A),3,271,0,8,1868,0,7,0,287
Bankstown (C),858,14058,512,11585,103917,1351,25996,60,12154
Bathurst Regional (A),140,3229,217,193,27632,61,80,14,4283
Baulkham Hills (A),1632,10761,683,3833,115644,3763,2967,195,19903
Bega Valley (A),143,3330,219,308,20111,19,40,16,6879
Bellingen (A),101,1368,164,200,7307,11,20,32,3225
Berrigan (A),15,597,18,14,6167,10,4,0,1170
Blacktown (C),4073,22130,1238,3984,191598,9937,12463,133,26158
Bland (A),3,374,24,9,5208,3,8,0,475
Blayney (A),25,388,33,20,5387,3,7,3,727
Blue Mountains (C),682,7661,793,1036,47106,155,189,131,16307
Bogan (A),0,155,10,3,2514,0,0,0,198
Bombala (A),12,265,8,5,1941,0,0,0,303
Boorowa (A),3,141,7,10,1909,0,4,0,221
Botany Bay (C),145,3066,164,1090,24044,598,2808,441,3631
Bourke (A),3,281,13,9,2567,0,0,0,228
Brewarrina (A),9,237,15,0,1389,0,0,0,296
Broken Hill (C),32,2625,76,43,12170,13,21,0,4374
Burwood (A),154,3226,140,1956,18121,1639,529,37,5116
Byron (A),428,4826,726,817,12992,80,44,214,8640
Cabonne (A),25,899,34,19,10266,3,8,0,1132
Camden (A),123,3629,193,361,39150,159,399,20,5615
Campbelltown (C),825,12633,694,2998,100859,3270,6371,54,15370
Canada Bay (A),292,6711,344,1546,46305,841,737,181,8789
Canterbury (C),763,12173,448,7916,75255,1950,17792,87,13584
Carrathool (A),11,289,15,9,2194,10,3,0,289
Central Darling (A),9,257,13,3,1387,3,10,0,252
Cessnock (C),92,4814,191,158,34105,57,68,12,6709
Clarence Valley (A),187,4901,268,205,35118,27,37,21,7382
Cobar (A),13,591,22,15,3641,0,3,0,635
Coffs Harbour (C),907,6616,490,465,44154,72,151,40,12021
Conargo (A),0,182,7,0,1240,0,0,0,247
Coolamon (A),5,240,11,3,3373,0,4,0,391
Cooma-Monaro (A),37,1055,51,95,7020,6,18,11,1435
Coonamble (A),4,248,5,4,3636,3,7,0,299
Cootamundra (A),5,455,27,16,6209,4,3,0,593
Corowa Shire (A),14,940,55,25,8403,3,4,5,1525
Cowra (A),23,829,46,30,10424,7,9,0,1114
Deniliquin (A),10,710,25,14,5551,11,9,3,1102
Dubbo (C),90,3732,139,84,30354,88,119,0,3234
Dungog (A),24,817,39,22,6038,3,6,5,1107
Eurobodalla (A),148,3430,208,232,24202,41,37,29,6682
Fairfield (C),991,12499,687,39809,105326,1173,7896,24,11496
Forbes (A),12,750,19,17,7852,3,3,0,700
Gilgandra (A),0,389,14,9,3695,3,6,0,406
Glen Innes Severn (A),44,843,51,32,6875,3,4,9,915
Gloucester (A),12,520,17,11,3655,0,0,0,582
Gosford (C),549,17327,953,1039,112979,312,407,236,24355
Goulburn Mulwaree (A),63,2622,134,104,20503,20,68,16,2550
Greater Taree (C),96,4190,239,252,33605,32,38,24,6669
Greater Hume Shire (A),17,801,40,24,7721,0,10,0,1111
Great Lakes (A),91,3110,146,144,24649,25,31,9,4560
Griffith (C),522,1870,95,92,18967,125,434,4,1698
Gundagai (A),5,174,3,14,3264,0,4,0,222
Gunnedah (A),24,884,37,27,9473,0,3,3,1069
Guyra (A),5,379,18,11,3391,4,0,0,420
Gwydir (A),5,374,13,5,4460,0,0,3,445
Harden (A),6,205,15,9,3073,0,15,0,274
Hastings (A),195,6237,444,275,51214,53,52,57,9899
Hawkesbury (C),250,6088,406,284,44311,78,148,50,8954
Hay (A),0,221,12,11,2780,3,0,0,347
Holroyd (C),972,7451,331,2260,58921,5072,7478,27,7255
Hornsby (A),1218,12363,768,4241,100686,3816,1957,454,25819
Hunter's Hill (A),66,1231,89,225,9188,52,103,369,1923
Hurstville (C),204,6564,326,3320,47254,1031,2365,102,12561
Inverell (A),36,1341,55,38,12371,0,5,0,1668
Jerilderie (A),0,94,5,0,1370,0,4,0,169
Junee (A),10,1149,9,14,4162,0,9,3,428
Kempsey (A),80,3101,147,128,19860,19,38,9,4011
Kiama (A),83,1542,108,97,14171,12,16,17,2955
Kogarah (A),218,4522,172,1904,34603,774,1712,135,8494
Ku-ring-gai (A),747,8115,515,2127,67525,1028,590,3989,16453
Kyogle (A),73,949,107,142,6248,14,4,10,1706
Lachlan (A),10,489,13,9,5637,0,0,0,513
Lake Macquarie (C),400,16963,850,894,135194,209,212,55,28365
Lane Cove (A),209,3223,231,686,18998,424,354,372,5931
Leeton (A),78,907,37,21,9047,11,27,3,974
