lga,Bachelor Degree Level,Advanced Diploma and Diploma Level,Level of education not stated,Level of education inadequately described,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Certificate Level,Not applicable,
Albury (C),3351,2371,4048,587,458,571,7381,27512,
Armidale Dumaresq (A),2351,1284,1833,312,1046,351,2976,13225,
Ashfield (A),6604,2715,4598,559,2675,697,3396,18417,
Auburn (A),6042,3193,9349,716,1759,332,4791,38786,
Ballina (A),3207,2350,3202,612,553,473,6163,21911,
Balranald (A),90,69,257,19,11,16,245,1741,
Bankstown (C),11258,8284,16833,1972,1963,812,20552,108817,
Bathurst Regional (A),2690,1712,3192,496,522,376,5850,21000,
Baulkham Hills (A),22390,13090,9334,2346,5774,1976,21115,83382,
Bega Valley (A),1987,1671,2564,514,290,365,5315,18359,
Bellingen (A),920,736,1066,201,158,162,1967,7215,
Berrigan (A),380,352,713,82,25,41,1245,5166,
Blacktown (C),21185,13100,23875,3256,4155,1357,33896,170882,
Bland (A),281,191,486,68,21,29,886,4139,
Blayney (A),350,319,427,76,55,60,1035,4271,
Blue Mountains (C),8839,5969,5520,1180,2386,1484,11294,37394,
Bogan (A),117,87,228,40,8,17,342,2046,
Bombala (A),130,110,254,49,17,22,358,1618,
Boorowa (A),108,109,160,39,12,16,362,1487,
Botany Bay (C),3220,2044,3873,470,1075,203,4177,20925,
Bourke (A),174,126,359,32,21,19,303,2064,
Brewarrina (A),71,45,286,13,7,13,146,1366,
Broken Hill (C),711,542,2322,206,97,139,2748,12595,
Burwood (A),4770,2088,3541,392,1803,325,2578,15425,
Byron (A),3085,2039,2984,434,501,411,4047,15273,
Cabonne (A),790,640,915,177,164,101,1929,7677,
Camden (A),3116,2900,3404,566,553,371,8195,30534,
Campbelltown (C),7691,6548,12960,1669,1561,729,20197,91724,
Canada Bay (A),10667,5028,6396,1007,3054,1070,7202,31315,
Canterbury (C),11228,7041,14278,1672,3176,806,12640,79131,
Carrathool (A),126,97,281,25,8,15,329,1949,
Central Darling (A),82,58,260,13,7,13,174,1338,
Cessnock (C),1556,1619,4480,517,185,208,7994,29649,
Clarence Valley (A),2144,1999,4544,718,289,353,7786,30314,
Cobar (A),216,120,551,50,19,19,758,3191,
Coffs Harbour (C),4086,3544,5602,933,597,588,10813,38755,
Conargo (A),96,103,144,11,3,22,240,1056,
Coolamon (A),203,126,284,49,24,26,530,2792,
Cooma-Monaro (A),702,484,943,134,132,103,1615,5616,
Coonamble (A),176,144,340,33,21,28,446,3024,
Cootamundra (A),340,295,615,109,33,51,1097,4764,
Corowa Shire (A),445,411,996,135,46,69,1840,7041,
Cowra (A),580,487,1044,190,76,92,1759,8245,
Deniliquin (A),354,310,737,82,41,33,1107,4770,
Dubbo (C),2254,1457,3619,503,298,332,5826,23552,
Dungog (A),465,412,687,94,84,71,1346,4896,
Eurobodalla (A),2068,1825,3309,623,321,328,6165,20373,
Fairfield (C),9246,7516,17389,1839,914,425,18004,124556,
Forbes (A),434,360,950,104,45,69,1320,6079,
Gilgandra (A),200,152,412,51,16,20,580,3097,
Glen Innes Severn (A),396,368,838,105,46,67,1262,5686,
Gloucester (A),259,218,383,48,26,42,738,3085,
Gosford (C),11396,10061,16661,2410,2124,1467,25660,88371,
Goulburn Mulwaree (A),1276,1329,2789,397,216,212,4238,15625,
Greater Taree (C),2002,2064,4104,670,247,337,7475,28248,
Greater Hume Shire (A),518,505,729,137,56,74,1585,6120,
Great Lakes (A),1481,1654,3374,487,243,217,6005,19302,
Griffith (C),1223,770,2316,253,155,135,3318,15631,
Gundagai (A),156,136,327,35,16,20,505,2499,
Gunnedah (A),518,449,970,141,41,65,1668,7676,
Guyra (A),175,141,365,49,36,21,463,2972,
Gwydir (A),248,209,442,69,18,14,663,3648,
Harden (A),159,157,331,39,16,31,502,2338,
Hastings (A),3856,3840,6378,1117,533,587,12128,40002,
Hawkesbury (C),3588,3330,5035,748,668,499,10840,35858,
Hay (A),131,118,247,33,12,23,379,2440,
Holroyd (C),7768,4915,8994,1095,2038,544,10942,53470,
Hornsby (A),24991,13056,9785,2328,7936,2640,17027,73571,
Hunter's Hill (A),2335,1012,1304,202,821,214,992,6351,
Hurstville (C),8474,4956,6648,1053,2563,656,8838,40533,
Inverell (A),678,560,1343,217,61,125,2275,10252,
Jerilderie (A),83,52,126,9,10,3,225,1132,
Junee (A),221,185,1150,60,31,27,774,3319,
Kempsey (A),1020,1027,2974,366,124,165,4425,17288,
Kiama (A),1938,1530,1489,310,429,321,3232,9733,
Kogarah (A),7020,4064,4729,794,2174,585,6112,27057,
Ku-ring-gai (A),21906,9101,5956,1632,7488,1996,6593,46417,
Kyogle (A),518,374,754,115,66,90,1278,6064,
Lachlan (A),259,250,575,85,22,50,763,4662,
Lake Macquarie (C),11843,10122,15217,2379,2223,1538,32884,106937,
Lane Cove (A),6681,2567,2573,495,2317,651,2320,12819,
Leeton (A),502,339,972,112,78,76,1563,7462,
Leichhardt (A),10951,3853,4852,612,3888,1290,4175,19157,
Lismore (C),3408,2214,3223,613,565,538,6517,25129,
Lithgow (C),780,741,2137,254,113,136,3393,12211,
Liverpool (C),10055,8220,16520,2015,1612,638,20855,104692,
Liverpool Plains (A),316,296,830,109,26,48,1006,4909,
Lockhart (A),148,141,228,47,15,29,532,2036,
Maitland (C),3456,3054,4709,678,509,471,10628,38365,
Manly (A),7524,3403,4065,663,2061,667,3366,15363,
Marrickville (A),12189,4657,8300,934,3871,1465,6728,33679,
Mid-Western Regional (A),1084,885,1925,299,144,157,3481,13113,
Moree Plains (A),710,484,1655,121,65,78,1701,9154,
Mosman (A),6283,2400,2469,495,2102,536,1607,10349,
Murray (A),289,248,677,68,18,45,1009,4063,
Murrumbidgee (A),114,80,217,25,12,11,315,1730,
Muswellbrook (A),592,522,1518,126,68,73,2578,9758,
Nambucca (A),823,758,1828,296,111,138,2847,11093,
Narrabri (A),609,456,1186,143,85,77,1728,8842,
Narrandera (A),233,202,624,62,26,38,797,4025,
Narromine (A),311,245,530,68,32,34,855,4434,
Newcastle (C),14161,8056,13075,1573,3031,1539,21647,78678,
North Sydney (A),15907,5538,7245,1004,5106,1470,4105,17889,
Oberon (A),246,189,497,58,46,43,763,3189,
Orange (C),2354,1785,3191,458,431,280,5394,21436,
Palerang (A),1433,829,934,173,508,303,1721,6412,
Parkes (A),622,483,1203,177,59,83,2148,9503,
Parramatta (C),17719,9285,15562,2175,5870,1373,16359,79984,
Penrith (C),9096,7908,14226,1986,1490,978,27165,109292,
Pittwater (A),6802,5069,4901,1042,1721,800,7765,26054,
Port Stephens (A),2917,3309,5405,833,468,385,11165,35998,
Queanbeyan (C),2976,2104,3010,420,920,587,5008,20954,
Randwick (C),20017,8239,14787,1729,6800,1742,11887,54688,
Richmond Valley (A),748,667,1961,245,104,109,3085,14399,
Rockdale (C),9563,5968,10803,1240,2777,731,10451,50579,
Ryde (C),15689,7677,8829,1453,5123,1443,10443,46289,
Shellharbour (C),2432,2688,5085,771,387,308,10626,38051,
Shoalhaven (C),4539,4643,8210,1358,800,772,16077,52014,
Singleton (A),1074,1002,1619,229,138,133,4021,13720,
Snowy River (A),539,414,1320,94,78,72,1280,3393,
Strathfield (A),5359,2053,3505,489,1748,337,2360,16140,
Sutherland Shire (A),20572,16316,16134,3008,4322,2384,35377,107328,
Sydney (C),32194,10658,39027,2047,10613,2643,10767,48626,
Tamworth Regional (A),2929,2476,4663,745,397,450,8575,33362,
Temora (A),254,182,492,90,15,44,870,3915,
Tenterfield (A),280,266,526,93,28,47,915,4374,
Tumbarumba (A),167,169,416,48,12,26,497,2200,
Tumut Shire (A),495,448,965,132,73,62,1663,6969,
Tweed (A),4204,3944,8463,1183,624,583,12824,47484,
Upper Hunter Shire (A),640,518,1186,182,77,73,2090,8202,
Upper Lachlan (A),424,328,625,87,77,57,1087,4374,
Uralla (A),409,291,401,79,133,68,893,3473,
Urana (A),45,39,91,25,3,11,139,908,
Wagga Wagga (C),4056,2748,3963,809,807,599,9244,34792,
Wakool (A),223,144,479,40,9,35,582,2837,
Walcha (A),153,162,237,52,18,19,459,2084,
Walgett (A),305,231,836,79,22,29,832,4624,
Warren (A),130,119,210,29,4,13,322,1916,
Warringah (A),17312,12050,11445,2283,3849,1770,18816,66310,
Warrumbungle Shire (A),451,406,943,131,54,61,1314,6458,
Waverley (A),12396,4563,11121,935,3317,963,4904,22518,
Weddin (A),163,153,326,49,23,28,506,2394,
Wellington (A),360,317,826,90,51,53,1083,5337,
Wentworth (A),319,246,621,60,25,49,881,4567,
Willoughby (C),14174,5048,5551,1023,4609,1191,4513,27502,
Wingecarribee (A),3551,2898,3699,653,816,564,6723,23372,
Wollondilly (A),2181,2044,3095,541,381,319,7292,24494,
Wollongong (C),14504,10435,16659,2463,4334,1887,29624,104314,
