lga,"Oceanian, nfd","Australian Peoples, nfd",Australian,Australian Aboriginal,Australian South Sea Islander,Torres Strait Islander,"New Zealand Peoples, nfd",Maori,New Zealander,"Melanesian and Papuan, nfd",New Caledonian,Ni-Vanuatu,Papua New Guinean,Solomon Islander,"Melanesian and Papuan, nec","Micronesian, nfd",I-Kiribati,Nauruan,"Micronesian, nec","Polynesian, nfd",Cook Islander,Fijian,Niuean,Samoan,Tongan,Hawaiian,Tahitian,Tokelauan,Tuvaluan,"Polynesian, nec","North-West European, nfd","British, nfd",English,Scottish,Welsh,Channel Islander,Manx,"British, nec",Irish,"Western European, nfd",Austrian,Dutch,Flemish,French,German,Swiss,Belgian,Frisian,Luxembourg,"Western European, nec","Northern European, nfd",Danish,Finnish,Icelandic,Norwegian,Swedish,"Northern European, nec","Southern and Eastern European, nfd","Southern European, nfd",Basque,Catalan,Italian,Maltese,Portuguese,Spanish,Gibraltarian,"Southern European, nec","South Eastern European, nfd",Albanian,Bosnian,Bulgarian,Croatian,Greek,Macedonian,Moldovan,Montenegrin,Romanian,Roma/Gypsy,Serbian,Slovene,Cypriot,Vlach,"South Eastern European, nec","Eastern European, nfd",Belarusan,Czech,Estonian,Hungarian,Latvian,Lithuanian,Polish,Russian,Slovak,Ukrainian,Sorb/Wend,"Eastern European, nec","North African and Middle Eastern, nfd","Arab, nfd",Algerian,Egyptian,Iraqi,Jordanian,Kuwaiti,Lebanese,Libyan,Moroccan,Palestinian,Saudi Arabian,Syrian,Tunisian,Yemeni,Bahraini,Emirati,Omani,Qatari,"Arab, nec",Jewish,"Peoples of the Sudan, nfd",Bari,Darfu/Darfurian,Dinka,Nuer,South Sudanese,Sudanese,"Peoples of the Sudan, nec","Other North African and Middle Eastern, nfd",Berber,Coptic,Iranian,Kurdish,Turkish,Assyrian,Chaldean,Mandaean,Nubian,"Other North African and Middle Eastern, nec","South-East Asian, nfd","Mainland South-East Asian, nfd",Anglo-Burmese,Burmese,Hmong,Khmer (Cambodian),Lao,Thai,Vietnamese,Karen,Mon,Chin,Rohingya,"Mainland South-East Asian, nec","Maritime South-East Asian, nfd",Filipino,Indonesian,Javanese,Madurese,Malay,Sundanese,Timorese,Acehnese,Balinese,Bruneian,Kadazan,Singaporean,Temoq,"Maritime South-East Asian, nec","North-East Asian, nfd","Chinese Asian, nfd",Chinese,Taiwanese,"Chinese Asian, nec","Other North-East Asian, nfd",Japanese,Korean,Mongolian,Tibetan,"Other North-East Asian, nec","Southern and Central Asian, nfd","Southern Asian, nfd",Anglo-Indian,Bengali,Burgher,Gujarati,Indian,Malayali,Nepalese,Pakistani,Punjabi,Sikh,Sinhalese,Maldivian,Bangladeshi,Bhutanese,Fijian Indian,Kashmiri,Parsi,Sindhi,Sri Lankan,Sri Lankan Tamil,Indian Tamil,"Tamil, nfd",Telugu,"Southern Asian, nec","Central Asian, nfd",Afghan,Armenian,Georgian,Kazakh,Pathan,Uzbek,Azeri,Hazara,Tajik,Tatar,Turkmen,Uighur,Kyrgyz,"Central Asian, nec","Peoples of the Americas, nfd","North American, nfd",African American,American,Canadian,French Canadian,Hispanic (North American),Native North American Indian,Bermudan,"North American, nec","South American, nfd",Argentinian,Bolivian,Brazilian,Chilean,Colombian,Ecuadorian,Guyanese,Peruvian,Uruguayan,Venezuelan,Paraguayan,"South American, nec","Central American, nfd",Mexican,Nicaraguan,Salvadoran,Costa Rican,Guatemalan,Mayan,"Central American, nec","Caribbean Islander, nfd",Cuban,Jamaican,Trinidadian (Tobagonian),Barbadian,Puerto Rican,"Caribbean Islander, nec","Sub-Saharan African, nfd","Central and West African, nfd",Akan,Fulani,Ghanaian,Nigerian,Yoruba,Ivorean,Liberian,Sierra Leonean,Acholi,Cameroonian,Congolese,Gio,Igbo,Krahn,Mandinka,Senegalese,Themne,Togolese,"Central and West African, nec","Southern and East African, nfd",Afrikaner,Angolan,Eritrean,Ethiopian,Kenyan,Malawian,Mauritian,Mozambican,Namibian,Oromo,Seychellois,Somali,South African,Tanzanian,Ugandan,Zambian,Zimbabwean,Amhara,Batswana,Hutu,Masai,Tigrayan,Tigre,Zulu,Burundian,Kunama,Madi (Ma'di),Ogaden,Rwandan,Shona,Swahili,Swazilander,"Southern and East African, nec",Inadequately described,"Eurasian, so described","Asian, so described","African, so described","European, so described","Caucasian, so described","Creole, so described",Not stated
Albury (C),0,0,13811,60,4,0,0,74,92,0,0,0,0,0,0,0,0,0,0,0,3,11,0,8,6,0,0,0,0,0,0,3,18671,1941,73,0,0,0,3722,0,75,440,0,42,2024,21,14,0,0,0,5,29,19,0,16,19,0,0,0,0,0,712,45,14,50,0,0,29,0,5,0,103,216,7,0,0,14,0,50,26,3,0,0,14,0,36,9,57,12,9,144,31,8,49,0,0,0,0,0,19,0,0,0,85,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,17,0,7,0,0,0,0,0,0,0,0,4,0,3,112,43,12,0,0,0,0,0,0,210,14,0,0,12,0,0,0,3,0,0,0,0,3,0,0,210,0,0,0,12,29,0,0,0,0,18,0,17,0,0,346,0,42,15,18,0,6,0,65,168,18,0,0,0,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,12,0,0,0,0,0,0,3,0,5,7,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,6,0,0,4,0,0,0,0,0,49,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,73,3,11,23,8,0,0,3083
Armidale Dumaresq (A),7,0,7304,116,0,0,0,28,45,0,0,0,19,5,0,0,3,0,0,0,0,37,0,10,0,0,0,0,0,0,0,0,9416,1003,37,0,0,0,1707,0,21,121,0,35,589,15,5,3,0,0,0,24,5,4,8,13,0,0,0,0,0,162,6,4,14,0,0,3,0,0,3,3,21,0,0,0,6,0,4,0,12,0,0,3,0,3,3,16,7,0,32,28,0,4,0,0,12,64,0,11,6,0,0,37,22,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,32,8,4,0,0,0,0,0,0,0,0,3,0,0,0,26,48,0,0,0,0,0,0,53,31,0,0,10,0,0,0,0,0,0,0,0,0,0,0,377,0,0,0,17,16,0,3,0,0,3,3,13,0,0,77,0,31,24,0,0,8,0,47,21,0,0,0,0,32,4,0,4,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,17,0,0,0,0,0,3,7,0,0,7,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,3,0,3,8,9,0,0,0,0,0,0,5,54,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,9,20,0,0,0,1749
Ashfield (A),24,0,4922,12,8,0,0,92,150,0,0,0,4,0,0,0,0,0,0,3,25,61,3,27,75,0,0,0,0,0,0,3,7650,849,52,0,0,0,2042,0,31,125,0,117,419,27,9,0,0,0,3,24,24,0,7,19,0,4,0,5,0,4030,144,255,303,0,0,21,8,12,7,256,1067,35,0,0,42,0,122,17,46,0,0,9,3,49,12,113,30,17,344,125,17,62,0,0,13,66,7,82,0,8,0,681,0,3,17,0,31,0,0,0,0,0,0,0,23,0,0,0,0,0,0,7,0,0,0,3,71,0,155,7,3,0,0,7,0,0,0,47,0,19,15,254,272,0,0,0,0,0,0,855,89,0,0,31,0,0,0,0,0,0,10,0,7,0,0,6603,25,0,0,159,535,4,3,0,0,35,9,39,0,10,1577,0,1125,27,11,4,18,0,189,0,35,0,0,0,93,12,0,27,3,12,0,14,8,0,0,0,0,0,0,0,0,0,3,0,0,22,0,4,42,25,5,4,0,0,0,40,48,8,30,68,36,3,0,57,21,3,0,0,0,17,0,4,0,0,0,0,4,7,3,0,0,0,0,0,0,0,0,21,4,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,39,0,0,0,0,3,53,3,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,13,28,17,18,0,0,3164
Auburn (C),72,0,4518,14,3,0,0,186,99,0,0,0,22,0,0,0,0,0,0,0,87,216,6,204,543,0,0,4,0,0,0,0,5746,516,21,0,0,0,882,0,30,69,0,53,346,5,7,0,0,0,0,9,13,0,3,14,0,3,0,0,0,1096,165,94,243,0,0,33,0,196,11,716,508,81,0,3,21,0,114,28,88,0,0,5,3,16,13,49,20,16,223,342,23,171,0,3,23,724,44,216,939,89,30,4686,8,31,117,95,178,0,8,0,0,0,0,0,6,7,7,0,14,0,47,182,0,0,0,17,237,134,4586,30,3,0,0,0,3,0,0,307,0,24,45,147,1504,44,0,0,0,24,0,1567,200,3,0,84,0,3,0,0,0,0,14,0,18,0,0,16110,40,0,0,83,3644,13,0,0,0,125,27,94,0,19,2993,9,1382,1162,98,77,89,5,368,0,63,7,0,4,609,200,3,634,3,17,0,1176,36,0,0,18,19,3,838,3,3,21,32,3,0,3,0,3,22,12,0,10,0,0,0,31,36,0,6,75,38,6,3,37,54,7,0,3,0,12,0,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,22,18,0,0,28,42,0,3,19,0,0,0,3,0,0,0,3,0,0,3,8,58,12,0,54,0,0,0,3,310,71,8,12,0,19,0,0,0,0,0,0,0,7,0,0,0,4,3,0,0,0,71,3,85,173,20,5,0,7790
Ballina (A),4,0,11557,162,0,0,0,47,126,0,0,0,15,0,0,0,0,0,0,0,3,12,4,4,4,0,0,0,0,0,0,3,16993,1664,90,0,3,0,3019,0,32,315,0,47,799,39,5,0,0,0,0,31,15,0,23,40,0,0,0,0,0,692,65,8,36,0,0,16,0,3,3,53,58,6,0,0,0,0,11,12,9,0,0,4,0,15,15,30,14,6,59,22,5,16,0,0,0,0,0,3,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,24,0,5,0,0,0,0,3,0,0,0,3,0,3,3,50,15,0,0,0,0,0,0,86,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,50,14,0,0,0,0,3,0,0,0,0,56,0,7,4,6,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,18,6,0,6,0,0,0,7,3,11,18,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,3,3,7,0,0,2227
Balranald (A),0,0,693,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,724,61,0,0,0,0,141,0,0,10,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246
Bankstown (C),121,0,24341,79,3,0,0,675,303,0,0,0,10,0,0,3,0,0,0,13,204,449,29,979,572,0,0,8,0,0,4,5,26768,2498,106,3,0,0,4688,0,122,338,0,278,1584,34,15,0,0,0,3,46,60,0,17,31,0,17,0,0,0,6049,801,586,622,0,0,133,29,242,23,915,6752,3395,5,19,119,0,408,145,686,0,0,9,14,84,40,265,143,110,962,336,42,248,0,10,143,2145,84,1659,977,389,18,28972,3,48,1008,43,1537,34,22,0,0,0,0,4,10,4,0,0,9,0,0,155,0,0,0,84,169,132,618,166,7,0,0,8,6,0,0,144,0,177,83,294,14468,62,0,0,3,0,0,1619,692,0,0,103,0,11,3,3,0,0,21,0,9,0,0,12942,34,0,0,116,1280,5,0,0,0,144,38,136,0,3,2494,8,168,1217,51,106,36,0,595,0,328,0,0,0,282,18,3,68,0,14,0,228,125,0,0,23,0,0,122,4,0,17,13,0,0,19,0,9,72,20,3,22,10,0,0,132,52,15,77,351,69,37,0,108,83,10,3,0,0,18,11,30,8,0,0,0,10,6,3,0,0,0,3,0,33,5,6,143,57,0,0,0,159,0,3,4,0,0,0,0,8,0,0,22,0,3,0,18,79,4,0,385,0,0,3,3,116,196,0,0,5,60,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,10,161,11,60,356,50,0,0,14798
Bathurst Regional (A),4,0,12083,61,0,0,0,60,61,0,0,0,3,0,0,0,0,0,0,0,3,3,3,17,20,0,3,0,0,0,0,3,15428,1429,60,0,0,0,3003,0,21,243,0,39,629,16,0,0,0,0,3,29,7,0,6,12,0,0,0,0,0,418,71,14,18,0,0,21,0,9,0,35,69,5,0,0,13,0,24,5,0,0,0,5,0,12,3,38,12,7,67,37,0,17,0,0,0,6,0,9,0,5,0,99,0,0,0,0,3,0,0,0,0,0,0,0,7,7,0,0,0,0,3,21,0,0,7,0,16,6,15,0,0,0,0,0,0,0,0,0,0,9,0,14,29,0,0,0,0,0,0,89,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,15,12,0,3,0,0,7,0,0,0,0,101,0,8,5,0,0,7,0,18,0,9,0,0,0,26,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,0,0,0,0,0,9,5,0,0,7,7,6,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,44,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,11,4,0,0,3326
Bega Valley (A),0,0,9450,31,0,0,0,28,72,0,0,0,0,0,0,0,0,0,0,0,3,13,0,10,3,0,0,0,3,0,0,9,13915,1408,64,0,0,0,2178,0,39,401,0,46,832,29,11,0,0,0,0,34,18,3,25,17,0,0,0,0,0,337,67,8,17,0,0,20,0,3,0,38,56,9,0,0,3,3,9,13,10,0,0,6,3,13,15,43,15,15,87,29,0,17,0,0,0,3,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,23,0,0,0,0,0,0,72,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,22,8,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,11,0,0,0,0,0,0,7,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,4,4,0,9,0,0,1957
Bellingen (A),0,0,3748,6,0,0,0,14,33,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,6,0,5,5571,596,39,0,0,0,947,0,22,134,0,23,311,16,3,0,0,0,0,9,0,0,8,7,0,0,0,0,0,100,8,0,11,0,0,3,0,0,0,8,10,0,0,0,0,0,3,5,0,0,0,3,0,8,0,14,3,0,34,12,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3,0,0,9,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,0,0,0,0,0,3,0,4,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,9,7,0,0,557
