lga,"Oceania and Antarctica, nfd","Australia (includes External Territories), nfd",Australia,Norfolk Island,"Australian External Territories, nec",New Zealand,"Melanesia, nfd",New Caledonia,Papua New Guinea,Solomon Islands,Vanuatu,"Micronesia, nfd",Guam,Kiribati,Marshall Islands,"Micronesia, Federated States of",Nauru,Northern Mariana Islands,Palau,"Polynesia (excludes Hawaii), nfd",Cook Islands,Fiji,French Polynesia,Niue,Samoa,"Samoa, American",Tokelau,Tonga,Tuvalu,Wallis and Futuna,Pitcairn Islands,"Polynesia (excludes Hawaii), nec","Antarctica, nfd",Adelie Land (France),Argentinian Antarctic Territory,Australian Antarctic Territory,British Antarctic Territory,Chilean Antarctic Territory,Queen Maud Land (Norway),Ross Dependency (New Zealand),"North-West Europe, nfd","United Kingdom, Channel Islands and Isle of Man, nfd",England,Isle of Man,Northern Ireland,Scotland,Wales,Guernsey,Jersey,Ireland,"Western Europe, nfd",Austria,Belgium,France,Germany,Liechtenstein,Luxembourg,Monaco,Netherlands,Switzerland,"Northern Europe, nfd",Denmark,Faroe Islands,Finland,Greenland,Iceland,Norway,Sweden,Aland Islands,"Southern and Eastern Europe, nfd","Southern Europe, nfd",Andorra,Gibraltar,Holy See,Italy,Malta,Portugal,San Marino,Spain,"South Eastern Europe, nfd",Albania,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Former Yugoslav Republic of Macedonia (FYROM),Greece,Moldova,Romania,Slovenia,Montenegro,Serbia,Kosovo,"Eastern Europe, nfd",Belarus,Czech Republic,Estonia,Hungary,Latvia,Lithuania,Poland,Russian Federation,Slovakia,Ukraine,"North Africa and the Middle East, nfd","North Africa, nfd",Algeria,Egypt,Libya,Morocco,Sudan,Tunisia,Western Sahara,Spanish North Africa,South Sudan,"Middle East, nfd",Bahrain,Gaza Strip and West Bank,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,Syria,Turkey,United Arab Emirates,Yemen,"South-East Asia, nfd","Mainland South-East Asia, nfd",Burma (Republic of the Union of Myanmar),Cambodia,Laos,Thailand,Vietnam,"Maritime South-East Asia, nfd",Brunei Darussalam,Indonesia,Malaysia,Philippines,Singapore,Timor-Leste,"North-East Asia, nfd","Chinese Asia (includes Mongolia), nfd",China (excludes SARs and Taiwan),Hong Kong (SAR of China),Macau (SAR of China),Mongolia,Taiwan,"Japan and the Koreas, nfd",Japan,"Korea, Democratic People's Republic of (North)","Korea, Republic of (South)","Southern and Central Asia, nfd","Southern Asia, nfd",Bangladesh,Bhutan,India,Maldives,Nepal,Pakistan,Sri Lanka,"Central Asia, nfd",Afghanistan,Armenia,Azerbaijan,Georgia,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,"Americas, nfd","Northern America, nfd",Bermuda,Canada,St Pierre and Miquelon,United States of America,"South America, nfd",Argentina,"Bolivia, Plurinational State of",Brazil,Chile,Colombia,Ecuador,Falkland Islands,French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,"Venezuela, Bolivarian Republic of","South America, nec","Central America, nfd",Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,"Caribbean, nfd",Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,Cayman Islands,Cuba,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,St Kitts and Nevis,St Lucia,St Vincent and the Grenadines,Trinidad and Tobago,Turks and Caicos Islands,"Virgin Islands, British","Virgin Islands, United States",St Barthelemy,St Martin (French part),"Bonaire, Sint Eustatius and Saba",Curacao,Sint Maarten (Dutch part),"Sub-Saharan Africa, nfd","Central and West Africa, nfd",Benin,Burkina Faso,Cameroon,Cape Verde,Central African Republic,Chad,"Congo, Republic of","Congo, Democratic Republic of",Cote d'Ivoire,Equatorial Guinea,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Sao Tome and Principe,Senegal,Sierra Leone,Togo,"Southern and East Africa, nfd",Angola,Botswana,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Lesotho,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,Namibia,Reunion,Rwanda,St Helena,Seychelles,Somalia,South Africa,Swaziland,Tanzania,Uganda,Zambia,Zimbabwe,"Southern and East Africa, nec",Inadequately described,At sea,Not stated
Albury (C),0,0,40479,0,0,477,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083,0,18,189,44,0,0,72,0,53,16,20,288,0,0,0,193,22,0,8,0,18,0,0,9,8,0,0,0,0,0,0,90,15,3,0,23,39,0,12,0,43,7,3,56,0,7,18,0,31,3,14,0,16,0,24,8,5,48,12,0,28,0,0,0,25,3,0,10,0,0,0,0,0,0,0,13,0,4,0,0,28,0,0,0,6,5,0,0,0,0,4,0,81,44,17,0,0,22,28,219,13,0,0,0,68,22,0,0,6,0,13,0,37,0,0,91,139,355,0,74,24,35,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,83,0,0,0,6,7,3,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0,14,0,0,0,11,0,0,0,0,0,0,0,0,13,0,0,0,6,0,0,0,0,0,0,3,0,136,0,0,3,10,30,0,6,0,2452
Armidale Dumaresq (A),0,0,19766,0,0,235,0,0,40,7,3,0,0,3,0,0,0,0,0,0,5,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,518,5,10,82,20,0,0,19,0,23,6,16,117,0,0,0,59,10,0,7,0,3,0,4,3,7,0,0,0,0,0,0,25,3,4,0,0,3,0,0,3,0,14,0,5,0,7,0,0,0,0,6,0,0,0,9,0,0,7,13,0,0,0,0,0,8,24,3,28,0,0,0,0,0,0,0,30,20,6,4,0,9,0,0,125,0,4,0,0,0,0,3,0,0,29,40,0,0,41,37,61,21,0,0,0,247,33,0,0,0,0,25,0,14,0,0,58,26,68,0,29,18,39,0,7,0,0,0,0,0,0,0,0,0,0,0,50,0,119,0,4,0,5,5,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,3,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,7,23,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,6,0,15,0,7,0,1518
Ashfield (A),0,0,20326,0,0,769,0,10,41,3,0,0,0,0,0,0,0,0,0,0,13,146,0,0,13,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,3,993,0,18,136,25,0,0,185,0,25,11,68,124,0,0,0,57,21,0,13,0,11,0,3,6,14,0,0,0,0,0,0,1768,60,167,0,88,43,3,16,0,115,48,12,401,0,38,8,0,64,0,12,10,24,4,72,21,7,231,42,16,40,0,0,9,96,0,4,4,0,0,0,0,0,3,14,53,10,3,6,5,308,0,4,9,16,113,7,0,0,0,68,28,28,278,413,0,8,229,252,789,103,10,0,0,4146,420,12,12,85,0,151,0,454,0,0,224,0,1404,0,1120,20,118,0,10,0,0,0,0,0,0,0,0,0,0,0,88,0,179,3,80,10,37,98,72,17,0,0,0,7,80,0,60,11,0,0,0,0,5,4,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,4,0,0,0,11,0,0,5,0,0,3,0,0,0,0,3,9,11,0,0,0,64,0,0,0,0,0,0,3,3,126,0,11,5,3,22,0,18,0,2647
Auburn (C),63,0,26445,0,0,885,0,3,35,3,3,0,0,0,0,0,0,0,0,0,45,457,0,5,111,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,0,11,106,14,0,0,97,0,48,10,41,140,0,0,0,30,8,0,14,0,7,0,0,0,3,0,0,0,0,0,0,367,102,59,0,39,49,0,187,21,383,103,70,212,4,32,15,3,55,7,6,4,10,4,21,10,17,126,74,10,97,0,0,30,220,23,17,198,3,0,0,28,8,3,24,349,864,15,111,97,2126,3,10,234,151,2616,40,3,0,0,456,177,69,228,3347,0,10,557,466,1360,169,12,0,3,8342,815,37,8,206,0,79,4,3086,0,3,459,0,2653,3,1347,1227,1292,0,1622,10,4,0,4,19,0,0,12,0,0,0,65,0,123,0,72,0,21,112,51,3,0,0,0,10,57,0,84,14,0,0,0,0,23,0,0,9,5,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,9,0,0,0,0,42,22,0,35,0,0,0,30,0,0,115,0,0,4,3,3,0,4,9,58,59,0,0,0,65,0,0,0,0,0,0,3,181,193,0,20,22,0,34,3,47,0,5308
Ballina (A),0,0,33168,3,0,600,0,0,66,5,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399,0,18,176,63,0,0,64,0,22,4,29,149,0,0,0,161,34,0,20,0,10,0,0,12,14,0,0,0,0,0,0,90,30,0,0,6,17,0,0,0,14,3,3,8,0,0,8,0,8,0,4,0,4,3,17,3,4,14,3,3,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,16,4,10,0,0,3,0,0,0,0,3,0,0,0,0,3,0,3,60,21,0,0,22,38,93,17,0,0,0,52,24,0,0,3,0,50,0,12,0,0,0,0,59,0,7,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,149,0,6,3,14,28,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,3,0,0,0,0,0,0,0,0,175,0,4,0,4,24,0,3,0,1885
Balranald (A),0,0,1938,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,0,3,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,180
Bankstown (C),0,0,102507,0,0,2390,0,15,56,13,10,0,0,0,0,3,4,0,0,0,107,1136,4,4,475,3,3,284,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1866,0,75,364,60,0,3,297,0,113,18,90,614,0,0,0,173,50,0,25,0,41,0,0,17,23,0,0,0,0,0,0,1952,435,318,0,103,196,6,235,20,445,603,1764,2141,5,126,94,15,183,6,33,16,50,31,135,87,63,598,114,31,147,5,0,51,1467,30,46,230,17,0,0,3,9,16,237,206,1084,66,428,250,12995,12,17,185,944,389,93,11,0,0,221,309,98,382,12398,0,9,986,526,1481,183,11,0,0,5219,891,21,3,125,0,118,3,1005,0,0,625,0,1672,0,140,984,425,0,320,3,0,3,3,0,0,0,7,0,0,0,97,0,248,4,161,14,91,360,80,63,0,0,8,8,129,0,181,26,0,0,3,7,44,6,0,15,12,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,7,3,0,0,0,182,31,0,25,0,0,0,85,0,28,298,0,0,10,0,0,0,0,12,65,29,3,0,0,416,0,0,0,4,6,0,4,76,315,0,11,9,13,113,0,107,5,11121
Bathurst Regional (A),9,0,33178,0,0,459,0,0,28,5,6,0,0,0,0,0,0,0,0,0,7,48,3,0,10,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784,0,19,167,33,0,0,52,0,17,4,23,121,0,0,0,116,19,0,13,0,6,0,0,3,4,0,0,0,0,0,0,45,25,11,0,6,20,0,4,0,20,0,3,15,0,8,3,0,9,0,3,0,3,3,12,4,0,15,7,0,5,0,0,7,13,0,0,24,0,0,0,7,0,3,0,11,10,0,5,0,45,0,0,3,0,4,4,0,0,0,3,11,0,18,43,0,0,14,35,92,20,0,0,0,116,26,0,0,0,0,18,0,17,0,0,20,0,66,0,9,11,41,0,3,0,0,0,0,0,0,0,0,0,0,0,53,0,60,0,9,0,6,9,8,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,4,3,17,0,4,0,2151
Bega Valley (A),0,0,26552,0,0,382,0,0,19,0,3,0,0,0,0,0,0,0,0,0,0,18,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1458,0,23,189,35,0,0,51,0,36,9,26,252,0,0,0,227,27,0,18,0,19,0,0,11,4,0,0,0,0,3,0,58,39,0,0,8,19,0,3,0,23,8,3,13,0,3,8,0,0,0,4,0,4,6,18,0,3,21,3,0,7,0,0,0,8,0,4,0,0,0,0,0,0,5,0,8,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,24,17,0,0,13,22,78,11,4,0,0,26,8,0,0,3,0,28,0,5,0,0,0,0,26,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,127,0,10,0,0,10,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,76,0,0,0,4,10,0,3,0,1647
Bellingen (A),0,0,10489,0,0,188,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,5,80,25,0,4,19,0,17,3,18,107,0,0,0,68,14,0,8,0,0,0,0,5,11,0,0,0,0,0,0,11,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,4,3,0,0,12,8,18,8,0,0,0,11,11,0,0,3,0,9,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,46,0,4,0,0,5,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,3,0,0,0,502
