lga,Negative income,Nil income,"$1-$199 ($1-$10,399)","$200-$299 ($10,400-$15,599)","$300-$399 ($15,600-$20,799)","$400-$599 ($20,800-$31,199)","$600-$799 ($31,200-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,999 ($78,000-$103,999)","$2,000 or more ($104,000 or more)",Not stated,Not applicable
Albury (C),176,2195,2712,4084,4352,5368,4669,3618,3102,1890,2073,1331,2943,9298
Armidale Dumaresq (A),135,1366,1692,2466,2109,2557,2278,1466,1280,816,1083,699,1547,4598
Ashfield (A),207,3266,2095,3130,3330,3488,3211,2772,2837,2100,2735,2767,3079,6212
Auburn (C),610,7777,4710,7119,5354,6289,5914,4216,3644,2327,2510,1940,6827,14495
Ballina (A),173,1633,2373,3977,4379,5220,3929,2563,1986,1265,1575,1043,2106,7043
Balranald (A),17,128,113,237,229,235,239,142,106,68,54,46,199,469
Bankstown (C),1057,14342,12001,19699,15687,16125,14394,11046,9355,5993,6369,4065,12682,39552
Bathurst Regional (A),137,1886,2379,3365,3365,3744,3170,2468,2328,1638,2000,1208,2835,7999
Bega Valley (A),139,1445,2124,3754,3673,4178,3068,2168,1560,851,972,584,1837,5589
Bellingen (A),77,625,843,1558,1524,1620,1128,696,545,335,361,203,554,2445
Berrigan (A),54,404,497,1055,896,999,732,511,406,214,194,133,583,1398
Blacktown (C),1547,22802,17897,24008,20847,23511,26009,21985,19936,13128,13679,7869,16424,71462
Bland (A),70,310,338,609,586,740,498,299,253,206,193,165,295,1285
Blayney (A),31,336,378,619,643,743,580,402,393,247,350,289,409,1567
Blue Mountains (C),286,4136,4838,5639,6378,7520,6046,4739,4761,3525,5330,3746,4202,14800
Bogan (A),24,142,171,269,262,257,221,186,151,79,90,88,272,681
Bombala (A),14,128,162,229,293,271,254,153,138,80,62,38,142,446
Boorowa (A),30,118,162,232,278,304,231,136,102,79,84,43,125,470
Botany Bay (C),186,2988,2067,3397,3211,3301,3570,2802,2512,1744,2111,1615,2700,7141
Bourke (A),19,105,111,189,212,227,228,156,172,107,137,62,431,727
Brewarrina (A),10,97,126,228,188,146,112,83,64,41,52,35,131,448
Broken Hill (C),103,716,992,2332,2519,1922,1414,900,818,591,856,433,1588,3339
Burwood (A),225,3645,1935,2863,2656,2957,2576,2030,1923,1312,1660,1538,2330,4777
Byron (A),157,1431,1702,2963,3208,3888,2776,1799,1394,807,963,838,1903,5388
Cabonne (A),84,734,693,1169,1190,1340,1117,864,746,444,591,415,625,2804
Camden (A),203,3408,3146,3405,3604,4427,4522,3970,4198,3189,3911,2500,2477,13767
Campbelltown (C) (NSW),718,10334,9137,12237,10750,12557,13677,10915,9874,5989,5929,2991,8835,32017
Canada Bay (A),379,6085,3597,4604,4305,5260,5135,4736,5135,4312,5875,8435,5152,12745
Canterbury (C),835,12315,8577,14805,11393,12646,11392,8384,6921,4488,4609,3276,10364,27456
Carrathool (A),21,128,152,217,257,276,238,233,162,83,78,52,144,554
Central Darling (A),14,96,154,244,218,202,131,94,92,51,62,39,176,412
Cessnock (C),190,2480,2973,5316,5320,5134,3992,2769,2435,1577,2037,2040,3715,10858
Clarence Valley (A),255,2173,3365,6953,6165,6512,4348,2611,1983,1150,1292,668,2976,9227
Cobar (A),30,252,241,391,393,367,299,216,238,203,319,337,380,1057
Coffs Harbour (C),297,3061,4277,7715,7332,8332,6566,4297,3470,2093,2286,1410,4178,13113
Conargo (A),53,74,117,122,120,170,135,105,76,48,49,28,85,369
Coolamon (A),36,180,205,474,443,459,359,235,194,113,126,91,265,922
Cooma-Monaro (A),38,414,648,838,954,1075,904,662,537,364,444,352,665,1869
Coonamble (A),34,185,206,442,467,465,336,241,163,110,111,83,336,861
Cootamundra (A),33,339,377,972,903,778,700,425,347,187,246,141,501,1385
Corowa Shire (A),73,491,645,1276,1183,1359,989,770,631,405,307,157,703,2016
Cowra (A),77,519,763,1514,1470,1456,1139,652,484,267,341,184,961,2310
Deniliquin (A),26,282,402,695,875,839,697,450,377,218,240,127,553,1348
Dubbo (C),160,1525,2079,3086,3421,4083,3900,2677,2423,1628,1859,984,2253,8716
Dungog (A),55,454,553,829,876,901,739,472,414,322,393,290,456,1565
Eurobodalla (A),155,1396,2346,4763,4406,4890,3300,2059,1623,833,985,540,2563,5884
Fairfield (C),1257,16546,14167,25440,16969,16557,16096,11050,8942,4861,4249,2295,11116,38222
Forbes (A),73,419,532,913,1077,1116,923,510,419,253,289,175,535,1935
Gilgandra (A),45,197,251,505,521,525,355,275,175,110,100,75,359,870
Glen Innes Severn (A),56,311,622,1204,1074,1106,752,459,342,202,205,114,642,1566
Gloucester (A),29,222,363,608,598,641,427,277,225,113,133,146,312,781
Gosford (C),631,8599,10070,13912,15702,17588,13909,10436,9697,6566,8066,6257,10645,30375
Goulburn Mulwaree (A),104,1220,1550,2571,2910,3053,2493,1775,1612,1096,1265,627,1981,5216
Great Lakes (A),166,1445,2130,4987,4822,4819,3002,1810,1250,755,885,656,2410,5294
Greater Hume Shire (A),82,511,608,942,990,1093,866,658,523,321,340,196,614,2075
Greater Taree (C),210,1879,3046,6557,5986,5750,4168,2418,1893,1076,1224,638,3025,8678
Griffith (C),169,1110,1381,2096,2112,2509,2592,1658,1394,739,784,498,1834,5480
Gundagai (A),22,179,230,357,396,423,323,232,186,99,125,92,216,782
Gunnedah (A),76,518,731,1176,1234,1303,1062,695,563,367,458,401,923,2553
Guyra (A),46,176,262,513,533,535,443,268,167,83,79,51,276,967
Gwydir (A),70,250,340,693,600,595,428,294,187,113,115,79,260,940
Harden (A),22,187,183,471,433,397,337,206,185,84,103,78,200,699
Hawkesbury (C),278,3507,3686,4246,4523,5805,5603,4543,4574,3029,3350,2200,3645,13365
Hay (A),14,142,179,333,345,323,267,182,154,85,91,44,192,596
Holroyd (C),504,7643,5985,9116,7677,8474,8368,6808,6172,4114,4309,2622,6620,20755
Hornsby (A),598,13527,10641,8779,9374,12513,11007,9551,10017,7740,11415,14745,6503,30448
Hunters Hill (A),53,1259,615,638,687,885,691,674,698,617,859,2117,908,2524
Hurstville (C),422,7453,4761,6422,6427,7185,6870,5390,5083,3394,4192,3464,3800,13995
Inverell (A),133,678,1045,1967,1694,1838,1640,972,632,343,421,231,1071,3420
Jerilderie (A),19,86,81,147,171,159,141,109,83,36,32,22,115,286
Junee (A),26,261,274,531,535,537,452,342,234,175,172,105,1103,1132
Kempsey (A),144,1096,1780,3849,3825,3450,2295,1378,1009,551,611,369,2300,5468
Kiama (A),61,1015,1380,1625,1827,2296,1678,1231,1233,928,1307,1008,890,3505
Kogarah (C),298,5293,3236,3960,3815,4779,4610,3788,3756,2633,3291,3547,2952,9844
Ku-ring-gai (A),464,10241,6911,4683,4805,7141,6245,5524,5872,4787,7198,17886,5028,22510
Kyogle (A),53,478,654,1367,1185,1160,768,477,299,189,186,118,532,1759
Lachlan (A),108,312,363,677,678,733,548,390,308,172,190,127,500,1378
