lga,"Agriculture, Forestry and Fishing, nfd",Agriculture,Aquaculture,Forestry and Logging,"Fishing, Hunting and Trapping","Agriculture, Forestry and Fishing Support Services","Mining, nfd",Coal Mining,Oil and Gas Extraction,Metal Ore Mining,Non-Metallic Mineral Mining and Quarrying,Exploration and Other Mining Support Services,"Manufacturing, nfd",Food Product Manufacturing,Beverage and Tobacco Product Manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing",Wood Product Manufacturing,"Pulp, Paper and Converted Paper Product Manufacturing",Printing (including the Reproduction of Recorded Media),Petroleum and Coal Product Manufacturing,Basic Chemical and Chemical Product Manufacturing,Polymer Product and Rubber Product Manufacturing,Non-Metallic Mineral Product Manufacturing,Primary Metal and Metal Product Manufacturing,Fabricated Metal Product Manufacturing,Transport Equipment Manufacturing,Machinery and Equipment Manufacturing,Furniture and Other Manufacturing,"Electricity, Gas, Water and Waste Services, nfd",Electricity Supply,Gas Supply,"Water Supply, Sewerage and Drainage Services","Waste Collection, Treatment and Disposal Services","Construction, nfd",Building Construction,Heavy and Civil Engineering Construction,Construction Services,"Wholesale Trade, nfd",Basic Material Wholesaling,Machinery and Equipment Wholesaling,Motor Vehicle and Motor Vehicle Parts Wholesaling,"Grocery, Liquor and Tobacco Product Wholesaling",Other Goods Wholesaling,Commission-Based Wholesaling,"Retail Trade, nfd",Motor Vehicle and Motor Vehicle Parts Retailing,Fuel Retailing,Food Retailing,Other Store-Based Retailing,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,"Accommodation and Food Services, nfd",Accommodation,Food and Beverage Services,"Transport, Postal and Warehousing, nfd",Road Transport,Rail Transport,Water Transport,Air and Space Transport,Other Transport,Postal and Courier Pick-up and Delivery Services,Transport Support Services,Warehousing and Storage Services,"Information Media and Telecommunications, nfd",Publishing (except Internet and Music Publishing),Motion Picture and Sound Recording Activities,Broadcasting (except Internet),Internet Publishing and Broadcasting,Telecommunications Services,"Internet Service Providers, Web Search Portals and Data Processing Services",Library and Other Information Services,"Financial and Insurance Services, nfd",Finance,Insurance and Superannuation Funds,Auxiliary Finance and Insurance Services,"Rental, Hiring and Real Estate Services, nfd",Rental and Hiring Services (except Real Estate),Property Operators and Real Estate Services,"Professional, Scientific and Technical Services, nfd","Professional, Scientific and Technical Services (except Computer System Design and Related Services)",Computer System Design and Related Services,"Administrative and Support Services, nfd",Administrative Services,"Building Cleaning, Pest Control and Other Support Services","Public Administration and Safety, nfd",Public Administration,Defence,"Public Order, Safety and Regulatory Services","Education and Training, nfd",Preschool and School Education,Tertiary Education,"Adult, Community and Other Education","Health Care and Social Assistance, nfd",Hospitals,Medical and Other Health Care Services,Residential Care Services,Social Assistance Services,"Arts and Recreation Services, nfd",Heritage Activities,Creative and Performing Arts Activities,Sports and Recreation Activities,Gambling Activities,"Other Services, nfd",Repair and Maintenance,Personal and Other Services,Private Households Employing Staff and Undifferentiated Goods and Service-Producing Activities of Households for Own Use,Inadequately described,Not stated,Not applicable,
Albury (C),4,165,0,11,3,42,12,3,0,6,15,5,316,575,35,111,57,240,57,6,33,91,108,246,239,275,382,49,0,80,3,43,48,34,630,142,1124,38,203,150,85,142,91,22,131,207,94,847,1543,5,0,325,1449,3,640,25,3,39,7,108,59,51,0,93,45,75,0,60,6,14,14,273,70,121,0,75,217,0,914,85,0,281,342,0,1195,175,304,43,1261,482,159,179,794,855,526,730,0,24,54,130,14,0,460,437,5,238,230,25378,
Armidale Dumaresq (A),3,578,0,0,3,53,0,3,4,19,4,14,41,63,11,9,33,3,4,0,6,4,16,23,22,10,14,37,0,31,0,14,27,9,210,11,367,17,79,54,5,50,19,12,33,95,42,330,784,8,0,219,687,4,141,0,0,19,4,35,11,3,3,39,11,16,0,22,6,11,17,191,33,43,0,22,95,0,562,65,0,97,142,0,439,12,95,38,826,1177,99,76,309,357,207,396,6,30,17,68,4,0,153,218,0,79,84,13723,
Ashfield (A),0,15,0,0,0,0,0,9,0,0,3,5,100,202,37,98,14,14,104,4,65,43,57,36,34,52,174,57,0,60,0,42,24,30,388,73,468,74,58,244,21,155,280,12,136,68,43,579,1068,20,0,283,1398,20,278,126,10,128,4,108,123,25,17,218,124,133,40,250,51,35,48,665,278,417,0,67,307,0,1741,575,3,448,341,3,972,43,246,52,985,745,227,94,722,656,489,571,4,64,169,124,62,0,207,452,13,258,233,20596,
Auburn (C),0,34,0,3,0,5,6,7,3,7,3,7,386,668,80,210,78,91,184,22,145,146,114,145,136,115,515,147,0,76,11,34,51,45,825,119,1022,129,164,576,80,404,456,21,225,154,102,872,1571,38,0,375,2266,34,761,219,18,86,15,317,225,92,5,153,58,60,9,341,58,22,57,905,359,437,0,91,286,0,1386,604,0,503,742,0,777,85,354,71,734,399,219,150,883,774,587,632,3,16,55,156,98,0,427,549,6,512,743,44827,
Ballina (A),5,631,6,3,34,30,10,14,3,17,28,10,97,331,15,46,76,4,22,0,68,16,33,33,55,73,41,45,3,88,3,36,23,40,438,131,898,25,159,47,24,112,84,0,102,124,67,692,1159,14,0,371,1123,8,288,3,11,32,10,92,27,16,7,72,26,15,4,64,15,11,10,179,61,124,0,57,243,0,761,78,0,224,275,3,726,13,203,29,1218,362,135,122,559,690,572,625,0,14,61,137,11,0,290,315,3,137,143,22680,
Balranald (A),0,293,0,5,3,22,0,0,0,0,3,0,3,16,4,0,12,0,0,0,0,0,0,0,0,0,3,0,0,15,0,5,3,0,6,6,36,0,4,3,0,3,11,3,4,10,13,35,37,0,0,18,55,0,39,0,0,0,0,7,0,3,0,0,0,0,0,3,0,0,0,9,0,0,0,0,7,0,15,0,0,6,12,0,44,0,10,0,52,3,0,13,28,17,12,28,0,8,0,3,0,0,16,9,0,29,20,1256,
Bankstown (C),0,62,0,4,7,6,10,11,9,8,3,18,958,1163,217,496,311,221,505,59,337,420,310,381,482,380,1189,555,0,273,27,150,161,132,1872,274,3592,343,448,1020,226,774,993,51,480,502,145,2136,4396,64,0,473,3737,76,2508,638,56,565,20,978,730,197,24,404,110,123,16,648,78,29,101,1900,816,782,0,253,686,5,3105,879,3,1178,1072,16,2420,111,1223,143,3109,863,461,333,1733,1755,1090,1842,9,58,115,456,252,0,1494,1654,10,1021,1349,112482,
Bathurst Regional (A),4,566,0,78,3,43,32,134,0,91,25,26,167,956,18,39,208,4,36,7,13,28,86,60,76,85,85,36,0,304,14,33,33,25,365,87,745,24,137,75,16,74,33,16,86,177,36,575,1063,10,0,292,998,9,439,83,0,19,0,117,21,29,3,45,32,33,0,113,59,9,3,141,40,57,0,67,156,0,586,59,0,187,265,0,964,8,506,44,1194,744,138,140,530,485,368,531,0,25,31,120,3,0,338,323,0,176,176,20990,
Bega Valley (A),0,610,63,82,72,28,8,0,10,4,3,5,60,730,9,16,162,7,23,6,0,8,46,36,26,34,25,23,0,70,3,32,26,36,342,106,663,20,179,28,9,90,41,5,73,129,67,584,748,0,0,501,957,3,354,0,14,8,20,71,42,19,0,40,24,29,4,17,0,0,4,122,30,40,0,34,152,0,514,48,0,135,201,0,540,12,122,27,759,118,117,94,382,412,357,459,0,47,37,101,0,0,229,214,0,134,143,18901,
Bellingen (A),4,323,10,15,3,8,3,3,0,0,0,9,32,79,7,10,79,0,5,0,5,3,6,10,14,10,44,21,0,20,0,8,10,6,118,35,247,4,23,20,9,40,14,3,24,26,26,218,214,7,0,126,284,3,109,3,0,3,0,25,4,3,0,13,7,7,0,14,0,0,3,31,11,9,0,9,50,0,192,34,0,61,90,0,230,0,33,20,388,84,60,48,175,167,137,197,0,30,19,34,0,0,88,66,0,76,53,7739,
