Mortgage Repayments (monthly) Ranges (MRERD),lga,Nil repayments,$1-$149,$150-$299,$300-$449,$450-$599,$600-$799,$800-$999,"$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999",$5000 and over,Not stated,Not applicable,
,Albury (C),118,56,77,175,168,334,522,589,818,684,666,430,531,214,91,248,230,78,60,338,15175,
,Armidale Dumaresq (A),58,16,22,76,68,154,191,227,261,221,241,156,172,63,56,92,103,38,29,115,7885,
,Ashfield (A),92,34,36,55,53,104,131,189,218,190,287,252,481,200,183,351,653,296,247,203,13039,
,Auburn (C),174,48,55,122,96,198,250,385,445,461,604,420,859,375,345,586,901,310,163,363,17519,
,Ballina (A),119,44,49,109,92,178,250,310,369,278,349,263,418,169,135,284,355,110,77,243,13867,
,Balranald (A),15,0,8,15,15,22,28,26,23,15,6,3,7,0,0,3,4,0,3,18,875,
,Bankstown (C),398,118,166,286,300,499,686,948,1211,1142,1400,1112,2208,1013,884,1982,2500,689,422,1074,43700,
,Bathurst Regional (A),83,38,40,109,116,193,288,374,458,436,498,375,491,200,114,298,232,74,51,236,11183,
,Bega Valley (A),118,30,84,149,135,242,326,322,416,278,310,179,251,104,69,134,142,56,44,216,13247,
,Bellingen (A),41,3,23,70,49,97,114,130,131,123,114,58,105,40,16,49,50,16,24,63,4629,
,Berrigan (A),58,5,25,43,43,90,109,86,103,58,75,33,41,19,11,21,18,8,19,53,3140,
,Blacktown (C),621,257,256,486,502,1014,1349,1842,2439,2467,3215,2903,4873,2844,2163,4604,5433,1129,621,1927,59932,
,Bland (A),46,3,7,47,52,48,67,70,50,54,31,15,37,8,3,6,14,5,15,40,2280,
,Blayney (A),28,3,9,31,40,55,74,77,104,85,59,58,77,30,20,41,50,15,20,50,2119,
,Blue Mountains (C),205,109,147,258,250,466,528,701,808,752,1003,842,1279,667,492,1030,956,296,168,494,21913,
,Bogan (A),24,0,4,14,11,24,27,29,24,12,18,7,12,3,3,9,10,0,0,16,1162,
,Bombala (A),21,3,0,11,20,30,35,31,20,18,9,9,9,4,4,3,3,0,0,15,1145,
,Boorowa (A),18,4,3,19,11,25,22,17,25,16,15,11,15,3,3,6,12,3,3,26,1095,
,Botany Bay (C),99,21,21,46,58,78,110,135,192,209,288,188,389,195,190,428,876,386,208,264,11316,
,Bourke (A),13,0,5,14,15,32,33,23,12,8,5,0,10,3,3,4,3,0,3,19,1249,
,Brewarrina (A),3,0,7,15,9,9,3,4,0,0,0,0,3,0,0,0,3,0,3,0,727,
,Broken Hill (C),38,24,69,165,189,274,290,264,200,126,113,64,87,20,12,28,27,16,12,163,7432,
,Burwood (A),94,22,25,36,41,51,61,121,114,131,149,133,337,107,108,241,453,202,174,171,9163,
,Byron (A),114,36,52,123,100,156,211,234,244,212,220,163,278,124,101,219,281,92,117,204,11303,
,Cabonne (A),59,10,16,48,38,116,142,149,154,121,120,61,112,55,25,81,103,38,33,104,4008,
,Camden (A),119,42,53,110,84,175,244,352,443,467,622,639,1153,682,554,1272,1429,340,179,464,9919,
,Campbelltown (C) (NSW),309,109,180,322,317,667,940,1224,1546,1593,2073,1885,2529,1244,719,1521,1216,348,266,1023,31295,
,Canada Bay (A),229,70,61,108,92,147,176,316,293,288,314,290,714,310,465,780,1805,919,924,433,23420,
,Canterbury (C),268,89,91,225,214,372,515,749,980,854,1031,669,1307,499,548,1125,1825,612,378,793,38079,
,Carrathool (A),32,3,10,15,17,15,30,21,19,14,5,3,3,0,3,4,7,3,0,21,1130,
,Central Darling (A),20,4,4,7,8,7,3,3,4,0,0,0,0,0,0,0,0,0,3,11,1171,
,Cessnock (C),107,39,61,177,165,334,443,561,742,637,726,433,590,224,129,340,354,108,81,405,14341,
,Clarence Valley (A),178,35,121,252,212,393,515,522,603,528,490,270,373,134,70,192,170,59,66,262,18529,
,Cobar (A),20,0,8,18,9,32,43,56,41,41,39,19,31,4,6,17,24,7,5,21,2013,
,Coffs Harbour (C),173,68,113,244,197,423,529,580,693,591,711,550,724,310,192,446,369,128,104,402,23170,
,Conargo (A),41,0,3,6,6,10,11,5,6,10,11,9,3,3,3,5,7,4,4,21,594,
,Coolamon (A),27,5,12,19,26,45,51,53,37,28,32,25,31,16,4,17,10,5,6,32,1313,
,Cooma-Monaro (A),24,7,28,48,54,104,115,158,111,94,119,70,92,45,24,40,61,18,16,72,3652,
,Coonamble (A),32,0,8,27,26,54,31,35,22,11,15,8,4,4,0,3,11,3,11,30,1724,
,Cootamundra (A),23,7,15,39,51,92,110,97,106,63,47,26,40,9,10,17,17,3,5,47,2715,
,Corowa Shire (A),52,11,19,40,39,92,136,147,183,128,130,63,99,36,25,32,37,3,11,89,4262,
,Cowra (A),59,6,25,61,67,128,157,157,150,88,90,52,77,19,10,35,26,12,10,80,4604,
,Deniliquin (A),28,9,17,32,49,87,127,138,105,69,64,28,44,5,4,8,22,8,4,52,2661,
