lga,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,No Religion,Supplementary codes,Not stated
Albury (C),440,32861,450,237,26,207,9509,401,3682
Armidale Dumaresq (A),292,15699,100,351,18,140,5126,254,2129
Ashfield (A),2173,20857,2422,696,120,282,10633,341,3703
Auburn (C),6732,25227,3771,18800,34,803,10722,307,7349
Ballina (A),516,26731,49,39,52,195,8405,453,2840
Balranald (A),19,1701,3,5,0,0,311,3,247
Bankstown (C),13327,102822,1669,34797,65,1095,15116,539,12926
Bathurst Regional (A),272,27983,78,104,10,141,6166,289,3474
Bega Valley (A),376,19692,40,28,24,155,8542,313,2782
Bellingen (A),268,6952,16,8,34,150,3946,224,925
Berrigan (A),15,5911,3,10,0,26,1394,66,633
Blacktown (C),5148,201243,17398,17502,148,7996,32298,1529,17833
Bland (A),12,4907,4,3,0,7,615,42,277
Blayney (A),26,5402,4,3,7,21,1007,54,461
Blue Mountains (C),1172,45762,161,181,163,664,20321,1052,6470
Bogan (A),15,2393,0,20,0,3,216,16,231
Bombala (A),8,1821,3,0,0,14,397,12,152
Boorowa (A),5,1940,0,3,0,6,279,15,151
Botany Bay (C),1376,24908,789,3175,608,186,5133,204,2975
Bourke (A),9,2159,3,4,0,5,247,10,435
Brewarrina (A),3,1217,0,3,0,4,366,10,161
Broken Hill (C),90,10990,30,29,0,46,4945,126,2261
Burwood (A),2352,17203,2338,648,30,205,6977,171,2502
Byron (A),1061,12168,121,58,290,477,10973,978,3087
Cabonne (A),58,10258,3,8,0,34,1674,55,731
Camden (A),505,44534,288,600,49,192,7322,248,2983
Campbelltown (C) (NSW),3426,99145,4426,8292,70,1162,18267,801,10372
Canada Bay (A),2401,49480,1547,1065,214,369,14098,416,6172
Canterbury (C),8380,73309,3298,22843,105,945,17250,563,10768
Carrathool (A),13,2025,11,0,4,17,345,22,154
Central Darling (A),6,1418,0,3,0,14,335,19,192
Cessnock (C),237,36051,59,71,21,154,9382,347,4514
Clarence Valley (A),345,35073,37,45,24,204,9456,408,4083
Cobar (A),17,3505,12,6,0,9,651,20,490
Coffs Harbour (C),717,44020,153,197,37,1276,15782,788,5451
Conargo (A),0,1141,0,0,0,3,302,3,83
Coolamon (A),8,3249,0,14,7,19,480,21,309
Cooma-Monaro (A),78,6809,18,20,5,39,1885,81,831
Coonamble (A),11,3346,0,7,0,6,338,5,320
Cootamundra (A),26,5930,3,21,0,15,816,27,497
Corowa Shire (A),50,8001,7,11,6,10,1971,67,875
Cowra (A),41,9589,12,3,8,35,1377,60,1026
Deniliquin (A),17,5047,11,10,0,11,1312,24,678
Dubbo (C),160,30923,135,125,11,113,4520,208,2606
Dungog (A),37,6199,7,0,5,17,1396,39,625
Eurobodalla (A),308,23405,33,39,19,177,8091,293,3376
Fairfield (C),43225,106287,1342,9921,25,1402,14397,710,10459
Forbes (A),21,7516,5,10,0,18,939,44,609
Gilgandra (A),11,3531,8,0,0,3,448,17,343
Glen Innes Severn (A),49,6528,15,9,9,65,1209,52,729
Gloucester (A),24,3695,4,6,3,16,805,25,302
Gosford (C),1716,112469,417,546,267,599,32122,1283,13022
Goulburn Mulwaree (A),182,20942,44,68,10,75,3595,188,2373
Great Lakes (A),245,25034,29,49,19,129,5769,211,2940
Greater Hume Shire (A),19,7568,4,13,4,14,1379,59,752
Greater Taree (C),325,33389,54,54,25,148,8553,306,3678
Griffith (C),83,18853,294,359,5,770,2029,120,1856
Gundagai (A),11,3126,8,0,0,0,340,18,174
Gunnedah (A),32,9346,0,5,4,26,1545,53,1052
Guyra (A),20,3387,4,3,0,3,596,23,358
Gwydir (A),7,4069,0,3,3,5,591,7,268
Harden (A),15,2922,0,21,4,5,366,14,235
Hawkesbury (C),390,45834,96,194,47,277,10387,481,4652
Hay (A),17,2421,22,0,0,11,324,8,158
Holroyd (C),2690,58353,9932,10359,44,1976,8365,431,7000
Hornsby (A),5282,97704,5521,2452,521,1452,34418,1003,8477
Hunters Hill (A),272,8997,86,116,334,77,2413,122,799
Hurstville (C),4414,47067,1878,3023,90,342,16794,375,4875
Inverell (A),42,12343,4,7,4,23,2197,63,1380
Jerilderie (A),0,1184,9,0,0,3,181,6,109
Junee (A),15,4104,5,10,0,6,638,20,1095
Kempsey (A),192,19674,21,26,7,128,5011,235,2843
Kiama (A),189,14240,25,12,12,71,4089,141,1210
Kogarah (C),2568,34353,1487,2090,146,263,11160,239,3500
Ku-ring-gai (A),2652,67987,1528,740,3846,947,23780,662,7163
Kyogle (A),148,5830,23,11,3,88,2161,121,841
Lachlan (A),22,5338,4,7,0,5,612,24,463
Lake Macquarie (C),1328,135189,412,431,80,550,37305,1245,12463
Lane Cove (A),825,18788,699,363,417,230,7811,259,2125
Leeton (A),29,8738,19,25,0,81,1284,46,813
Leichhardt (A),1099,26407,281,416,346,293,18287,716,4364
Lismore (C),753,26717,83,73,35,477,10605,876,3148
Lithgow (C),161,14407,26,41,11,89,3323,149,1957
Liverpool (C),10513,110877,8761,19198,43,3828,13458,696,12769
Liverpool Plains (A),17,6041,4,13,3,3,887,26,490
Lockhart (A),9,2474,0,3,3,16,285,11,211
Maitland (C),291,51150,183,162,21,284,10636,373,4375
Manly (A),634,23535,122,137,136,142,11056,372,3615
Marrickville (A),3902,35125,1148,2062,307,586,25009,1142,7222
Mid-Western Regional (A),103,16586,21,28,10,81,3510,119,1869
Moree Plains (A),27,10287,44,13,5,32,1572,71,1381
Mosman (A),402,16879,250,135,255,115,6459,185,2769
Murray (A),29,4943,0,5,3,25,1302,24,629
Murrumbidgee (A),12,1723,4,0,0,10,308,20,192
Muswellbrook (A),80,11648,24,36,3,36,2189,68,1699
Nambucca (A),206,12519,21,21,12,109,3958,179,1607
Narrabri (A),20,10236,8,12,3,19,1605,57,964
Narrandera (A),11,4533,4,6,0,17,791,27,504
Narromine (A),22,5367,7,3,0,21,687,33,448
Newcastle (C),1729,98025,743,1399,106,624,33573,1490,10847
North Sydney (A),1958,31789,1218,430,680,339,17976,643,7256
Oberon (A),20,3708,3,21,0,24,798,17,454
Orange (C),220,28779,120,146,16,132,5519,208,2916
Palerang (A),112,8831,10,8,18,80,3801,118,1380
Parkes (A),56,11804,19,22,0,33,1351,44,1252
Parramatta (C),6477,86811,14639,16161,160,3245,25112,834,13414
Penrith (C),1580,131674,2165,3312,53,1462,24907,1094,12215
Pittwater (A),736,36534,108,114,194,262,14472,520,4214
Port Macquarie-Hastings (A),496,52622,98,94,61,230,13194,569,5331
Port Stephens (A),353,46293,82,70,34,228,12144,431,5156
Queanbeyan (C),378,25917,368,449,35,355,7335,315,2838
Randwick (C),4444,71926,1069,2266,5375,492,28756,1024,13628
Richmond Valley (A),115,16201,5,6,0,72,3696,173,1765
Rockdale (C),3850,57678,3432,10325,228,470,13380,428,7552
Ryde (C),4542,61527,2887,2243,410,800,23060,582,6982
Shellharbour (C),451,46993,90,593,8,205,11095,364,3803
Shoalhaven (C),771,63566,70,129,73,400,18478,702,8609
Singleton (A),103,17273,29,51,20,57,3524,130,1501
Snowy River (A),70,4228,7,17,4,27,1836,110,1210
Strathfield (A),2389,17497,4656,1625,44,423,5293,165,3104
Sutherland Shire (A),2288,157952,977,1649,307,562,33973,1185,11967
Sydney (C),11083,64249,2126,3021,2113,1074,56969,2254,26619
Tamworth Regional (A),198,44209,90,81,11,174,7072,335,4130
Temora (A),12,4864,0,0,0,6,573,16,296
Tenterfield (A),29,4787,3,10,0,29,1219,63,660
The Hills Shire (A),4990,117708,5347,3858,224,2020,26591,845,8298
Tumbarumba (A),5,2395,12,0,0,4,533,31,370
Tumut Shire (A),37,8671,25,15,4,15,1374,61,728
Tweed (A),1113,56272,481,103,88,581,18358,961,7146
Upper Hunter Shire (A),68,10758,19,29,7,19,1850,47,955
Upper Lachlan Shire (A),31,5725,8,0,9,28,910,37,452
Uralla (A),46,4357,6,9,4,20,1093,52,443
Urana (A),0,868,0,3,0,0,168,3,114
Wagga Wagga (C),332,45610,210,340,11,185,8938,427,3405
Wakool (A),20,2716,3,0,0,14,767,12,421
Walcha (A),7,2477,0,0,3,8,386,4,140
Walgett (A),18,4587,9,18,3,17,1046,34,717
Warren (A),4,2372,0,3,0,13,206,9,154
Warringah (A),2398,92846,858,883,529,864,31785,1190,9391
Warrumbungle Shire (A),33,7178,4,9,5,32,1381,48,896
Waverley (A),1120,25889,217,338,10876,236,15403,742,8661
Weddin (A),13,2910,0,5,0,8,472,17,234
Wellington (A),22,6346,5,7,8,27,955,26,1094
Wentworth (A),18,4329,7,10,4,27,1598,13,605
Willoughby (C),3067,36770,1376,769,876,414,18614,442,5028
Wingecarribee (A),373,31333,97,60,109,217,8516,375,3313
Wollondilly (A),202,33190,29,148,30,115,6645,212,2689
Wollongong (C),2636,132111,847,4009,120,762,37666,1545,12719
Woollahra (A),705,24525,262,230,7382,162,11332,418,7153
Wyong (A),1022,109028,306,428,95,491,26629,1008,10733
Yass Valley (A),78,10014,16,45,12,65,3413,102,1271
Young (A),37,9728,15,145,3,23,1351,43,885
Unincorporated NSW,3,801,4,0,0,0,274,6,73
No Usual Address (NSW),243,5856,96,257,36,118,2956,238,3119
Alpine (S),105,7362,7,35,10,47,3187,122,1014
Ararat (RC),68,6803,22,38,6,24,2814,38,1363
Ballarat (C),592,57858,299,336,33,433,24926,928,8092
Banyule (C),2156,71140,1321,2409,146,756,30555,1178,8658
Bass Coast (S),295,16831,30,54,24,99,8909,279,3089
Baw Baw (S),251,26631,60,61,7,144,11616,347,3750
Bayside (C),1200,53966,371,456,2951,326,24348,766,7433
Benalla (RC),86,8883,67,13,3,30,3353,110,1115
Boroondara (C),5305,88397,3363,1430,1859,1016,44588,1479,11747
Brimbank (C),21565,107299,3996,10177,64,4169,20103,903,14458
Buloke (S),15,4766,20,3,3,13,1116,21,415
Campaspe (S),121,24403,34,68,8,83,7972,219,3456
Cardinia (S),725,42956,316,389,63,436,22114,669,6511
Casey (C),9862,148232,7047,13858,209,3514,49898,1846,17911
Central Goldfields (S),54,7981,6,19,3,54,3100,104,1171
Colac-Otway (S),142,12687,27,44,7,48,5266,183,1945
Corangamite (S),60,11257,11,10,7,26,3607,73,1316
Darebin (C),4641,72161,3256,6011,204,1959,35068,1604,11568
East Gippsland (S),262,24667,63,34,18,175,12479,405,4081
Frankston (C),1479,71836,998,1007,250,763,36515,1414,12193
Gannawarra (S),47,6954,3,5,0,6,2337,44,969
Glen Eira (C),2802,56127,4053,944,24771,990,30043,1164,10120
Glenelg (S),119,12041,23,25,3,71,5174,130,1991
Golden Plains (S),92,11377,3,27,7,85,5440,181,1551
Greater Bendigo (C),805,62800,246,200,38,341,27003,898,8289
Greater Dandenong (C),22173,63247,5389,13610,150,4211,16242,832,9753
Greater Geelong (C),2046,133499,777,1579,92,932,52408,1789,17749
Greater Shepparton (C),364,37802,351,2977,12,657,12196,440,5642
Hepburn (S),198,7581,23,18,32,163,4630,205,1524
Hindmarsh (S),42,4280,9,21,0,13,969,18,438
Hobsons Bay (C),2302,49221,1423,3982,84,1117,18471,683,6579
Horsham (RC),83,13409,57,82,5,44,3955,138,1510
Hume (C),3848,98279,2431,26658,40,1870,21401,1037,11989
Indigo (S),103,9427,10,4,3,48,4056,127,1403
Kingston (C),4492,86490,2537,2188,1289,1573,31753,1245,10865
Knox (C),5435,88658,3063,1798,191,1430,37413,1317,10004
Latrobe (C),524,43898,194,275,20,268,19773,691,6736
Loddon (S),33,4949,3,8,5,22,1651,27,768
Macedon Ranges (S),244,25591,38,82,37,136,12008,343,3381
Manningham (C),4644,69068,1301,2365,551,1115,24612,646,7001
Mansfield (S),58,4693,13,9,12,33,2320,101,667
Maribyrnong (C),7179,31388,2301,3274,68,821,18521,807,7271
Maroondah (C),1912,61748,925,594,98,979,29000,1041,7553
Melbourne (C),7072,32122,2732,4205,534,610,31676,1163,13517
Melton (S),3050,70195,2074,4129,41,1245,18686,751,9088
Mildura (RC),324,31574,160,912,16,223,12518,322,4935
Mitchell (S),187,21862,74,216,10,173,8525,312,3271
Moira (S),120,19471,54,275,9,149,5392,144,2519
Monash (C),11384,92426,6943,3489,786,2115,39362,1054,11717
Moonee Valley (C),2885,70510,1768,3037,69,721,20006,757,7686
Moorabool (S),158,17640,59,64,18,134,7525,232,2293
Moreland (C),3400,78140,3485,13714,213,1511,33520,1518,11751
Mornington Peninsula (S),1172,85054,256,218,227,515,41788,1403,13974
Mount Alexander (S),251,8007,20,21,14,163,6433,246,2427
Moyne (S),69,10935,4,13,5,59,3422,89,1362
Murrindindi (S),97,7143,6,4,3,62,4195,141,1401
Nillumbik (S),588,35082,133,266,72,277,19100,629,4190
Northern Grampians (S),42,7538,15,27,5,39,3007,87,1080
Port Phillip (C),2013,39712,1691,1022,3889,606,30643,1370,10420
Pyrenees (S),41,4206,4,7,0,38,1665,55,657
Queenscliffe (B),24,1873,0,0,3,15,822,12,241
South Gippsland (S),172,15470,30,31,27,92,8454,279,2655
Southern Grampians (S),55,11535,19,15,6,41,3335,91,1269
Stonnington (C),2543,46905,2138,1081,4573,521,25368,1027,8983
Strathbogie (S),59,6010,18,12,4,40,2414,63,873
Surf Coast (S),275,14357,30,44,31,114,8361,268,2389
Swan Hill (RC),430,13250,75,188,9,224,4284,100,1883
Towong (S),20,4056,0,0,3,22,1348,31,414
Wangaratta (RC),186,17975,35,38,9,65,6115,200,2187
Warrnambool (C),219,21401,64,64,12,66,7205,228,2772
Wellington (S),273,25452,87,78,10,172,10620,298,4442
West Wimmera (S),10,2975,4,5,0,21,918,14,303
Whitehorse (C),7612,83263,3007,1576,302,1500,41503,1175,11410
Whittlesea (C),5372,99913,3706,10225,83,3236,21514,893,9927
Wodonga (RC),249,23916,192,81,13,128,8119,303,2512
Wyndham (C),4150,94316,6909,8350,98,2404,31098,1199,13036
Yarra (C),3911,28504,472,1609,442,449,29436,1261,8004
Yarra Ranges (S),1457,77942,269,303,188,1014,48836,1700,12837
Yarriambiack (S),18,5128,9,26,0,24,1124,29,718
Unincorporated Vic,14,313,3,0,6,3,298,39,127
No Usual Address (Vic.),196,3131,80,233,19,109,2353,152,2030
Aurukun (S),0,677,0,0,0,93,226,0,298
Balonne (S),12,3751,0,0,0,9,482,14,445
Banana (S),104,10822,27,31,0,15,2231,59,1158
Barcaldine (R),10,2459,4,0,0,3,471,13,255
Barcoo (S),0,282,0,0,0,0,42,4,28
Blackall Tambo (R),0,1779,0,0,0,3,263,6,147
Boulia (S),0,339,0,0,0,14,77,0,55
Brisbane (C),30808,628698,16373,18112,1642,10577,242876,9585,83173
Bulloo (S),4,280,0,0,0,0,79,0,48
Bundaberg (R),646,60705,202,334,32,336,18633,551,8370
Burdekin (S),82,13840,14,24,4,30,2015,53,1298
Burke (S),0,290,0,0,0,0,102,0,121
