lga,Nil payments,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650 and over,Not stated,Not applicable,
Albury (C),109,137,354,495,660,684,572,712,464,573,311,346,146,153,63,66,17,57,30,42,200,15422,
Armidale Dumaresq (A),127,86,134,163,200,305,348,371,224,305,164,206,82,117,67,62,23,31,4,18,108,7072,
Ashfield (A),115,41,107,56,90,103,102,179,115,260,252,588,426,818,591,669,249,744,287,242,179,11067,
Auburn (C),179,139,226,131,166,191,129,223,184,494,444,893,388,828,498,949,285,1421,407,214,334,15949,
Ballina (A),161,105,249,136,154,200,186,286,194,370,287,500,262,445,236,268,114,257,58,66,143,13397,
Balranald (A),41,23,15,33,29,49,21,9,0,7,0,0,0,0,0,0,0,0,0,3,13,847,
Bankstown (C),438,733,1505,595,769,692,431,542,307,619,497,1351,817,1851,897,1325,475,1539,342,180,772,46065,
Bathurst Regional (A),167,129,180,192,258,324,353,522,322,466,253,309,133,157,82,77,14,43,8,22,128,11764,
Bega Valley (A),188,82,155,181,161,331,330,418,247,313,175,211,49,76,17,17,8,18,3,28,134,13712,
Bellingen (A),87,26,59,70,71,91,78,159,79,139,104,112,44,73,27,22,0,14,3,12,35,4637,
Berrigan (A),85,37,61,94,95,146,67,60,27,27,11,4,4,3,0,0,0,4,0,4,34,3293,
Blacktown (C),494,866,1840,1024,1152,1287,930,1567,899,1780,1625,3220,1733,2967,1437,1436,449,1592,647,316,1089,72540,
Bland (A),91,42,33,51,47,68,25,41,25,24,7,9,4,3,0,0,0,3,0,3,42,2369,
Blayney (A),46,25,48,57,38,88,83,69,29,35,22,16,5,11,0,0,0,0,3,7,27,2442,
Blue Mountains (C),204,51,74,126,187,252,220,447,352,605,436,748,354,407,178,214,80,233,50,56,172,27904,
Bogan (A),48,33,21,30,41,45,28,35,13,15,3,0,0,3,0,3,0,3,0,3,27,1047,
Bombala (A),41,18,20,28,26,33,9,10,0,3,0,0,0,0,0,0,0,0,0,0,14,1186,
Boorowa (A),37,26,15,20,11,36,16,20,0,0,0,7,0,0,0,0,0,0,0,0,11,1146,
Botany Bay (C),118,190,547,131,187,153,90,109,89,204,183,422,278,478,239,308,123,514,543,266,216,10314,
Bourke (A),71,88,35,30,31,53,19,18,3,3,0,0,0,3,0,0,0,0,0,3,26,1050,
Brewarrina (A),74,89,45,40,33,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,34,452,
Broken Hill (C),120,87,61,188,212,325,182,177,42,59,31,23,15,16,4,4,0,8,3,26,83,7952,
Burwood (A),119,52,130,42,83,76,43,75,108,127,87,194,106,272,222,434,217,901,312,229,166,7945,
Byron (A),194,35,50,67,105,157,107,215,101,202,142,307,138,347,196,316,133,439,191,193,136,10800,
Cabonne (A),177,64,41,97,71,133,89,80,23,41,13,25,7,8,6,3,0,0,0,3,58,4660,
Camden (A),103,51,131,60,44,76,40,92,54,148,110,321,198,375,229,364,147,562,117,40,114,15985,
Campbelltown (C) (NSW),182,472,1071,662,748,727,633,914,718,1384,1074,1879,801,1169,419,403,111,365,55,74,593,36868,
Canada Bay (A),234,137,295,84,157,89,89,175,77,109,104,270,153,348,273,612,421,2351,1706,1431,270,22758,
Canterbury (C),363,384,898,335,488,464,371,621,505,1404,1517,2598,1052,1350,581,986,334,1347,436,249,625,34332,
Carrathool (A),91,52,17,36,15,45,28,12,0,0,0,3,0,0,0,0,0,0,0,0,26,1021,
Central Darling (A),75,98,29,83,20,12,3,4,4,3,3,0,0,0,0,0,0,0,0,3,20,893,
Cessnock (C),179,105,215,179,220,380,336,498,382,635,350,418,126,177,86,85,21,47,10,35,186,16322,
Clarence Valley (A),263,130,181,234,314,482,392,608,387,628,387,402,118,140,33,41,11,53,14,56,160,18932,
Cobar (A),64,89,42,77,105,99,46,54,16,47,16,24,3,3,3,5,0,4,3,11,40,1722,
Coffs Harbour (C),236,190,423,273,329,484,528,773,493,872,569,892,484,619,283,269,114,257,51,79,318,22193,
Conargo (A),71,11,7,20,0,5,0,4,0,3,0,0,0,0,0,0,0,0,0,0,11,632,
Coolamon (A),35,21,28,35,14,37,18,17,8,15,9,0,0,5,0,0,0,0,0,4,11,1537,
Cooma-Monaro (A),54,26,65,77,104,101,90,120,66,85,25,32,15,8,3,9,3,3,3,12,36,3996,
Coonamble (A),91,54,33,72,93,65,23,13,4,4,0,4,0,0,0,0,0,0,0,5,30,1555,
Cootamundra (A),61,33,62,82,70,100,85,58,25,17,10,21,0,0,0,4,0,0,0,7,32,2869,
Corowa Shire (A),65,24,34,90,94,141,108,129,95,95,33,29,3,7,0,0,0,10,3,7,42,4629,
Cowra (A),94,55,95,105,165,239,175,130,63,22,15,14,0,4,4,0,0,3,3,10,36,4657,
Deniliquin (A),30,22,47,145,124,170,89,61,27,34,6,12,3,5,0,0,0,3,3,3,32,2735,
Dubbo (C),148,108,233,300,367,468,396,545,386,437,220,199,83,118,43,37,8,14,8,28,163,11733,
Dungog (A),68,34,19,35,29,54,59,69,40,55,28,14,4,5,3,10,0,5,0,3,31,3253,
Eurobodalla (A),193,82,144,200,205,296,319,495,374,477,252,294,78,110,52,49,3,25,4,37,131,18600,
Fairfield (C),450,438,1000,539,817,796,577,1093,752,1610,1049,1740,788,1608,855,1158,326,717,142,124,727,42922,
Forbes (A),106,55,83,125,107,187,153,77,13,30,10,10,7,0,0,0,0,0,0,11,61,3180,
Gilgandra (A),53,25,51,76,72,94,26,20,0,4,0,0,0,3,0,0,0,0,0,7,16,1534,
Glen Innes Severn (A),78,24,42,115,122,142,113,115,40,36,5,10,0,0,0,0,0,0,3,10,54,3403,
Gloucester (A),54,21,18,51,47,64,38,66,24,43,17,18,7,6,0,0,0,0,0,3,24,2044,
Gosford (C),417,268,781,379,585,678,624,1061,820,1608,1396,1959,983,1304,608,644,254,770,233,192,485,57769,
Goulburn Mulwaree (A),139,92,220,207,254,361,281,383,207,297,142,135,47,43,18,18,3,10,6,22,120,9765,
Great Lakes (A),188,65,107,137,217,383,401,429,279,407,295,328,118,156,42,42,9,30,16,37,145,17161,
Greater Hume Shire (A),115,17,31,77,68,104,56,68,28,27,10,18,9,3,0,0,0,0,0,8,48,3745,
Greater Taree (C),218,106,227,221,395,545,561,607,426,621,257,267,84,86,27,29,3,9,8,40,168,16888,
Griffith (C),183,100,118,156,276,375,259,373,220,224,77,74,37,56,30,18,0,9,4,12,115,7283,
Gundagai (A),65,19,20,36,13,53,27,46,10,10,0,0,0,0,0,0,0,0,0,3,17,1429,
Gunnedah (A),123,45,48,98,116,165,125,184,87,111,53,50,16,28,11,23,3,14,6,16,74,3875,
Guyra (A),57,18,10,44,41,62,35,44,10,16,0,3,0,0,0,0,0,0,0,3,28,1573,
Gwydir (A),145,47,32,71,56,72,15,22,4,5,0,0,0,0,0,0,0,0,0,0,39,2198,
Harden (A),66,15,14,38,45,64,16,23,7,4,0,3,0,0,0,0,0,0,0,4,18,1437,
Hawkesbury (C),228,90,105,112,225,202,257,462,237,443,347,674,343,480,185,230,71,202,80,65,201,18161,
Hay (A),45,31,25,67,67,69,14,11,4,4,0,0,0,3,0,0,0,0,3,4,23,1186,
Holroyd (C),221,267,728,278,315,369,215,365,228,478,495,1293,1064,1748,805,956,274,784,158,100,431,24928,
Hornsby (A),427,149,264,168,168,180,155,233,188,271,201,490,339,798,721,1050,582,2388,942,728,402,46357,
Hunters Hill (A),43,43,138,21,34,25,22,19,19,40,16,42,44,38,41,55,29,144,115,207,40,3918,
Hurstville (C),207,153,403,132,169,197,128,216,155,325,287,607,486,815,477,737,306,1172,376,216,332,22082,
Inverell (A),154,103,102,133,184,211,154,175,112,170,45,48,3,19,14,11,0,11,4,14,82,5413,
Jerilderie (A),36,12,10,17,11,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18,674,
Junee (A),40,32,25,47,39,83,26,62,29,15,9,8,0,0,0,0,0,0,0,3,23,1806,
Kempsey (A),161,79,112,172,231,385,373,475,270,282,119,109,41,46,17,17,0,41,7,27,113,10379,
Kiama (A),81,19,27,29,26,64,46,111,73,127,94,176,101,160,100,94,42,100,25,28,51,7843,
Kogarah (C),194,47,73,41,50,66,67,98,72,157,143,395,287,630,407,586,228,982,328,199,208,16032,
Ku-ring-gai (A),249,24,63,45,34,42,23,46,41,64,36,112,78,142,102,216,128,877,836,2133,181,34232,
Kyogle (A),93,38,21,86,64,93,70,78,44,104,29,26,3,7,0,0,0,3,0,0,32,3606,
Lachlan (A),131,94,45,162,106,93,24,20,3,11,4,0,0,0,0,0,0,0,0,8,38,2496,
Lake Macquarie (C),478,393,1028,591,896,1037,744,1122,912,1711,1405,1725,834,922,504,493,211,607,116,140,600,62365,
Lane Cove (A),97,53,114,42,40,33,29,39,40,46,67,155,132,284,263,432,195,624,340,562,100,9617,
Leeton (A),91,48,60,101,99,194,138,168,46,31,7,28,3,3,0,3,0,0,0,6,43,3470,
Leichhardt (A),150,154,398,102,139,134,123,192,133,266,184,369,223,331,233,416,210,1417,1414,1951,245,15933,
Lismore (C),198,108,235,203,285,428,345,538,311,479,347,492,221,205,71,73,6,41,5,23,151,13794,
Lithgow (C),103,66,124,164,169,329,242,281,94,126,38,34,8,26,3,11,3,6,0,20,65,7547,
Liverpool (C),381,579,1095,493,666,578,463,915,538,1261,920,1496,777,1428,826,1123,397,1423,241,152,697,42446,
Liverpool Plains (A),139,47,41,118,73,119,95,68,23,42,18,18,4,0,0,0,0,0,0,7,55,2826,
Lockhart (A),42,29,9,23,13,29,9,16,0,6,3,0,0,0,0,0,0,0,0,3,6,1150,
Maitland (C),122,145,376,228,355,419,352,534,312,638,476,734,367,440,215,262,95,172,16,35,227,19964,
Manly (A),126,45,107,62,32,43,47,75,41,56,73,151,96,236,196,339,182,1073,789,1722,165,12678,
Marrickville (A),225,152,301,153,214,271,221,477,361,674,536,1083,648,1057,663,941,424,2015,1229,1065,321,21600,
Mid-Western Regional (A),206,56,60,113,165,216,178,272,145,224,101,165,52,88,39,50,12,41,4,27,102,8588,
Moree Plains (A),259,178,72,265,229,308,105,122,87,105,37,40,11,18,3,18,0,7,4,11,93,4185,
Mosman (A),95,18,28,13,16,22,22,30,19,45,52,137,126,220,256,300,165,700,389,1021,98,9138,
Murray (A),70,54,17,39,23,52,68,66,59,79,34,30,11,14,4,7,0,3,3,9,31,2805,
Murrumbidgee (A),51,10,10,23,52,69,29,21,0,3,0,3,0,0,0,0,0,0,0,4,22,785,
Muswellbrook (A),134,34,58,73,138,159,158,216,124,172,98,177,61,129,63,108,15,48,10,19,109,4616,
Nambucca (A),111,54,129,160,165,215,169,275,133,209,122,115,34,35,16,13,0,9,6,12,69,7133,
Narrabri (A),180,81,87,185,209,218,77,114,45,62,34,57,5,41,3,11,3,18,0,14,83,4420,
Narrandera (A),56,40,36,78,89,100,47,37,16,15,3,3,0,0,3,0,0,0,0,6,37,2247,
Narromine (A),78,39,49,103,80,106,79,77,21,16,3,5,3,0,0,0,0,0,0,11,39,2223,
Newcastle (C),403,611,1451,639,737,982,869,1232,875,1800,1500,2169,1125,1409,779,818,299,975,374,406,733,45774,
North Sydney (A),277,108,228,70,51,88,45,147,88,168,241,474,404,813,740,1078,636,3329,2128,3089,376,20379,
Oberon (A),48,15,33,50,20,38,35,70,30,42,8,13,3,0,3,0,0,0,0,0,19,2118,
Orange (C),101,107,251,193,243,319,451,454,366,469,308,350,152,205,112,114,44,144,35,73,239,11291,
Palerang (A),100,20,23,25,9,31,29,54,32,65,29,63,15,35,22,42,12,51,43,18,21,5267,
Parkes (A),120,91,135,208,176,228,158,115,74,85,45,27,14,21,5,12,0,3,0,7,72,4962,
Parramatta (C),390,671,1452,548,754,614,455,614,405,861,898,2087,1476,2665,1581,2270,826,2207,534,355,889,41001,
Penrith (C),368,330,725,313,442,545,482,1116,719,1436,1183,2444,1336,1653,658,667,184,542,146,121,588,48840,
Pittwater (A),214,30,4,24,13,34,21,100,40,96,72,155,82,170,129,228,98,602,470,1074,139,19668,
Port Macquarie-Hastings (A),272,117,383,224,320,550,503,739,537,804,551,773,445,490,247,259,104,215,44,69,276,26200,
Port Stephens (A),191,117,311,231,231,357,386,766,536,730,509,693,302,427,193,192,42,166,45,77,225,23839,
Queanbeyan (C),103,77,177,124,140,202,255,389,209,400,266,465,188,337,196,268,110,368,117,77,165,11475,
Randwick (C),458,486,1192,329,450,363,280,388,250,395,307,747,455,1013,812,1732,919,4790,2558,3084,768,33784,
Richmond Valley (A),128,57,101,103,202,249,215,277,170,350,187,184,46,57,6,12,0,19,0,25,108,7529,
Rockdale (C),335,127,290,137,136,159,124,255,161,366,356,921,632,1306,733,1154,479,1882,599,399,386,27916,
Ryde (C),321,239,525,229,288,231,200,291,245,423,474,1002,758,1297,853,1098,514,1965,919,699,466,28725,
Shellharbour (C),117,151,429,214,320,373,288,481,346,544,404,610,321,453,169,201,79,199,28,41,203,18528,
Shoalhaven (C),362,205,364,378,579,774,720,1235,834,1114,647,652,264,333,90,100,16,56,26,86,289,42359,
Singleton (A),109,62,123,92,85,111,73,174,107,192,108,199,97,159,123,107,38,90,12,19,116,6864,
Snowy River (A),81,12,10,44,21,64,34,70,37,56,32,45,14,40,20,19,0,42,32,181,61,4452,
Strathfield (A),122,65,198,55,65,66,47,82,45,70,97,239,153,338,251,538,253,902,288,177,165,8544,
Sutherland Shire (A),404,262,653,257,275,321,249,505,266,592,519,1143,787,1587,1067,1421,596,2380,1148,926,478,66939,
Sydney (C),702,1178,2637,691,761,760,436,816,611,1109,924,1701,1048,1717,1247,2361,1260,7735,6540,9392,1591,49558,
Tamworth Regional (A),312,153,257,301,469,639,561,766,432,670,425,431,156,170,81,75,11,38,7,39,230,18097,
Temora (A),59,47,41,80,57,105,57,40,8,5,0,3,0,0,0,0,0,0,0,4,17,2244,
Tenterfield (A),64,29,29,73,85,131,75,71,21,15,6,3,0,0,0,0,0,0,0,7,23,2948,
The Hills Shire (A),404,70,112,116,97,116,95,206,87,154,98,282,151,368,320,839,447,2167,1042,888,338,48809,
Tumbarumba (A),49,23,20,37,28,57,37,33,11,10,3,6,0,0,0,0,0,0,0,0,14,1398,
Tumut Shire (A),81,95,68,122,98,162,126,139,44,84,28,41,6,9,3,0,0,5,0,16,45,4214,
Tweed (A),313,123,373,290,351,441,339,589,373,808,699,1087,667,1022,447,528,196,522,142,152,341,30339,
Upper Hunter Shire (A),277,55,59,103,114,150,124,176,75,100,48,98,12,34,11,20,5,4,6,12,111,4892,
Upper Lachlan Shire (A),111,29,25,46,24,53,38,60,18,19,14,8,0,3,0,3,0,9,0,9,29,3414,
Uralla (A),75,25,15,42,48,67,39,45,10,28,6,10,3,11,5,0,3,0,4,3,18,2165,
Urana (A),20,23,13,6,9,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3,557,
Wagga Wagga (C),236,199,345,330,389,683,513,785,452,810,519,587,229,300,148,123,44,133,28,44,264,17602,
Wakool (A),66,34,20,64,50,61,22,15,3,8,3,3,0,4,0,0,0,3,0,5,26,1752,
Walcha (A),96,17,17,48,33,41,17,22,3,3,0,0,0,0,0,0,0,0,0,3,21,1246,
Walgett (A),194,153,76,133,117,98,43,29,9,8,0,0,0,0,3,4,0,3,0,3,80,2903,
Warren (A),80,26,42,60,82,35,11,10,0,0,0,0,0,0,0,0,0,0,0,3,27,1069,
Warringah (A),349,218,390,191,213,153,104,211,123,248,201,558,377,796,718,1153,582,2547,1446,2265,453,42721,
Warrumbungle Shire (A),170,72,60,177,113,176,56,25,9,6,0,0,0,0,0,4,0,0,3,3,52,3857,
