lga,"Oceanian, nfd","Australian Peoples, nfd",Australian,Australian Aboriginal,Australian South Sea Islander,Torres Strait Islander,"New Zealand Peoples, nfd",Maori,New Zealander,"Melanesian and Papuan, nfd",New Caledonian,Ni-Vanuatu,Papua New Guinean,Solomon Islander,"Melanesian and Papuan, nec","Micronesian, nfd",I-Kiribati,Nauruan,"Micronesian, nec","Polynesian, nfd",Cook Islander,Fijian,Niuean,Samoan,Tongan,Hawaiian,Tahitian,Tokelauan,Tuvaluan,Pitcairn,"Polynesian, nec","North-West European, nfd","British, nfd",English,Scottish,Welsh,Channel Islander,Manx,"British, nec",Irish,"Western European, nfd",Austrian,Dutch,Flemish,French,German,Swiss,Belgian,Frisian,Luxembourg,"Western European, nec","Northern European, nfd",Danish,Finnish,Icelandic,Norwegian,Swedish,"Northern European, nec","Southern and Eastern European, nfd","Southern European, nfd",Basque,Catalan,Italian,Maltese,Portuguese,Spanish,Gibraltarian,"Southern European, nec","South Eastern European, nfd",Albanian,Bosnian,Bulgarian,Croatian,Greek,Macedonian,Moldovan,Montenegrin,Romanian,Roma Gypsy,Serbian,Slovene,Cypriot,Vlach,"South Eastern European, nec","Eastern European, nfd",Belarusan,Czech,Estonian,Hungarian,Latvian,Lithuanian,Polish,Russian,Slovak,Ukrainian,Sorb/Wend,"Eastern European, nec","North African and Middle Eastern, nfd","Arab, nfd",Algerian,Egyptian,Iraqi,Jordanian,Kuwaiti,Lebanese,Libyan,Moroccan,Palestinian,Saudi Arabian,Syrian,Tunisian,Yemeni,Bahraini,Emirati,Omani,Qatari,"Arab, nec",Jewish,"Peoples of the Sudan, nfd",Bari,Darfur,Dinka,Nuer,South Sudanese,Sudanese,"Peoples of the Sudan, nec","Other North African and Middle Eastern, nfd",Berber,Coptic,Iranian,Kurdish,Turkish,Assyrian,Chaldean,Mandaean,Nubian,Yezidi,"Other North African and Middle Eastern, nec","South-East Asian, nfd","Mainland South-East Asian, nfd",Anglo-Burmese,Burmese,Hmong,Khmer (Cambodian),Lao,Thai,Vietnamese,Karen,Mon,Chin,Rohingya,"Mainland South-East Asian, nec","Maritime South-East Asian, nfd",Filipino,Indonesian,Javanese,Madurese,Malay,Sundanese,Timorese,Acehnese,Balinese,Bruneian,Kadazan,Singaporean,Temoq,"Maritime South-East Asian, nec","North-East Asian, nfd","Chinese Asian, nfd",Chinese,Taiwanese,"Chinese Asian, nec","Other North-East Asian, nfd",Japanese,Korean,Mongolian,Tibetan,"Other North-East Asian, nec","Southern and Central Asian, nfd","Southern Asian, nfd",Anglo-Indian,Bengali,Burgher,Gujarati,Indian,Malayali,Nepalese,Pakistani,Punjabi,Sikh,Sinhalese,Maldivian,Bangladeshi,Bhutanese,Fijian Indian,Kashmiri,Parsi,Sindhi,Sri Lankan,Sri Lankan Tamil,Indian Tamil,"Tamil, nfd",Telugu,"Southern Asian, nec","Central Asian, nfd",Afghan,Armenian,Georgian,Kazakh,Pathan,Uzbek,Azeri,Hazara,Tajik,Tatar,Turkmen,Uighur,Kyrgyz,"Central Asian, nec","Peoples of the Americas, nfd","North American, nfd",African American,American,Canadian,French Canadian,Hispanic North American,Native North American Indian,Bermudan,"North American, nec","South American, nfd",Argentinian,Bolivian,Brazilian,Chilean,Colombian,Ecuadorian,Guyanese,Peruvian,Uruguayan,Venezuelan,Paraguayan,"South American, nec","Central American, nfd",Mexican,Nicaraguan,Salvadoran,Costa Rican,Guatemalan,Mayan,"Central American, nec","Caribbean Islander, nfd",Cuban,Jamaican,Trinidadian Tobagonian,Barbadian,Puerto Rican,"Caribbean Islander, nec","Sub-Saharan African, nfd","Central and West African, nfd",Akan,Fulani,Ghanaian,Nigerian,Yoruba,Ivorean,Liberian,Sierra Leonean,Acholi,Cameroonian,Congolese,Gio,Igbo,Krahn,Mandinka,Senegalese,Themne,Togolese,"Central and West African, nec","Southern and East African, nfd",Afrikaner,Angolan,Eritrean,Ethiopian,Kenyan,Malawian,Mauritian,Mozambican,Namibian,Oromo,Seychellois,Somali,South African,Tanzanian,Ugandan,Zambian,Zimbabwean,Amhara,Batswana,Hutu,Masai,Tigrayan,Tigre,Zulu,Burundian,Kunama,Madi,Ogaden,Rwandan,Shona,Swahili,Swazilander,"Southern and East African, nec",Inadequately described,"Eurasian, so described","Asian, so described","African, so described","European, so described","Caucasian, so described","Creole, so described",Not stated
Albury (C),0,0,13793,47,3,0,0,73,77,0,0,0,6,0,0,0,0,0,0,0,0,17,0,3,16,0,3,0,0,0,0,0,0,20094,2443,69,0,0,0,3821,0,66,397,3,43,1728,10,10,0,0,0,3,16,19,0,10,29,0,0,0,0,0,687,38,18,57,0,0,35,0,3,3,99,177,7,0,0,12,0,61,24,3,0,0,4,0,20,3,70,11,3,140,45,8,60,0,0,0,0,0,21,8,0,0,73,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,13,0,9,116,53,42,0,0,0,0,0,0,251,5,0,0,19,0,0,0,0,0,0,0,0,3,0,0,289,0,0,0,15,35,0,0,0,0,15,3,15,0,6,575,0,198,26,70,27,9,0,62,313,0,0,0,0,93,6,0,7,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,9,0,0,0,0,0,5,0,0,7,22,4,0,0,8,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,3,0,0,0,0,0,11,8,0,5,0,0,0,0,0,42,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,9,38,17,0,0,3891
Armidale Regional (A),0,0,8505,201,3,5,0,45,38,3,0,0,10,0,6,0,0,0,0,5,5,23,0,5,6,0,0,0,0,0,0,0,0,11659,1306,48,0,0,0,1977,0,21,113,0,43,496,21,3,0,0,0,9,18,8,0,4,19,0,0,0,0,0,187,12,3,20,0,0,0,0,0,4,7,45,0,0,0,4,0,5,0,11,0,0,0,0,0,0,21,4,5,34,20,4,14,0,0,14,124,0,8,63,3,0,31,14,0,6,63,4,0,0,0,0,0,0,0,10,0,0,0,12,0,3,7,0,0,0,0,43,9,6,0,0,0,0,0,6,0,0,0,10,0,0,0,35,59,0,0,0,0,0,0,139,19,3,0,13,0,0,0,0,0,0,3,0,0,0,0,478,19,0,0,24,23,0,7,0,0,7,0,7,0,0,181,0,158,28,6,0,10,0,46,37,0,0,0,0,48,10,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,15,0,0,4,0,0,5,3,0,9,7,5,0,0,3,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,8,0,11,0,0,0,0,0,0,0,5,0,9,10,10,0,0,0,0,0,0,0,32,0,0,0,7,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,44,0,19,37,15,4,0,2285
Ballina (A),0,0,11192,135,6,0,0,33,120,0,0,0,3,0,0,0,0,0,0,0,3,13,0,10,17,0,0,0,0,0,0,4,6,18261,2061,95,0,0,0,3170,0,31,309,0,75,670,46,5,0,0,0,3,40,23,0,18,25,0,0,0,0,0,690,54,16,39,0,0,22,4,0,0,30,80,10,0,0,0,0,15,17,11,0,0,7,0,13,9,45,8,7,74,28,0,22,0,0,0,3,0,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,25,0,15,0,0,0,0,0,3,0,0,0,5,0,3,0,46,31,0,0,0,0,0,0,91,19,0,0,8,0,0,0,0,0,0,5,0,0,0,0,203,0,0,0,53,28,0,0,0,0,0,0,0,0,0,136,0,10,0,6,0,5,0,0,0,0,0,0,0,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,35,28,3,0,3,0,0,0,4,4,19,27,0,0,0,3,3,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,57,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,50,4,0,3,12,0,0,3138
Balranald (A),0,0,657,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,10,0,0,0,0,0,0,0,0,748,69,0,0,0,0,162,0,0,0,0,4,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249
Bathurst Regional (A),7,0,12241,74,0,0,0,50,68,0,0,0,9,3,0,0,0,0,0,0,12,12,0,14,11,0,0,3,0,0,0,3,9,16718,1696,46,0,0,0,3132,0,19,206,0,60,573,21,4,0,0,0,7,27,9,0,4,7,0,0,0,0,0,435,71,14,25,0,0,24,0,12,0,35,58,10,0,0,9,0,21,0,4,0,0,6,0,8,6,39,13,0,66,28,3,16,0,0,4,19,4,10,0,0,0,83,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,9,6,0,0,0,0,26,6,0,0,0,0,0,0,0,0,0,0,4,0,8,0,50,57,0,0,0,0,0,0,130,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,24,19,0,0,0,0,0,0,8,0,0,224,0,53,8,0,9,0,0,34,0,5,0,0,0,42,5,0,4,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,18,0,0,0,0,0,4,5,0,0,7,8,3,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,41,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,3,15,14,0,0,0,3905
Bega Valley (A),0,0,9545,49,0,0,0,24,39,0,0,0,0,0,0,0,0,0,0,3,0,17,0,3,5,0,0,0,4,0,0,0,3,14351,1591,58,5,0,0,2119,0,33,342,0,47,762,27,11,0,0,0,3,20,20,0,32,26,0,0,0,0,0,325,58,18,23,0,0,25,0,4,0,34,52,3,0,0,3,0,5,18,13,0,0,0,0,10,10,42,18,8,64,35,0,18,0,0,0,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,54,21,0,0,0,0,0,0,109,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,17,14,0,0,0,0,0,0,0,0,0,55,0,4,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,35,15,0,0,0,0,0,5,5,0,6,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,10,3,17,0,0,2631
Bellingen (A),0,0,3649,20,0,0,0,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5561,630,34,0,0,0,873,0,16,114,0,33,293,19,10,0,0,0,0,5,4,0,8,14,0,0,0,0,0,108,6,4,17,0,0,7,0,0,0,16,13,4,0,0,0,0,3,8,3,0,0,0,0,13,3,17,3,3,25,8,0,5,0,0,0,0,0,3,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,4,0,0,0,0,0,0,0,0,0,0,21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,4,3,5,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,875
Berrigan (A),0,0,2441,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3398,413,11,0,0,0,668,0,3,62,0,6,130,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,112,8,0,0,0,0,3,0,0,0,3,4,0,0,0,0,0,0,6,0,0,0,0,0,4,0,4,6,0,11,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,30,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,3,0,0,0,0,0,0,0,0,0,21,0,4,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,17,0,4,7,4,0,0,908
Blacktown (C),519,0,52958,382,99,3,0,1854,827,5,0,7,51,9,0,0,6,3,0,82,793,2335,118,3938,2231,0,6,276,10,0,8,3,58,69220,7046,261,3,6,3,9687,0,220,1160,3,474,3776,100,37,6,0,0,18,126,107,10,39,72,0,22,3,0,0,6534,5583,661,1568,0,0,292,104,348,31,2037,2446,338,0,15,345,4,965,134,361,0,0,38,24,172,33,818,59,55,1731,687,97,348,0,17,153,794,12,2531,924,239,43,4087,0,22,590,6,557,9,3,0,0,0,0,13,16,159,6,0,85,0,479,1451,5,4,0,132,1511,604,2250,400,735,0,6,0,12,54,0,0,783,0,180,77,540,1116,31,17,5,11,34,0,26351,941,8,0,366,4,110,3,5,0,3,44,0,26,0,0,12608,92,3,0,136,1906,24,14,0,5,1083,169,696,10,125,34868,23,1781,4384,1847,962,597,0,2188,84,1697,42,3,17,3533,612,10,1301,40,49,8,2928,446,0,0,66,6,20,296,18,6,11,3,0,0,111,0,11,202,78,3,57,16,4,0,193,126,24,84,693,154,41,7,337,154,23,10,3,31,47,36,177,4,9,0,10,7,3,15,0,0,0,10,0,0,4,0,459,273,22,4,137,121,9,10,50,3,19,0,0,5,6,5,99,4,21,0,93,255,61,0,622,0,0,13,4,116,926,18,36,4,152,6,0,0,0,3,0,0,10,0,37,0,11,12,0,0,14,582,54,906,935,155,3,9,19906
Bland (A),0,0,1905,7,0,0,0,12,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2382,252,4,0,0,0,337,0,0,14,0,4,108,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,20,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,727
