lga,"Oceania and Antarctica, nfd","Australia (includes External Territories), nfd",Australia,Norfolk Island,"Australian External Territories, nec",New Zealand,"Melanesia, nfd",New Caledonia,Papua New Guinea,Solomon Islands,Vanuatu,"Micronesia, nfd",Guam,Kiribati,Marshall Islands,"Micronesia, Federated States of",Nauru,Northern Mariana Islands,Palau,"Polynesia (excludes Hawaii), nfd",Cook Islands,Fiji,French Polynesia,Niue,Samoa,"Samoa, American",Tokelau,Tonga,Tuvalu,Wallis and Futuna,Pitcairn Islands,"Polynesia (excludes Hawaii), nec","Antarctica, nfd",Adelie Land (France),Argentinian Antarctic Territory,Australian Antarctic Territory,British Antarctic Territory,Chilean Antarctic Territory,Queen Maud Land (Norway),Ross Dependency (New Zealand),"North-West Europe, nfd","United Kingdom, Channel Islands and Isle of Man, nfd",England,Isle of Man,Northern Ireland,Scotland,Wales,Guernsey,Jersey,Ireland,"Western Europe, nfd",Austria,Belgium,France,Germany,Liechtenstein,Luxembourg,Monaco,Netherlands,Switzerland,"Northern Europe, nfd",Denmark,Faroe Islands,Finland,Greenland,Iceland,Norway,Sweden,Aland Islands,"Southern and Eastern Europe, nfd","Southern Europe, nfd",Andorra,Gibraltar,Holy See,Italy,Malta,Portugal,San Marino,Spain,"South Eastern Europe, nfd",Albania,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,The former Yugoslav Republic of Macedonia,Greece,Moldova,Romania,Slovenia,Montenegro,Serbia,Kosovo,"Eastern Europe, nfd",Belarus,Czech Republic,Estonia,Hungary,Latvia,Lithuania,Poland,Russian Federation,Slovakia,Ukraine,"North Africa and the Middle East, nfd","North Africa, nfd",Algeria,Egypt,Libya,Morocco,Sudan,Tunisia,Western Sahara,Spanish North Africa,South Sudan,"Middle East, nfd",Bahrain,Gaza Strip and West Bank,Iran,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,Syria,Turkey,United Arab Emirates,Yemen,"South-East Asia, nfd","Mainland South-East Asia, nfd",Myanmar,Cambodia,Laos,Thailand,Vietnam,"Maritime South-East Asia, nfd",Brunei Darussalam,Indonesia,Malaysia,Philippines,Singapore,Timor-Leste,"North-East Asia, nfd","Chinese Asia (includes Mongolia), nfd",China (excludes SARs and Taiwan),Hong Kong (SAR of China),Macau (SAR of China),Mongolia,Taiwan,"Japan and the Koreas, nfd",Japan,"Korea, Democratic People's Republic of (North)","Korea, Republic of (South)","Southern and Central Asia, nfd","Southern Asia, nfd",Bangladesh,Bhutan,India,Maldives,Nepal,Pakistan,Sri Lanka,"Central Asia, nfd",Afghanistan,Armenia,Azerbaijan,Georgia,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,"Americas, nfd","Northern America, nfd",Bermuda,Canada,St Pierre and Miquelon,United States of America,"South America, nfd",Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Falkland Islands,French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela,"South America, nec","Central America, nfd",Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,"Caribbean, nfd",Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,Cayman Islands,Cuba,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,St Kitts and Nevis,St Lucia,St Vincent and the Grenadines,Trinidad and Tobago,Turks and Caicos Islands,"Virgin Islands, British","Virgin Islands, United States",St Barthelemy,St Martin (French part),"Bonaire, Sint Eustatius and Saba",Curacao,Sint Maarten (Dutch part),"Sub-Saharan Africa, nfd","Central and West Africa, nfd",Benin,Burkina Faso,Cameroon,Cabo Verde,Central African Republic,Chad,"Congo, Republic of","Congo, Democratic Republic of",Cote d'Ivoire,Equatorial Guinea,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Sao Tome and Principe,Senegal,Sierra Leone,Togo,"Southern and East Africa, nfd",Angola,Botswana,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Lesotho,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,Namibia,Reunion,Rwanda,St Helena,Seychelles,Somalia,South Africa,Swaziland,Tanzania,Uganda,Zambia,Zimbabwe,"Southern and East Africa, nec",Inadequately described,At sea,Not stated
Albury (C),0,0,41583,4,0,539,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1011,6,16,163,43,3,0,67,0,46,18,21,251,0,0,0,194,16,0,5,0,19,0,0,8,15,0,0,0,0,0,0,76,15,6,0,17,31,0,4,0,50,5,5,54,0,7,11,0,31,0,9,0,12,0,24,0,4,36,13,6,19,0,0,0,17,0,0,3,0,0,0,3,0,0,0,28,0,4,0,0,18,0,0,6,7,0,5,0,0,0,3,6,91,65,35,0,0,13,45,278,24,0,0,0,117,33,0,0,5,0,16,0,33,0,0,84,275,561,0,203,32,101,0,9,0,0,0,5,0,0,0,5,0,0,0,45,0,99,0,0,0,12,11,4,0,0,0,0,0,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,11,21,0,0,0,9,0,0,0,0,0,0,5,0,132,0,0,0,18,30,0,8,0,3947
Armidale Regional (A),0,0,23395,0,0,306,0,0,47,4,0,0,0,3,0,0,0,0,0,0,8,31,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,562,0,11,99,27,0,0,31,0,19,3,27,102,0,0,0,63,25,0,4,0,0,0,0,5,13,0,0,0,0,0,0,19,3,4,0,4,0,0,0,4,3,16,0,11,0,3,0,0,0,0,3,0,0,0,11,0,0,10,7,5,3,0,0,0,3,15,0,6,0,0,0,11,0,0,0,48,92,6,4,6,4,0,0,154,0,4,14,3,0,0,12,0,0,29,48,0,0,31,42,155,19,7,0,0,282,24,0,4,40,0,27,0,17,0,0,55,44,160,0,149,32,61,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,148,0,10,0,7,4,7,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,4,0,0,0,30,0,0,0,0,0,0,3,0,0,0,0,20,23,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,5,3,24,0,13,0,2426
Ballina (A),0,0,33978,7,0,656,0,0,64,3,0,0,0,0,0,0,0,0,0,0,0,44,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1416,4,14,173,53,0,3,74,0,32,11,48,137,0,0,0,152,45,0,22,0,12,0,0,7,16,0,0,0,0,0,0,96,23,0,0,6,9,0,0,3,15,5,3,12,0,0,12,0,10,0,0,0,5,0,18,0,5,23,4,0,5,0,0,0,6,3,0,0,0,0,0,0,0,0,0,17,0,9,0,0,0,0,4,0,0,8,0,0,0,0,4,4,3,65,29,0,0,30,48,103,25,0,0,0,58,20,0,0,8,0,63,0,26,0,0,4,0,104,0,10,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,151,0,3,4,27,25,6,0,0,0,0,0,3,0,4,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,5,5,0,0,0,0,0,0,0,0,231,0,0,7,0,33,0,14,0,3193
Balranald (A),0,0,1868,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,9,3,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281
Bathurst Regional (A),0,0,34540,0,0,437,0,0,29,4,0,0,0,0,0,0,0,0,0,0,0,51,3,0,13,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,808,0,20,160,20,0,3,59,0,12,4,22,99,0,0,0,107,17,0,15,0,0,0,0,0,3,0,0,0,0,0,0,46,19,4,0,5,13,0,8,0,23,0,8,18,0,5,0,0,10,0,0,0,4,3,14,3,0,16,4,0,4,0,0,5,18,0,0,13,0,0,0,0,0,0,3,26,18,0,9,0,37,0,0,0,0,0,3,0,0,0,3,11,0,51,64,0,0,17,44,157,21,0,0,0,124,24,0,0,3,0,27,0,27,0,0,42,0,175,0,50,26,48,0,10,0,0,0,0,0,0,0,0,0,0,0,56,0,74,0,10,0,9,9,10,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,10,0,0,4,0,0,0,0,0,106,0,0,3,0,22,0,7,0,3199
Bega Valley (A),0,0,26442,0,0,372,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1439,4,30,161,38,0,6,66,0,33,13,26,234,0,0,0,205,25,0,12,0,21,0,0,18,9,0,0,0,0,0,0,51,30,5,0,11,20,0,0,0,11,5,4,16,0,4,9,0,5,0,5,0,9,4,24,6,0,20,9,0,4,0,0,3,13,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,57,13,0,0,21,30,115,13,7,0,0,39,10,0,0,3,0,22,0,12,0,0,0,0,42,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,126,0,10,0,8,11,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,89,0,0,0,3,10,0,10,0,2947
Bellingen (A),0,0,10166,0,0,172,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,570,0,7,67,29,0,4,26,0,18,3,26,94,0,0,0,66,15,0,4,0,0,0,0,0,15,0,0,0,0,0,0,8,5,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,9,0,0,6,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,0,0,6,14,24,8,0,0,0,7,13,0,0,0,0,7,0,0,0,0,0,0,23,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,50,0,5,0,5,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,4,7,0,0,0,1005
Berrigan (A),0,0,6864,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,8,42,3,0,0,7,0,8,0,0,42,0,0,0,44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,24,37,0,0,0,0,13,0,0,0,3,0,0,0,3,0,0,0,0,21,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,14,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,0,3,0,0,5,0,0,0,945
Blacktown (C),0,0,182146,4,0,8038,0,3,143,10,20,0,4,7,0,0,9,4,0,0,406,7080,13,40,2033,19,121,1044,5,0,0,0,0,0,0,0,0,0,0,0,0,46,5289,5,214,899,125,8,4,613,0,168,44,163,954,0,0,0,492,88,0,63,0,68,0,9,27,56,0,0,0,0,0,0,1294,2267,252,0,175,521,16,505,25,1023,366,191,697,10,274,85,13,381,7,63,22,99,14,342,25,17,930,203,56,154,11,0,14,1955,44,25,1755,8,0,0,348,21,50,162,1553,1684,71,312,183,1841,28,47,197,450,1334,293,10,0,0,825,147,58,617,988,0,19,1483,1346,21911,545,106,0,0,4661,949,21,4,288,0,145,0,1477,5,31,2425,146,25760,0,1389,4116,4896,0,2344,33,11,3,17,12,4,0,19,0,0,5,295,0,816,3,218,21,138,666,170,48,3,0,13,20,391,3,279,46,0,0,0,3,207,13,14,43,39,0,0,0,0,0,0,0,0,11,0,3,0,0,7,19,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,14,0,0,0,19,24,19,0,0,7,406,51,0,219,0,0,0,346,0,3,214,7,6,6,19,8,0,0,58,211,341,0,0,4,679,0,4,8,0,7,0,14,50,1788,0,45,101,30,323,0,177,0,18522
Bland (A),0,0,4894,0,0,28,0,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,19,0,0,0,0,4,3,0,0,3,0,0,0,0,0,0,3,0,16,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,3,0,0,0,771
