lga,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not stated,Not applicable
Albury (C),150,2505,1700,3031,3813,3971,3662,3642,3955,3548,2331,1815,1146,1364,671,4158,9611
Armidale Regional (A),139,1993,1100,2303,2185,2217,2125,2150,1809,1761,1047,898,616,888,397,2482,5335
Ballina (A),120,1932,1390,2351,3719,3774,3475,3249,2964,2662,1538,1313,967,1116,723,3561,6927
Balranald (A),17,134,47,105,162,159,165,167,188,147,86,47,23,50,25,282,484
Bathurst Regional (A),123,2343,1317,2423,2763,2961,2711,2674,2773,2648,1847,1564,1145,1368,498,4026,8121
Bega Valley (A),114,1530,1223,2384,3358,3233,2737,2501,2387,2075,1204,854,582,608,308,2893,5259
Bellingen (A),51,693,441,897,1247,1311,1086,937,816,703,398,307,244,258,110,974,2202
Berrigan (A),47,382,269,579,892,776,697,571,558,475,277,207,145,149,88,910,1442
Blacktown (C),1599,31289,10674,17768,20497,18413,17261,20529,24754,25286,16704,12847,8654,11170,3480,19355,76664
Bland (A),35,304,155,332,476,463,437,341,367,334,209,176,108,151,102,727,1227
Blayney (A),31,387,249,427,572,557,441,470,487,482,265,271,193,245,98,576,1507
Blue Mountains (C),216,4771,2843,4091,5001,5807,5201,4745,5054,5129,3780,3463,2796,3844,1575,4525,14071
Bogan (A),23,140,53,150,190,217,152,134,171,177,104,109,65,83,56,318,552
Botany Bay (C),207,4308,1226,2260,2975,2843,2539,2796,3322,3506,2548,2039,1506,2248,991,3415,7923
Bourke (A),11,115,41,140,139,133,115,145,176,161,100,89,67,64,25,486,614
Brewarrina (A),11,71,41,170,183,129,73,92,79,69,40,41,20,33,9,213,377
Broken Hill (C),61,867,501,1303,1812,1689,1209,1071,939,977,655,540,478,607,186,1874,2944
Burwood (A),263,5285,1262,2083,2677,2550,2204,2168,2479,2522,1594,1298,978,1580,843,2233,4803
Byron (A),98,1397,986,1756,2474,2811,2624,2315,2190,1880,1112,836,567,760,605,3863,5288
Cabonne (A),65,775,413,673,1044,985,878,888,860,822,520,479,312,466,260,1059,2893
Camden (A),216,5303,2367,3141,3886,3691,3980,4501,5369,6229,4671,3933,2907,3799,1324,4212,18702
Campbelltown (C) (NSW),620,13263,5060,9042,10813,9794,9203,10609,12217,11666,7451,5496,3288,3780,1132,9711,33855
Canada Bay (A),413,8232,2456,3687,4475,4325,4084,4205,5247,6245,4732,4615,3516,6515,5342,5635,14289
Canterbury-Bankstown (A),2043,36156,11801,24144,27954,24015,20483,20791,22089,21324,13340,9910,6593,8599,3492,22537,71037
Carrathool (A),17,130,74,109,197,215,182,197,218,215,136,77,45,62,50,265,539
Central Coast (C) (NSW),1081,19754,11130,18915,27709,27876,23587,22117,22630,21486,13719,11451,7987,10255,4940,22675,60430
Central Darling (A),6,108,38,179,139,154,94,85,90,82,43,33,29,31,21,345,349
Cessnock (C),171,3251,1706,3609,5118,4692,3608,3543,3345,3126,1871,1466,1057,1750,695,5167,11376
Clarence Valley (A),209,2512,1686,4045,6183,5421,4044,3683,3126,2473,1356,1094,741,792,399,4599,8303
Cobar (A),17,315,121,203,290,289,226,231,222,236,165,197,148,312,118,539,1029
Coffs Harbour (C),307,3622,2398,4842,6757,6346,5637,5562,5326,4312,2694,1986,1398,1581,793,6026,13351
Coolamon (A),23,237,138,255,375,288,262,273,289,290,131,133,91,88,79,477,885
Coonamble (A),33,160,85,253,386,299,261,251,213,191,131,90,54,48,49,609,797
Cowra (A),45,611,361,888,1397,1212,946,999,828,663,371,299,190,192,130,1153,2160
Cumberland (A),1645,24430,7275,15118,16191,14298,12277,13235,14746,13569,8407,6198,3970,5081,1687,13591,44370
Dungog (A),27,549,327,564,738,738,658,563,565,553,334,272,228,284,162,735,1662
Edward River (A),41,410,273,547,760,721,637,645,657,578,325,268,149,209,97,966,1576
Eurobodalla (A),135,1628,1250,2665,4319,3886,3283,2898,2596,2134,1197,777,539,613,361,3633,5320
Fairfield (C),1446,21469,7486,18018,20316,15278,11530,12311,12935,11277,6580,4409,2566,2771,1050,11443,37934
Federation (A),43,572,351,759,1215,1127,978,804,897,813,486,334,193,211,106,1273,2096
Forbes (A),45,508,283,518,840,823,694,711,640,573,325,270,160,202,91,949,1952
Georges River (A),680,16728,5299,7871,9545,9039,8669,9027,10293,10488,7030,5884,4153,6280,3633,7607,24620
Gilgandra (A),32,202,127,272,424,362,343,302,290,216,133,106,81,58,54,432,793
Glen Innes Severn (A),58,370,291,716,947,954,670,634,540,423,206,162,101,129,61,1067,1508
Goulburn Mulwaree (A),107,1582,925,1664,2277,2329,2056,2063,2027,2000,1206,1035,760,897,303,3005,5376
Greater Hume Shire (A),53,554,351,572,807,775,775,665,762,662,433,300,203,212,145,830,2236
Griffith (C),115,1351,785,1283,1632,1608,1649,2026,2180,1700,1022,753,496,596,311,2768,5361
Gundagai (A),62,510,330,696,1183,1066,884,802,807,647,357,249,190,224,150,969,2015
Gunnedah (A),71,578,359,710,980,1003,794,782,822,686,475,383,298,468,244,1030,2528
Gwydir (A),51,272,137,377,567,490,364,341,358,290,152,88,82,73,53,588,974
Hawkesbury (C),263,4121,2073,3200,3839,3973,4029,4164,4741,5034,3475,2924,1985,2531,1002,4366,12870
Hay (A),12,160,89,170,236,237,205,201,198,192,117,79,44,67,39,384,512
