lga,"Agriculture, Forestry and Fishing, nfd",Agriculture,Aquaculture,Forestry and Logging,"Fishing, Hunting and Trapping","Agriculture, Forestry and Fishing Support Services","Mining, nfd",Coal Mining,Oil and Gas Extraction,Metal Ore Mining,Non-Metallic Mineral Mining and Quarrying,Exploration and Other Mining Support Services,"Manufacturing, nfd",Food Product Manufacturing,Beverage and Tobacco Product Manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing",Wood Product Manufacturing,"Pulp, Paper and Converted Paper Product Manufacturing",Printing (including the Reproduction of Recorded Media),Petroleum and Coal Product Manufacturing,Basic Chemical and Chemical Product Manufacturing,Polymer Product and Rubber Product Manufacturing,Non-Metallic Mineral Product Manufacturing,Primary Metal and Metal Product Manufacturing,Fabricated Metal Product Manufacturing,Transport Equipment Manufacturing,Machinery and Equipment Manufacturing,Furniture and Other Manufacturing,"Electricity, Gas, Water and Waste Services, nfd",Electricity Supply,Gas Supply,"Water Supply, Sewerage and Drainage Services","Waste Collection, Treatment and Disposal Services","Construction, nfd",Building Construction,Heavy and Civil Engineering Construction,Construction Services,"Wholesale Trade, nfd",Basic Material Wholesaling,Machinery and Equipment Wholesaling,Motor Vehicle and Motor Vehicle Parts Wholesaling,"Grocery, Liquor and Tobacco Product Wholesaling",Other Goods Wholesaling,Commission-Based Wholesaling,"Retail Trade, nfd",Motor Vehicle and Motor Vehicle Parts Retailing,Fuel Retailing,Food Retailing,Other Store-Based Retailing,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,"Accommodation and Food Services, nfd",Accommodation,Food and Beverage Services,"Transport, Postal and Warehousing, nfd",Road Transport,Rail Transport,Water Transport,Air and Space Transport,Other Transport,Postal and Courier Pick-up and Delivery Services,Transport Support Services,Warehousing and Storage Services,"Information Media and Telecommunications, nfd",Publishing (except Internet and Music Publishing),Motion Picture and Sound Recording Activities,Broadcasting (except Internet),Internet Publishing and Broadcasting,Telecommunications Services,"Internet Service Providers, Web Search Portals and Data Processing Services",Library and Other Information Services,"Financial and Insurance Services, nfd",Finance,Insurance and Superannuation Funds,Auxiliary Finance and Insurance Services,"Rental, Hiring and Real Estate Services, nfd",Rental and Hiring Services (except Real Estate),Property Operators and Real Estate Services,"Professional, Scientific and Technical Services, nfd","Professional, Scientific and Technical Services (except Computer System Design and Related Services)",Computer System Design and Related Services,"Administrative and Support Services, nfd",Administrative Services,"Building Cleaning, Pest Control and Other Support Services","Public Administration and Safety, nfd",Public Administration,Defence,"Public Order, Safety and Regulatory Services","Education and Training, nfd",Preschool and School Education,Tertiary Education,"Adult, Community and Other Education","Health Care and Social Assistance, nfd",Hospitals,Medical and Other Health Care Services,Residential Care Services,Social Assistance Services,"Arts and Recreation Services, nfd",Heritage Activities,Creative and Performing Arts Activities,Sports and Recreation Activities,Gambling Activities,"Other Services, nfd",Repair and Maintenance,Personal and Other Services,Private Households Employing Staff and Undifferentiated Goods and Service-Producing Activities of Households for Own Use,Inadequately described,Not stated,Not applicable
Albury (C),6,236,0,8,0,59,5,5,0,21,9,7,208,568,62,70,55,195,51,0,20,69,64,197,141,141,202,65,0,71,11,40,53,86,580,144,1294,22,145,129,65,88,55,19,49,264,99,788,1424,4,4,267,1658,43,602,22,3,47,15,153,56,108,9,55,55,58,0,70,16,6,4,239,50,130,0,64,227,0,907,79,0,287,406,6,1152,209,312,45,1483,465,197,45,1044,961,605,822,3,30,29,140,15,0,439,505,0,593,239,28172
Armidale Regional (A),17,1217,4,6,0,88,3,8,0,25,12,6,23,125,10,14,20,0,9,0,4,0,11,16,11,11,18,45,0,38,0,17,33,17,199,52,438,3,73,23,13,45,23,23,39,102,59,429,696,4,4,190,771,16,152,5,0,29,0,53,14,12,0,28,34,11,0,22,3,4,4,181,20,47,0,15,110,5,564,80,0,146,269,4,434,16,142,18,973,1310,97,33,404,431,325,502,0,27,16,47,3,0,176,217,0,238,101,17131
Ballina (A),13,660,4,8,33,67,8,22,15,27,28,11,62,321,16,63,48,0,22,0,41,13,27,36,33,80,31,41,0,61,7,35,30,61,388,131,972,13,88,46,15,76,55,0,54,145,48,690,1081,16,6,359,1147,26,262,3,8,32,6,106,57,10,3,44,21,23,0,52,12,17,8,155,60,120,3,47,281,7,838,102,0,209,337,3,729,14,250,30,1361,402,146,71,699,857,666,662,0,27,62,129,13,0,266,350,0,421,227,24319
Balranald (A),6,263,0,10,0,16,0,0,0,0,0,0,4,26,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,13,0,3,8,0,8,7,30,0,0,0,0,4,0,0,3,7,15,26,30,4,0,27,42,0,33,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,11,0,0,3,14,0,48,0,7,0,71,0,0,3,45,21,14,24,0,7,0,0,0,0,17,10,0,36,23,1301
Bathurst Regional (A),9,535,0,82,0,77,13,86,0,128,20,10,112,788,18,16,184,9,40,4,10,15,52,88,44,25,62,29,0,152,0,30,43,62,387,137,923,12,112,62,8,50,37,19,65,200,61,580,1005,3,0,226,1082,38,382,42,0,17,0,112,16,32,3,31,35,34,0,122,33,7,4,131,43,85,0,67,167,4,659,59,0,216,332,9,940,18,615,39,1275,721,150,55,624,595,462,709,0,43,35,157,3,0,311,368,0,452,198,23137
Bega Valley (A),6,632,85,94,66,39,5,0,13,7,3,0,33,768,12,13,75,0,19,0,4,0,17,22,26,26,18,24,0,52,3,31,36,51,356,84,715,7,134,24,4,49,26,4,42,139,57,576,702,4,8,411,992,31,244,0,9,10,11,82,40,15,0,22,24,22,0,30,6,5,0,112,22,42,0,31,152,4,497,67,0,165,264,3,510,20,150,18,810,72,81,51,474,535,442,393,9,53,44,105,6,0,238,224,0,330,147,20098
Bellingen (A),0,309,3,26,0,12,0,4,5,5,11,4,12,88,4,9,67,0,0,0,3,4,4,8,14,10,32,20,0,6,0,9,14,22,125,64,258,5,20,11,10,23,3,3,10,18,29,222,196,9,0,108,278,8,89,0,4,5,0,37,13,0,3,19,5,6,0,14,4,0,8,21,9,22,0,12,59,0,177,39,0,62,113,3,215,3,42,19,409,70,46,17,225,212,182,185,0,22,25,24,0,0,97,68,0,121,57,7777
Berrigan (A),11,545,0,0,0,52,0,0,0,5,0,0,3,173,5,0,6,0,0,0,10,0,14,8,5,9,17,3,0,6,0,33,8,11,34,30,149,0,31,39,0,10,4,13,6,12,25,143,85,0,0,70,214,21,100,0,5,0,0,24,6,21,0,0,0,0,0,5,3,7,0,17,0,3,0,0,19,0,93,5,0,16,44,0,93,0,26,3,216,8,11,10,96,98,137,62,0,5,5,29,0,0,98,48,0,91,57,5177
Blacktown (C),29,569,0,22,3,68,35,34,17,37,42,34,1007,2480,416,245,406,296,820,57,974,719,631,582,707,625,2034,503,5,621,38,300,578,605,3328,1230,7022,261,1064,2491,388,1189,1447,70,467,1151,468,5678,8074,208,29,898,7521,506,4661,675,103,311,46,1745,1153,2236,73,371,270,283,30,1596,373,80,136,4861,2002,1730,8,582,1276,47,5840,3057,16,2745,2454,33,5667,440,3061,215,6617,1752,946,291,5878,3918,3905,5210,32,120,182,873,374,8,2646,2704,27,6224,2587,185495
Bland (A),4,676,0,0,0,40,7,7,0,185,13,0,4,21,0,0,0,0,0,0,0,0,0,8,5,7,25,0,0,7,0,3,6,8,17,27,84,0,17,17,0,3,0,13,6,21,20,79,69,0,0,38,100,7,64,6,0,0,0,22,0,14,0,3,0,0,0,0,0,0,0,12,0,4,0,10,12,0,64,4,0,16,36,0,113,0,13,0,158,27,8,8,34,50,52,45,0,5,0,0,0,0,73,31,0,64,42,3413
Blayney (A),3,374,0,7,0,19,0,9,0,182,3,7,17,109,9,4,5,0,0,0,0,0,17,6,6,3,22,5,0,22,0,17,8,10,59,21,141,3,26,13,3,35,5,12,17,25,18,118,103,0,0,31,143,4,83,9,0,0,0,16,0,13,0,6,3,0,0,4,0,0,0,20,6,3,0,4,34,0,121,6,0,39,51,0,150,3,42,4,191,41,15,10,132,100,71,86,4,0,7,11,0,0,66,69,0,89,46,4032
Blue Mountains (C),3,207,0,4,0,69,8,66,5,18,16,7,163,286,47,53,83,27,132,4,97,73,134,115,128,118,197,102,0,188,0,123,120,117,856,242,1696,40,200,241,60,120,122,17,102,186,57,1006,1597,27,5,703,1919,51,532,180,10,73,47,199,81,128,17,174,114,87,6,138,33,39,24,501,207,277,0,87,513,17,1921,377,0,531,572,7,2054,212,916,119,3401,1254,523,79,1480,1426,790,1464,11,147,296,347,35,4,477,707,12,936,297,41040
Bogan (A),0,251,0,0,0,22,0,0,0,158,0,0,0,14,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,10,12,27,0,0,0,0,0,0,7,4,4,11,57,15,0,0,20,37,0,20,6,0,0,0,6,0,3,0,0,0,0,0,4,0,0,0,9,0,0,0,0,3,0,30,0,0,8,11,0,76,0,16,0,96,0,4,5,37,12,8,39,0,4,0,6,0,0,21,10,0,27,18,1521
Botany Bay (C),0,11,0,0,0,10,3,3,0,5,5,4,65,239,36,59,24,30,116,4,77,12,31,31,35,38,124,51,5,60,8,23,57,96,528,125,922,46,77,248,26,122,192,18,64,106,26,698,1247,40,10,263,1641,75,493,39,35,547,11,286,471,125,14,99,77,74,13,194,57,11,45,670,239,331,5,74,405,14,1346,562,0,522,471,4,841,366,372,55,835,548,186,52,825,609,340,590,11,32,67,241,92,0,332,515,11,753,323,23691
Bourke (A),3,121,0,0,0,22,0,0,0,5,4,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,6,12,26,0,8,0,0,3,0,6,0,0,13,39,32,0,0,22,40,0,3,0,0,0,0,5,0,0,0,4,0,7,0,4,0,0,0,5,0,0,0,0,0,0,23,0,6,9,22,0,86,0,62,3,127,9,6,7,38,39,11,39,0,9,3,3,0,0,14,21,0,21,24,1633
