lga,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable
Albury (C),2508,4500,3364,2819,3004,2508,1535,2324,194,138,28172
Armidale Regional (A),1816,2868,1376,1431,1526,1187,493,1466,86,76,17131
Ballina (A),2295,3895,2387,2099,2031,1856,789,1830,138,151,24319
Balranald (A),218,83,114,96,105,39,100,194,7,17,1301
Bathurst Regional (A),2167,3435,2628,2446,2180,1777,1165,2074,162,126,23137
Bega Valley (A),1788,2109,2018,1605,1438,1410,763,1816,110,97,20098
Bellingen (A),682,1046,685,584,501,387,307,612,42,35,7777
Berrigan (A),684,394,435,365,331,250,279,479,28,32,5177
Blacktown (C),14578,28799,19183,15006,24781,13991,16600,15394,1800,1341,185495
Bland (A),703,268,353,189,237,156,279,305,18,36,3413
Blayney (A),554,458,460,312,364,228,343,426,35,35,4032
Blue Mountains (C),4477,10278,4614,4328,4796,2696,1495,2694,329,164,41040
Bogan (A),280,119,153,127,105,60,155,151,3,15,1521
Botany Bay (C),2949,5150,2795,2473,3504,2235,1483,1955,241,179,23691
Bourke (A),199,165,105,167,96,57,66,118,21,7,1633
Brewarrina (A),125,82,40,90,40,14,21,69,4,9,1148
Broken Hill (C),644,1116,1022,1045,752,703,724,760,77,57,10807
Burwood (A),1910,4931,1842,1700,2352,1831,629,1549,229,211,19638
Byron (A),2033,3314,1925,1663,1286,1305,475,1318,123,98,18002
Cabonne (A),1259,995,868,558,715,413,420,696,42,64,7356
Camden (A),5131,7140,6006,4055,6632,3991,3264,3062,467,267,38205
Campbelltown (C) (NSW),5780,10532,9577,7782,11106,6719,8182,7785,826,556,88165
Canada Bay (A),8216,14790,3892,3334,6594,4057,1041,1937,533,306,43319
Canterbury-Bankstown (A),13897,26143,19354,14511,20861,13820,11653,14650,1699,1609,208111
Carrathool (A),456,102,122,104,125,45,153,262,6,14,1335
Central Coast (C) (NSW),15642,25906,21599,17317,19085,14849,8356,14462,1419,965,188138
Central Darling (A),180,60,30,96,33,10,27,100,10,13,1267
Cessnock (C),1956,2442,3890,2528,2397,2203,2838,3009,193,157,33936
Clarence Valley (A),2061,2703,2497,2424,2140,1889,1301,2256,139,161,33106
Cobar (A),317,242,370,179,184,114,356,215,20,17,2637
Coffs Harbour (C),3533,5548,4004,3669,3863,3201,1590,3701,267,237,43327
Coolamon (A),422,233,230,180,171,129,134,184,22,12,2590
Coonamble (A),409,171,149,166,149,80,81,189,16,20,2498
Cowra (A),861,653,643,516,490,491,317,746,44,49,7651
Cumberland (A),7724,16451,13374,8435,12367,8101,7339,10505,1286,1259,129240
Dungog (A),607,554,701,362,488,279,364,471,39,23,5090
Edward River (A),688,551,479,415,447,334,277,547,34,36,5041
Eurobodalla (A),1585,2064,2092,1714,1608,1517,708,1463,122,102,24254
Fairfield (C),5586,9927,10765,7240,10081,6861,8741,10610,1085,1007,126914
Federation (A),872,558,742,501,500,438,415,864,41,39,7308
Forbes (A),758,563,550,379,397,374,323,506,39,49,5650
Georges River (A),8431,17664,8021,6851,10839,7051,3549,5742,756,620,77302
Gilgandra (A),487,217,209,219,141,119,127,240,11,7,2453
Glen Innes Severn (A),686,416,391,389,342,285,206,434,34,36,5609
Goulburn Mulwaree (A),1469,1844,1846,1945,1552,1261,1087,1503,115,101,16890
Greater Hume Shire (A),1087,617,638,444,520,339,347,554,45,27,5747
Griffith (C),1802,1546,1614,1035,1373,1240,802,2100,101,101,13923
Gundagai (A),732,562,585,470,451,368,315,815,32,49,6763
Gunnedah (A),908,720,727,495,542,427,781,689,46,54,6838
Gwydir (A),690,237,181,161,189,108,165,310,25,11,3175
Hawkesbury (C),4154,4781,6015,3261,4895,2834,2696,3120,336,242,32261
Hay (A),250,124,174,125,129,109,152,205,9,16,1653
Hilltops (A),1560,896,1058,714,809,708,496,1204,60,54,10937
Hornsby (A),11022,23873,6927,6249,10363,5831,1751,3747,628,399,71867
Hunters Hill (A),1454,2229,348,476,863,536,77,154,70,35,7764
Inner West (A),16318,37400,8449,8452,12773,7252,2466,4859,1016,584,82464
Inverell (A),1042,896,865,744,603,663,376,1049,61,88,10094
Junee (A),429,267,273,289,253,156,207,412,16,17,3970
Kempsey (A),1100,1376,1306,1386,1054,971,666,1383,95,123,19427
Kiama (A),1357,2436,1420,1148,1151,726,474,634,91,51,11982
Ku-ring-gai (A),11587,21590,2809,3966,7328,4500,634,1537,665,309,63133
Kyogle (A),665,459,376,345,327,231,257,514,25,39,5699
Lachlan (A),683,306,306,248,230,172,207,279,11,32,3726
Lake Macquarie (C),8456,17119,13704,9807,12168,8598,5768,8394,725,524,112109
Lane Cove (A),3627,8076,1185,1389,2454,1442,278,531,210,100,16755
Leeton (A),737,628,650,385,513,358,441,900,50,54,6462
Lismore (C),2111,3652,2367,2290,2310,1936,1003,2255,129,122,24963
Lithgow (C),738,954,1358,1003,1035,658,972,940,74,67,13292
Liverpool (C),8375,14228,12210,8379,13472,7717,8755,8706,1193,870,120420
Liverpool Plains (A),630,346,341,314,282,209,373,458,23,34,4670
Lockhart (A),397,164,142,120,126,66,109,130,15,14,1833
Maitland (C),3312,5769,5985,3875,4589,3551,3408,3692,293,223,42611
Mid-Coast (A),3653,4833,4396,3810,3322,3512,1979,4011,220,302,60273
Mid-Western Regional (A),1412,1276,1669,947,980,881,1217,1164,58,82,14388
Moree Plains (A),1146,769,644,552,664,425,521,704,51,53,7635
Mosman (A),3365,5530,625,1015,1687,1086,101,296,240,61,14476
Murray River (A),1206,703,628,480,499,412,326,664,34,40,6690
Murrumbidgee (A),505,156,184,138,183,92,153,276,13,24,2116
Muswellbrook (A),650,722,1352,604,687,535,1199,876,59,55,9355
Nambucca (A),767,987,925,910,660,538,428,894,69,51,12980
Narrabri (A),1009,773,797,487,604,467,688,702,61,58,7428
Narrandera (A),497,275,290,223,244,154,204,392,13,26,3526
Narromine (A),597,333,340,276,267,184,266,288,17,26,3854
Newcastle (C),7325,19899,9424,8998,9555,6714,3782,6310,628,410,82379
North Sydney (A),8635,17711,2079,2402,5100,2675,358,787,486,206,27215
Northern Beaches (A),24080,37085,14707,12241,17482,11801,3557,6621,1351,754,123194
Oberon (A),423,269,317,206,228,160,318,270,33,22,3056
Orange (C),1945,3771,2615,2056,2326,1731,1225,1879,156,106,22538
Parkes (A),1016,856,857,617,650,522,602,609,50,60,8768
Parramatta (C),13517,33772,11003,8823,16429,8955,5064,6927,1246,853,119562
Penrith (C),9604,14073,14052,9947,16843,9079,10285,9162,1117,691,101207
Port Macquarie-Hastings (A),3339,5822,4376,3815,3915,3239,1618,3081,232,209,48889
Port Stephens (A),3000,4069,4868,3494,3546,2847,2269,3046,260,202,41952
Queanbeyan-Palerang Regional (A),4734,5882,3929,3030,5381,2310,1353,2114,485,197,26637
Randwick (C),10580,23755,6228,6665,9258,5569,1890,3225,663,446,72377
Richmond Valley (A),952,986,1096,998,923,779,695,1673,74,92,14544
Rockdale (C),6146,11936,6300,5303,7906,5350,3307,5463,604,517,56578
Ryde (C),8171,19135,5721,4774,8707,5020,1611,3094,585,436,59057
Shellharbour (C),2683,4211,5193,3884,3985,3325,2674,3179,274,195,38846
Shoalhaven (C),4213,6126,6250,5022,4139,3902,1965,4099,321,295,63323
Singleton (A),1191,1320,1920,1225,1184,861,1872,1074,103,73,12170
Snowy Monaro Regional (A),1870,1358,1394,1205,1138,927,638,1164,110,71,10353
Snowy Valleys (A),1040,733,833,579,583,427,728,965,46,57,8406
Strathfield (A),2269,6250,2033,1682,2725,1815,804,1535,299,199,20693
Sutherland Shire (A),16972,27076,15190,11831,18810,10690,4339,6069,1118,661,105701
Sydney (C),19927,44227,9303,11980,13028,8894,1742,5997,1331,821,91125
Tamworth Regional (A),3400,4556,3741,2751,3110,2559,1785,3678,225,188,33665
Temora (A),555,356,350,254,270,229,167,301,16,17,3597
Tenterfield (A),569,262,277,235,232,177,182,368,25,29,4263
The Hills Shire (A),14081,23236,8348,6226,13009,7699,2426,3768,873,504,77071
Tweed (A),3960,6170,5595,4915,4356,3927,2029,4179,305,301,55639
Upper Hunter Shire (A),1034,766,1060,480,591,451,825,1000,66,29,7815
Upper Lachlan Shire (A),947,454,482,379,381,195,225,406,30,30,4169
Uralla (A),501,425,367,263,325,208,127,369,21,21,3415
Wagga Wagga (C),3629,5874,4671,3868,3657,3063,1627,3070,224,151,32550
Walcha (A),490,154,144,96,131,90,83,214,9,4,1679
Walgett (A),493,284,183,291,190,111,178,285,18,31,4047
Warren (A),363,139,128,94,107,64,93,142,13,8,1579
Warrumbungle Shire (A),894,468,343,370,283,215,224,474,31,39,6053
Waverley (A),7178,14175,2644,3183,3802,2890,512,1376,425,230,30387
Weddin (A),484,177,158,110,132,87,98,173,3,10,2225
Wentworth (A),626,370,354,270,294,237,210,380,19,34,4010
Western Plains Regional (A),2869,3880,3168,2812,2869,2379,1332,2462,182,185,27927
Willoughby (C),6930,14474,2286,2658,4479,2933,522,1327,476,223,37995
Wingecarribee (A),2994,4169,3291,2232,2320,2001,1188,2116,178,148,27235
Wollondilly (A),3040,3597,4397,2451,3543,2056,2265,2267,271,178,24461
Wollongong (C),9245,20485,13048,10926,12002,7937,5467,7768,820,554,115380
Woollahra (A),6396,11889,1170,1827,3174,2218,239,541,399,151,26233
Yass Valley (A),1593,1677,1042,858,1204,522,353,642,112,61,8065
Unincorporated NSW,259,47,43,37,33,21,11,125,8,15,461
No usual address (NSW),271,648,476,434,263,224,334,583,57,47,8959
Migratory - Offshore - Shipping (NSW),5,17,17,15,16,15,11,15,0,3,286
Alpine (S),983,803,861,638,509,505,383,718,50,41,6840
Ararat (RC),863,620,558,744,390,388,263,798,43,38,6892
Ballarat (C),4848,9735,6439,5614,5620,4792,2342,4623,390,310,56972
Banyule (C),8013,17777,7163,5934,8738,5149,1840,3418,528,365,62957
Bass Coast (S),1814,1909,2147,1549,1266,1440,643,1555,107,116,20267
Baw Baw (S),3226,3531,3501,2293,2389,1755,1469,2745,193,163,27223
Bayside (C),10293,15506,3189,3942,5866,4431,636,1441,442,245,51098
Benalla (RC),902,861,884,652,615,491,407,743,50,50,8206
Boroondara (C),15442,32376,4813,6689,10398,7497,998,2727,850,469,84974
Brimbank (C),6665,11587,11083,8471,10989,8015,9411,11825,954,1021,114286
Buloke (S),743,348,262,216,215,178,161,325,20,22,3714
Campaspe (S),2835,2106,2323,1758,1548,1588,1167,2377,90,150,21109
Cardinia (S),5301,6539,8196,4763,6314,4605,3712,4817,366,332,49176
Casey (C),14131,20726,22513,14971,20137,14245,13113,15650,1316,1112,161382
Central Goldfields (S),536,490,721,561,400,492,302,773,29,42,8642
Colac-Otway (S),1632,1172,1309,1128,870,820,695,1749,85,98,11427
Corangamite (S),2020,818,843,626,525,528,520,1145,63,71,8886
Darebin (C),8776,21580,7756,7344,9132,6325,2848,5403,639,508,76412
East Gippsland (S),2565,2503,2501,2191,1856,1691,1043,2353,136,162,28034
Frankston (C),6944,10390,10910,7482,8890,7081,4378,6278,579,472,70739
Gannawarra (S),1091,496,564,409,432,377,326,646,29,27,6154
Glen Eira (C),11477,24063,6147,6273,9379,6395,1527,3248,692,432,71240
Glenelg (S),1304,1112,1199,885,799,679,1024,1152,74,81,11246
Golden Plains (S),1421,1566,1864,1096,1215,887,826,1129,110,81,11491
Greater Bendigo (C),5345,9789,7063,5904,6033,5098,2951,5754,423,305,61800
Greater Dandenong (C),4644,8151,9361,6427,6900,5716,7285,10351,701,762,91748
Greater Geelong (C),11087,21531,15528,13398,12651,10836,6203,10665,965,710,129850
Greater Shepparton (C),3912,4615,3684,2821,3173,2773,1810,3755,186,253,36859
Hepburn (S),1079,1212,1003,774,680,452,302,748,52,42,8987
Hindmarsh (S),582,305,254,227,209,139,170,373,20,17,3424
Hobsons Bay (C),6023,10360,5182,3947,6064,3623,2757,3245,456,309,46806
Horsham (RC),1473,1565,1304,1034,1063,1024,532,994,70,55,10531
Hume (C),7665,11441,12484,9749,11953,8514,8599,8973,865,773,116352
Indigo (S),1238,1432,1068,824,800,569,501,937,59,69,8466
Kingston (C),10367,18037,9921,7189,11293,7766,3243,5124,673,485,77292
Knox (C),9282,16187,11766,7810,12175,8408,4237,6267,715,505,76757
Latrobe (C),2778,4492,5242,3505,4000,3101,2306,3502,340,233,43762
Loddon (S),991,299,254,222,237,158,201,418,23,36,4679
Macedon Ranges (S),3185,4827,3486,2454,2828,1728,1072,1840,202,117,24361
Manningham (C),8859,15029,5527,4710,7579,5880,1351,2981,478,426,63440
Mansfield (S),681,575,638,411,371,375,197,471,35,33,4805
Maribyrnong (C),5585,11970,4168,4338,5309,3714,2105,3693,463,304,40641
Maroondah (C),6851,12997,8164,5836,8287,5664,2246,4109,452,326,55437
Melbourne (C),9409,25654,4721,7296,7323,5215,892,3520,701,416,70809
Melton (C),6158,8871,8882,6619,9503,6366,6415,6032,688,489,75414
Mildura (RC),3286,3564,3033,2568,2521,2533,1570,3026,180,220,31374
Mitchell (S),2159,2311,3217,2264,2496,1707,1746,2183,199,124,22513
Moira (S),2210,1402,1646,1223,1118,1031,888,2063,90,140,17305
Monash (C),11027,24444,8364,7202,11441,8117,2898,5523,753,616,102241
Moonee Valley (C),8641,16924,5873,5508,8887,5531,2073,3318,616,389,58909
Moorabool (S),1856,2326,2419,1616,2066,1261,1393,1428,164,105,17193
Moreland (C),9805,25028,9260,8206,10824,6810,3387,5711,760,575,82211
Mornington Peninsula (S),9551,12710,11943,7991,8114,7277,2743,6112,594,466,87502
Mount Alexander (S),1078,1793,1044,871,731,584,341,995,68,56,11202
Moyne (S),2131,1078,939,698,656,520,511,1055,68,69,8769
Murrindindi (S),999,818,1090,732,663,415,396,728,57,62,7776
Nillumbik (S),5054,8457,4684,3379,4835,3018,928,1810,251,160,28695
Northern Grampians (S),923,581,568,688,430,404,328,850,47,36,6579
Port Phillip (C),11225,21833,4435,4877,7087,4567,796,1936,663,280,43159
Pyrenees (S),618,297,359,289,272,178,228,374,20,32,4575
Queenscliffe (B),171,334,115,96,119,80,27,68,15,9,1809
South Gippsland (S),2546,1633,1839,1195,1247,1051,891,1592,85,101,16516
Southern Grampians (S),1611,1133,1005,753,757,662,397,834,38,53,8691
Stonnington (C),10658,22518,3433,4552,6969,5099,605,1721,655,326,47299
Strathbogie (S),967,623,615,439,399,302,268,685,34,42,5903
Surf Coast (S),2329,3535,2089,1530,1558,1275,457,1079,149,90,15321
Swan Hill (RC),1595,1203,1128,877,917,843,559,1257,70,115,12015
Towong (S),714,382,369,234,254,170,184,320,20,34,3318
Wangaratta (RC),1908,2250,1770,1509,1415,1236,867,1478,98,86,15698
Warrnambool (C),1602,2942,2220,1801,1791,1919,895,2222,92,122,18054
Wellington (S),2974,2802,2911,2045,1833,1526,1262,2283,142,166,25036
West Wimmera (S),712,224,161,151,126,82,103,277,15,5,2041
Whitehorse (C),10397,23728,7587,7244,10370,7324,2116,4796,638,495,87374
Whittlesea (C),8629,14357,13628,10077,13106,9793,7844,9507,861,754,108933
Wodonga (C),1917,2965,3024,2395,2296,1887,1378,2041,191,119,21149
Wyndham (C),10543,18253,12534,10984,15016,9589,10435,9229,1024,801,118715
Yarra (C),8519,21760,3518,4478,5543,3673,747,1700,594,249,35877
Yarra Ranges (S),9520,13242,13844,8472,10012,6878,4095,7158,653,549,75123
Yarriambiack (S),753,338,278,328,221,161,176,324,22,25,4050
Unincorporated Vic,94,48,41,74,26,33,40,73,6,9,442
No usual address (Vic.),183,406,298,276,178,128,196,302,36,27,5537
Migratory - Offshore - Shipping (Vic.),0,3,11,0,0,0,0,3,0,0,9
Aurukun (S),20,37,38,56,19,6,7,35,10,5,1037
Balonne (S),539,260,219,188,220,161,176,360,13,16,2229
Banana (S),1455,709,1143,491,689,471,1014,1109,47,55,7132
Barcaldine (R),405,166,134,123,148,69,119,255,5,17,1415
Barcoo (S),41,13,26,6,19,0,25,34,0,3,101
Blackall-Tambo (R),262,84,98,92,81,73,67,161,5,16,964
Boulia (S),52,11,17,14,14,5,25,76,0,5,207
Brisbane (C),74502,170412,60099,57784,83217,50308,23425,41837,5628,3251,560704
Bulloo (S),64,11,32,7,29,9,25,36,4,3,133
Bundaberg (R),4003,5103,4790,3977,4001,3560,2879,5143,253,264,58922
Burdekin (S),1312,850,1164,722,861,608,902,1299,45,76,9232
Burke (S),32,19,14,4,27,3,7,36,4,0,181
Cairns (R),7929,13936,10826,9951,9545,7767,4087,7138,719,513,84488
Carpentaria (S),121,100,111,113,93,26,55,168,13,14,1147
Cassowary Coast (R),1843,1322,1683,1177,1218,991,1143,2498,99,116,16642
Central Highlands (R),2014,1481,2374,895,1431,989,2469,1603,103,100,14537
Charters Towers (R),702,640,649,506,438,380,509,688,26,46,7299
Cherbourg (S),3,16,8,41,19,0,3,28,0,0,1136
Cloncurry (S),195,207,235,101,190,68,287,218,17,9,1516
Cook (S),246,304,221,203,167,95,141,291,20,18,2515
Croydon (S),33,8,12,14,7,0,12,22,0,4,179
Diamantina (S),37,12,24,18,24,13,10,38,0,0,128
Doomadgee (S),20,43,22,82,32,12,11,42,4,3,1122
Douglas (S),840,670,887,832,560,532,274,804,60,46,6211
Etheridge (S),119,28,35,23,32,5,26,93,5,0,443
Flinders (S),259,55,73,62,69,43,79,143,5,3,744
Fraser Coast (R),3180,5164,4736,4791,3967,3595,2322,4032,224,270,69230
Gladstone (R),2581,3679,5791,2478,2913,2293,3368,3502,290,177,34565
Gold Coast (C),32305,47674,38842,31490,35397,31579,13241,25481,2724,1811,295177
Goondiwindi (R),1017,571,610,449,538,387,485,741,46,23,5772
Gympie (R),2240,2194,2763,2009,1960,1775,1578,2678,159,150,32055
Hinchinbrook (S),706,556,733,494,496,372,551,583,28,32,6322
Hope Vale (S),13,29,23,46,24,5,35,40,11,8,687
Ipswich (C),7601,12253,12704,10749,12288,8118,8382,10656,926,601,109455
Isaac (R),1287,1066,2068,604,866,469,2368,1111,83,58,10962
Kowanyama (S),23,25,35,67,21,8,13,30,7,3,720
Livingstone (S),1811,2387,2802,1752,1939,1395,1569,1520,134,114,20845
Lockhart River (S),14,30,14,39,14,9,12,41,5,13,524
Lockyer Valley (R),2008,1855,2365,1668,1815,1339,1621,2855,122,125,22843
Logan (C),12130,17418,21528,14290,19727,12839,14593,17002,1366,1054,171429
Longreach (R),371,306,255,208,241,152,123,244,16,20,1717
