lga,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,Inadequately described,Not stated
Albury (C),514,30077,835,240,26,397,14264,229,4496
Armidale Regional (A),312,16949,281,464,10,175,8205,162,2875
Ballina (A),506,23711,94,54,50,205,12872,266,4035
Balranald (A),15,1484,8,5,0,4,474,5,287
Bathurst Regional (A),306,26367,202,180,15,180,9394,204,4453
Bega Valley (A),345,17319,56,26,29,142,11880,145,3309
Bellingen (A),216,5900,27,18,35,97,5109,80,1206
Berrigan (A),18,5465,22,18,0,32,1961,18,924
Blacktown (C),5729,189860,28783,22645,147,12765,51329,1052,24656
Bland (A),23,4304,12,3,0,7,840,16,755
Blayney (A),28,5061,4,11,0,17,1516,20,598
Blue Mountains (C),1020,40133,221,180,156,492,28221,486,5987
Bogan (A),3,2022,7,22,0,5,307,7,322
Botany Bay (C),1806,25121,1004,3017,740,177,10465,170,4147
Bourke (A),6,1736,11,7,0,0,340,4,526
Brewarrina (A),5,922,3,0,0,12,479,9,225
Broken Hill (C),96,9401,45,41,5,50,6286,56,1734
Burwood (A),2490,15627,2771,579,22,182,12131,102,2901
Byron (A),792,9792,74,42,291,334,15024,288,4919
Cabonne (A),69,9735,0,12,3,41,2375,39,1117
Camden (A),877,54230,963,1559,45,385,15025,200,4936
Campbelltown (C) (NSW),4041,89981,7031,12438,63,1794,28583,527,12553
Canada Bay (A),2731,48294,2541,1435,191,430,24737,289,7357
Canterbury-Bankstown (A),21216,162000,6578,71892,174,2145,52514,778,29010
Carrathool (A),13,1897,31,4,4,22,498,7,260
Central Coast (C) (NSW),3181,201778,1155,1032,351,1197,92081,1246,25713
Central Darling (A),0,983,5,0,0,5,415,5,424
Cessnock (C),320,34331,125,69,18,188,14562,186,5757
Clarence Valley (A),363,31118,68,43,14,202,13588,213,5064
Cobar (A),20,3058,18,30,0,5,898,17,604
Coffs Harbour (C),768,39446,226,466,53,1592,23002,361,7034
Coolamon (A),22,3037,4,12,3,9,711,13,512
Coonamble (A),11,2702,7,5,0,8,536,4,652
Cowra (A),62,9000,12,3,3,51,2108,27,1206
