lga,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate Level,Level of education inadequately described,Level of education not stated,Not applicable
Albury (C),1043,843,4704,3530,9864,307,4257,26523
Armidale Regional (A),1740,575,3285,1729,4317,186,2629,14984
Ballina (A),1068,745,4736,3327,7752,333,3806,20021
Balranald (A),24,17,94,83,297,6,290,1481
Bathurst Regional (A),951,652,3753,2672,7859,253,4257,20911
Bega Valley (A),649,596,2942,2332,6671,235,3458,16364
Bellingen (A),314,228,1405,974,2396,74,1120,6155
Berrigan (A),51,67,493,462,1569,45,1069,4706
Blacktown (C),14018,2986,40308,22968,43866,2595,20697,189526
Bland (A),39,39,326,243,1025,26,798,3456
Blayney (A),110,88,547,428,1432,50,679,3935
Blue Mountains (C),4194,2035,11043,7364,13069,598,4654,33934
Bogan (A),17,16,157,114,428,4,324,1633
Botany Bay (C),2836,512,7117,3524,5531,395,3635,23111
Bourke (A),29,9,165,144,305,15,491,1480
Brewarrina (A),9,5,78,65,198,3,236,1049
Broken Hill (C),193,177,894,804,3397,77,2025,10134
Burwood (A),3276,507,7421,2752,2912,406,2406,17126
Byron (A),1105,595,4523,2786,4954,204,4092,13294
Cabonne (A),251,139,1111,896,2494,70,1126,7301
Camden (A),1843,867,6967,6138,14505,456,4291,43152
Campbelltown (C) (NSW),4639,1204,13056,10442,25263,1209,10681,90504
Canada Bay (A),8013,1741,18283,7121,8661,878,5798,37519
Canterbury-Bankstown (A),12866,2919,38458,23623,39060,2842,23660,202882
Carrathool (A),19,16,188,136,412,18,305,1629
Central Coast (C) (NSW),6392,3601,27405,24671,65131,2458,25877,172197
Central Darling (A),12,13,57,73,210,7,397,1071
Cessnock (C),468,347,2486,2798,11983,250,5574,31669
Clarence Valley (A),574,504,3132,3008,10497,332,5456,27160
Cobar (A),51,33,249,175,855,17,584,2691
Coffs Harbour (C),1246,939,6632,5436,14243,458,6603,37393
Coolamon (A),49,31,268,222,779,17,521,2428
Coonamble (A),26,19,196,160,535,6,666,2312
Cowra (A),100,100,728,670,2343,69,1287,7172
Cumberland (A),10072,1717,26254,14556,21160,1962,14340,126013
Dungog (A),134,96,647,660,1882,34,834,4681
Edward River (A),91,84,563,508,1573,31,1117,4883
Eurobodalla (A),712,622,2953,2658,7824,278,4068,18121
Fairfield (C),2615,782,14810,11535,21926,1401,12106,133639
Federation (A),102,101,658,677,2385,65,1405,6877
Forbes (A),89,76,585,514,1694,46,1064,5517
Georges River (A),9933,1919,25019,11846,15936,1450,8095,72639
Gilgandra (A),31,12,242,193,751,23,471,2504
Glen Innes Severn (A),92,70,496,518,1578,53,1192,4841
Goulburn Mulwaree (A),505,340,1934,2067,5807,161,3349,15438
Greater Hume Shire (A),125,101,707,709,2008,53,926,5736
Griffith (C),289,205,1632,1212,4247,164,2854,15045
Gundagai (A),102,83,650,649,2061,61,1149,6386
Gunnedah (A),114,101,770,654,2267,43,1213,7048
Gwydir (A),30,34,305,287,795,28,648,3115
Hawkesbury (C),1275,708,4782,4841,13939,403,4433,34206
Hay (A),18,19,140,153,460,10,398,1756
Hilltops (A),175,136,1158,1041,3367,97,1798,10718
Hornsby (A),12378,3328,28348,12147,15367,1418,6958,62731
Hunters Hill (A),1224,311,2931,1061,1105,153,1071,6142
Inner West (A),17983,4894,41392,13761,15796,1327,14340,72552
Inverell (A),101,122,957,834,3094,83,1750,9533
Junee (A),51,35,326,276,1048,23,1450,3088
Kempsey (A),244,208,1503,1504,5867,160,3871,15521
Kiama (A),844,534,2948,2073,4011,157,1623,9275
Ku-ring-gai (A),13303,2929,28873,8990,7090,1242,5528,50101
Kyogle (A),104,104,611,546,1645,42,977,4911
Lachlan (A),37,51,305,265,889,26,789,3831
Lake Macquarie (C),4477,2476,18235,14490,41335,1376,12806,102177
Lane Cove (A),4356,982,9413,2750,2475,332,1884,13851
Leeton (A),96,78,665,482,1944,48,1243,6605
Lismore (C),980,722,4519,2885,8241,272,4000,21529
Lithgow (C),227,186,1108,1146,4294,121,2833,11168
Liverpool (C),4955,1304,18630,14168,27089,1509,15112,121561
Liverpool Plains (A),51,45,386,394,1330,47,895,4534
Lockhart (A),32,32,186,178,605,12,327,1753
Maitland (C),1258,783,5651,5225,16197,419,4839,42930
