,lga,Adelie Land (France),Afghanistan,Albania,Algeria,"Americas, nfd",Andorra,Angola,Anguilla,"Antarctica, nfd",Antigua and Barbuda,Argentina,Argentinian Antarctic Territory,Armenia,Aruba,At sea,Australia,"Australia (includes External Territories), nfd",Australian Antarctic Territory,"Australian External Territories, nec",Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bosnia and Herzegovina,Botswana,Brazil,British Antarctic Territory,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,"Caribbean, nfd",Cayman Islands,Central African Republic,"Central America, nfd","Central Asia, nfd","Central and West Africa, nfd",Chad,Chile,Chilean Antarctic Territory,"Chinese Asia (includes Mongolia), nfd",Colombia,Comoros,"Congo, Democratic Republic of",Cook Islands,Costa Rica,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,"Eastern Europe, nfd",Ecuador,Egypt,El Salvador,England,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Falkland Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Gaza Strip and West Bank,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong (SAR of China),Hungary,Iceland,Inadequately described,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,"Japan and the Koreas, nfd",Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Democratic People's Republic of (North)","Korea, Republic of (South)",Kuwait,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macau (SAR of China),Madagascar,"Mainland South-East Asia, nfd",Malawi,Malaysia,Maldives,Mali,Malta,"Maritime South-East Asia, nfd",Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,"Melanesia, nfd",Mexico,"Micronesia, Federated States of","Micronesia, nfd","Middle East, nfd",Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,"North Africa and the Middle East, nfd","North Africa, nfd","North-East Asia, nfd","North-West Europe, nfd","Northern America, nfd","Northern Europe, nfd",Northern Ireland,Northern Mariana Islands,Norway,Not stated,"Oceania and Antarctica, nfd",Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,"Polynesia (excludes Hawaii), nec","Polynesia (excludes Hawaii), nfd",Portugal,Puerto Rico,Qatar,Queen Maud Land (Norway),Romania,Ross Dependency (New Zealand),Russian Federation,Rwanda,Samoa,"Samoa, American",San Marino,Saudi Arabia,Scotland,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,"South America, nec","South America, nfd","South Eastern Europe, nfd","South-East Asia, nfd","Southern Asia, nfd","Southern Europe, nfd","Southern and Central Asia, nfd","Southern and East Africa, nec","Southern and East Africa, nfd","Southern and Eastern Europe, nfd",Spain,Sri Lanka,St Helena,St Kitts and Nevis,St Lucia,St Pierre and Miquelon,St Vincent and the Grenadines,"Sub-Saharan Africa, nfd",Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United States of America,Uruguay,Uzbekistan,Vanuatu,"Virgin Islands, British","Virgin Islands, United States",Wales,Wallis and Futuna,"Western Europe, nfd",Western Sahara,Yemen,Zambia,Zimbabwe
572,Albury (C),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40479.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,91.0,0.0,0.0,16.0,0.0,0.0,0.0,139.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,43.0,0.0,7.0,16.0,8.0,0.0,0.0,0.0,14.0,0.0,25.0,0.0,1083.0,0.0,0.0,0.0,0.0,0.0,38.0,18.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,9.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,24.0,0.0,6.0,355.0,22.0,13.0,0.0,72.0,0.0,4.0,90.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,37.0,0.0,81.0,8.0,28.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,193.0,0.0,477.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,9.0,2452.0,0,0.0,24.0,0.0,0.0,21.0,0.0,3.0,219.0,48.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,12.0,0.0,7.0,0.0,0.0,0.0,189.0,0.0,31.0,3.0,0.0,13.0,0.0,18.0,0.0,0.0,136.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0,22.0,6.0,6.0,0.0,0.0,44.0,11.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,28.0,0.0,83.0,12.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,10.0,30.0
573,Armidale Dumaresq (A),0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,19766.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,58.0,0.0,0.0,6.0,0.0,0.0,0.0,26.0,0.0,3.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,4.0,5.0,0.0,0.0,0.0,14.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,518.0,0.0,0.0,0.0,7.0,0.0,41.0,3.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,117.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,9.0,4.0,7.0,68.0,41.0,30.0,20.0,19.0,5.0,6.0,25.0,0.0,25.0,0.0,4.0,0.0,23.0,3.0,0.0,14.0,0.0,0.0,0.0,9.0,0.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,29.0,59.0,0.0,235.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,1518.0,0,0.0,18.0,0.0,0.0,40.0,0.0,5.0,61.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,13.0,0.0,0.0,0.0,0.0,125.0,82.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,7.0,0.0,95.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,119.0,0.0,0.0,3.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,15.0
574,Ashfield (A),0.0,10.0,3.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,20326.0,0.0,0.0,0.0,25.0,0.0,0.0,3.0,224.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,16.0,0.0,37.0,0.0,8.0,0.0,0.0,0.0,28.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,72.0,0.0,0.0,13.0,0.0,115.0,6.0,48.0,24.0,13.0,0.0,0.0,0.0,12.0,17.0,96.0,5.0,993.0,0.0,3.0,4.0,9.0,0.0,146.0,11.0,68.0,0.0,0.0,0.0,0.0,14.0,0.0,124.0,18.0,0.0,401.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,72.0,3.0,18.0,1404.0,229.0,53.0,10.0,185.0,0.0,3.0,1768.0,4.0,151.0,0.0,6.0,0.0,11.0,0.0,0.0,454.0,5.0,28.0,21.0,308.0,0.0,4.0,0.0,0.0,7.0,0.0,12.0,0.0,0.0,0.0,252.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,1120.0,57.0,10.0,769.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,6.0,2647.0,0,0.0,20.0,0.0,0.0,41.0,7.0,80.0,789.0,231.0,0.0,0.0,167.0,0.0,4.0,0.0,38.0,0.0,42.0,0.0,13.0,0.0,0.0,9.0,136.0,0.0,64.0,3.0,5.0,103.0,16.0,8.0,3.0,3.0,126.0,0.0,3.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,14.0,21.0,16.0,85.0,0.0,11.0,278.0,0.0,0.0,52.0,0.0,0.0,113.0,0.0,0.0,0.0,5.0,40.0,7.0,179.0,60.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,3.0,22.0
575,Auburn (C),0.0,1622.0,0.0,30.0,0.0,0.0,4.0,0.0,0.0,0.0,72.0,0.0,10.0,0.0,0.0,26445.0,0.0,0.0,0.0,48.0,4.0,3.0,3.0,459.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,187.0,3.0,21.0,0.0,10.0,21.0,0.0,3.0,177.0,3.0,65.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,3.0,51.0,0.0,9.0,45.0,0.0,383.0,4.0,103.0,10.0,14.0,4.0,0.0,0.0,6.0,3.0,220.0,23.0,505.0,0.0,9.0,4.0,58.0,0.0,457.0,7.0,41.0,0.0,0.0,0.0,0.0,24.0,0.0,140.0,42.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,815.0,21.0,0.0,47.0,2653.0,557.0,349.0,864.0,97.0,0.0,15.0,367.0,0.0,79.0,0.0,111.0,4.0,59.0,0.0,4.0,3086.0,97.0,69.0,10.0,2126.0,0.0,35.0,23.0,0.0,17.0,0.0,37.0,0.0,0.0,0.0,466.0,3.0,0.0,102.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,9.0,0.0,0.0,8.0,4.0,0.0,8.0,3.0,0.0,17.0,0.0,0.0,0.0,1347.0,30.0,3.0,885.0,5.0,0.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,5308.0,63,3.0,1227.0,0.0,0.0,35.0,10.0,57.0,1360.0,126.0,0.0,0.0,59.0,0.0,10.0,0.0,32.0,0.0,74.0,0.0,111.0,0.0,0.0,234.0,106.0,0.0,55.0,3.0,115.0,169.0,10.0,15.0,3.0,181.0,193.0,0.0,0.0,49.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,39.0,1292.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,3.0,8.0,151.0,206.0,0.0,20.0,228.0,0.0,0.0,337.0,0.0,3.0,2616.0,0.0,0.0,0.0,22.0,97.0,40.0,123.0,84.0,12.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,3.0,0.0,34.0
576,Ballina (A),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,33168.0,0.0,0.0,0.0,22.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,3.0,4.0,20.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,1399.0,0.0,0.0,3.0,0.0,0.0,33.0,10.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,17.0,0.0,3.0,59.0,22.0,16.0,4.0,64.0,0.0,10.0,90.0,3.0,50.0,0.0,0.0,0.0,14.0,0.0,0.0,12.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,38.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,161.0,0.0,600.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,12.0,1885.0,0,0.0,4.0,0.0,0.0,66.0,0.0,0.0,93.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,8.0,0.0,0.0,17.0,3.0,8.0,5.0,0.0,175.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,34.0,0.0,3.0,0.0,4.0,60.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,149.0,7.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,4.0,24.0
577,Balranald (A),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
578,Bankstown (C),0.0,320.0,6.0,51.0,0.0,0.0,10.0,0.0,0.0,0.0,161.0,0.0,3.0,0.0,5.0,102507.0,0.0,0.0,0.0,113.0,0.0,0.0,16.0,625.0,3.0,16.0,18.0,3.0,0.0,0.0,0.0,235.0,0.0,91.0,0.0,9.0,20.0,0.0,0.0,309.0,3.0,97.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,360.0,0.0,0.0,80.0,0.0,7.0,107.0,7.0,445.0,6.0,603.0,50.0,25.0,0.0,0.0,0.0,33.0,63.0,1467.0,44.0,1866.0,0.0,12.0,31.0,65.0,0.0,1136.0,41.0,90.0,0.0,4.0,0.0,0.0,237.0,3.0,614.0,182.0,0.0,2141.0,0.0,0.0,0.0,0.0,6.0,31.0,0.0,8.0,0.0,0.0,0.0,891.0,135.0,0.0,107.0,1672.0,986.0,206.0,1084.0,297.0,0.0,66.0,1952.0,0.0,118.0,0.0,428.0,3.0,29.0,0.0,3.0,1005.0,250.0,98.0,87.0,12995.0,3.0,25.0,30.0,0.0,63.0,0.0,21.0,0.0,0.0,0.0,526.0,0.0,0.0,435.0,0.0,0.0,0.0,0.0,416.0,0.0,0.0,15.0,3.0,0.0,9.0,5.0,0.0,3.0,15.0,0.0,46.0,0.0,0.0,4.0,140.0,173.0,15.0,2390.0,12.0,0.0,85.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,17.0,11121.0,0,12.0,984.0,0.0,0.0,56.0,8.0,129.0,1481.0,598.0,0.0,0.0,318.0,0.0,17.0,0.0,126.0,0.0,114.0,6.0,475.0,3.0,0.0,185.0,364.0,28.0,183.0,4.0,298.0,183.0,31.0,94.0,13.0,76.0,315.0,0.0,4.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,425.0,0.0,0.0,0.0,0.0,3.0,0.0,230.0,0.0,0.0,23.0,50.0,944.0,125.0,0.0,11.0,382.0,0.0,3.0,284.0,12.0,17.0,389.0,0.0,0.0,0.0,9.0,147.0,93.0,248.0,181.0,7.0,10.0,0.0,0.0,60.0,0.0,0.0,0.0,11.0,13.0,113.0
579,Bathurst Regional (A),0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,33178.0,0.0,0.0,0.0,17.0,0.0,0.0,3.0,20.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,20.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,3.0,5.0,13.0,0.0,784.0,0.0,0.0,3.0,0.0,0.0,48.0,6.0,23.0,0.0,3.0,0.0,0.0,0.0,0.0,121.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,12.0,0.0,4.0,66.0,14.0,11.0,10.0,52.0,0.0,0.0,45.0,0.0,18.0,0.0,5.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,4.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,116.0,0.0,459.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,3.0,2151.0,9,0.0,11.0,0.0,0.0,28.0,0.0,3.0,92.0,15.0,0.0,0.0,11.0,0.0,0.0,0.0,8.0,0.0,7.0,0.0,10.0,0.0,0.0,3.0,167.0,0.0,9.0,0.0,0.0,20.0,0.0,3.0,5.0,0.0,88.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,4.0,19.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,16.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,5.0,4.0,60.0,0.0,0.0,6.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,3.0,17.0
580,Bega Valley (A),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,26552.0,0.0,0.0,0.0,36.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,23.0,0.0,8.0,4.0,18.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,1458.0,0.0,0.0,6.0,0.0,0.0,18.0,19.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,0.0,3.0,26.0,13.0,8.0,4.0,51.0,0.0,0.0,58.0,3.0,28.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,227.0,0.0,382.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,11.0,1647.0,0,0.0,3.0,0.0,0.0,19.0,0.0,0.0,78.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,11.0,0.0,8.0,0.0,0.0,76.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,27.0,0.0,3.0,0.0,0.0,24.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,127.0,4.0,0.0,3.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,4.0,10.0
581,Bellingen (A),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,10489.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,3.0,0.0,13.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,12.0,12.0,0.0,0.0,19.0,0.0,8.0,11.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,502.0,0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,3.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,3.0
