,lga,Adelie Land (France),Afghanistan,Albania,Algeria,"Americas, nfd",Andorra,Angola,Anguilla,"Antarctica, nfd",Antigua and Barbuda,Argentina,Argentinian Antarctic Territory,Armenia,Aruba,At sea,Australia,"Australia (includes External Territories), nfd",Australian Antarctic Territory,"Australian External Territories, nec",Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bosnia and Herzegovina,Botswana,Brazil,British Antarctic Territory,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,"Caribbean, nfd",Cayman Islands,Central African Republic,"Central America, nfd","Central Asia, nfd","Central and West Africa, nfd",Chad,Chile,Chilean Antarctic Territory,"Chinese Asia (includes Mongolia), nfd",Colombia,Comoros,"Congo, Democratic Republic of",Cook Islands,Costa Rica,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,"Eastern Europe, nfd",Ecuador,Egypt,El Salvador,England,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Falkland Islands,Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Gaza Strip and West Bank,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong (SAR of China),Hungary,Iceland,Inadequately described,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,"Japan and the Koreas, nfd",Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Democratic People's Republic of (North)","Korea, Republic of (South)",Kuwait,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macau (SAR of China),Madagascar,"Mainland South-East Asia, nfd",Malawi,Malaysia,Maldives,Mali,Malta,"Maritime South-East Asia, nfd",Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,"Melanesia, nfd",Mexico,"Micronesia, Federated States of","Micronesia, nfd","Middle East, nfd",Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,"North Africa and the Middle East, nfd","North Africa, nfd","North-East Asia, nfd","North-West Europe, nfd","Northern America, nfd","Northern Europe, nfd",Northern Ireland,Northern Mariana Islands,Norway,Not stated,"Oceania and Antarctica, nfd",Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,"Polynesia (excludes Hawaii), nec","Polynesia (excludes Hawaii), nfd",Portugal,Puerto Rico,Qatar,Queen Maud Land (Norway),Romania,Ross Dependency (New Zealand),Russian Federation,Rwanda,Samoa,"Samoa, American",San Marino,Saudi Arabia,Scotland,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,"South America, nec","South America, nfd","South Eastern Europe, nfd","South-East Asia, nfd","Southern Asia, nfd","Southern Europe, nfd","Southern and Central Asia, nfd","Southern and East Africa, nec","Southern and East Africa, nfd","Southern and Eastern Europe, nfd",Spain,Sri Lanka,St Helena,St Kitts and Nevis,St Lucia,St Pierre and Miquelon,St Vincent and the Grenadines,"Sub-Saharan Africa, nfd",Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United States of America,Uruguay,Uzbekistan,Vanuatu,"Virgin Islands, British","Virgin Islands, United States",Wales,Wallis and Futuna,"Western Europe, nfd",Western Sahara,Yemen,Zambia,Zimbabwe
1149,Albury (C),0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39538.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,53.0,0.0,8.0,12.0,17.0,0.0,0.0,0.0,22.0,0.0,18.0,0.0,1032.0,0.0,0.0,0.0,0.0,0.0,44.0,25.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,286.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,26.0,0.0,5.0,86.0,12.0,7.0,9.0,46.0,0.0,3.0,103.0,0.0,15.0,0.0,0.0,0.0,6.0,0.0,0.0,19.0,0.0,72.0,9.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,205.0,0.0,466.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,6.0,2698.0,0,0.0,7.0,0.0,0.0,24.0,0.0,3.0,147.0,57.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0,0.0,0.0,3.0,195.0,0.0,27.0,0.0,0.0,18.0,0.0,17.0,0.0,0.0,126.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0,16.0,3.0,3.0,0.0,0.0,28.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,80.0,6.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,5.0,24.0
1150,Armidale Dumaresq (A),0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,19738.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,27.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,6.0,0.0,11.0,3.0,9.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,501.0,0.0,0.0,0.0,0.0,0.0,28.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,7.0,0.0,10.0,69.0,30.0,23.0,3.0,21.0,0.0,0.0,21.0,0.0,37.0,0.0,0.0,0.0,18.0,3.0,0.0,32.0,0.0,0.0,5.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,64.0,0.0,211.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1358.0,0,0.0,0.0,0.0,0.0,16.0,0.0,5.0,36.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,15.0,73.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,3.0,0.0,84.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,6.0,10.0,0.0,3.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,4.0,115.0,0.0,0.0,4.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,7.0
1151,Ashfield (A),0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,19175.0,0.0,0.0,0.0,23.0,0.0,0.0,4.0,229.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,37.0,0.0,5.0,15.0,0.0,0.0,27.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,52.0,0.0,0.0,18.0,0.0,162.0,0.0,45.0,22.0,9.0,0.0,0.0,0.0,17.0,25.0,84.0,7.0,919.0,0.0,0.0,3.0,9.0,0.0,164.0,12.0,48.0,0.0,0.0,0.0,0.0,13.0,0.0,146.0,22.0,0.0,460.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,3.0,0.0,0.0,451.0,73.0,3.0,31.0,1275.0,211.0,34.0,9.0,180.0,0.0,10.0,1958.0,3.0,149.0,0.0,3.0,3.0,14.0,0.0,0.0,469.0,3.0,25.0,20.0,322.0,0.0,0.0,0.0,0.0,17.0,0.0,19.0,0.0,0.0,0.0,226.0,3.0,0.0,63.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,300.0,62.0,11.0,697.0,3.0,0.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,3466.0,0,3.0,18.0,0.0,0.0,47.0,5.0,59.0,700.0,272.0,0.0,0.0,167.0,0.0,0.0,0.0,40.0,0.0,55.0,0.0,11.0,0.0,0.0,5.0,152.0,0.0,52.0,0.0,6.0,104.0,25.0,17.0,3.0,4.0,103.0,4.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,20.0,21.0,28.0,82.0,0.0,16.0,195.0,0.0,0.0,50.0,0.0,0.0,105.0,0.0,0.0,0.0,3.0,36.0,5.0,124.0,63.0,3.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,3.0,20.0
1152,Auburn (A),0.0,1681.0,5.0,41.0,0.0,0.0,5.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,23769.0,0.0,0.0,0.0,33.0,5.0,3.0,3.0,221.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,205.0,0.0,7.0,0.0,3.0,20.0,0.0,12.0,162.0,0.0,34.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,135.0,0.0,0.0,21.0,0.0,12.0,51.0,0.0,394.0,5.0,102.0,14.0,5.0,0.0,0.0,0.0,4.0,4.0,209.0,25.0,495.0,0.0,12.0,3.0,71.0,0.0,427.0,12.0,22.0,0.0,0.0,0.0,0.0,38.0,0.0,153.0,37.0,0.0,259.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,682.0,30.0,0.0,111.0,1290.0,389.0,285.0,944.0,90.0,3.0,8.0,397.0,3.0,70.0,0.0,86.0,0.0,54.0,0.0,3.0,1769.0,109.0,71.0,20.0,2294.0,0.0,59.0,6.0,0.0,23.0,0.0,27.0,0.0,0.0,0.0,369.0,6.0,0.0,113.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,9.0,0.0,0.0,205.0,34.0,7.0,956.0,3.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,6664.0,114,3.0,674.0,0.0,0.0,38.0,0.0,45.0,1193.0,145.0,0.0,0.0,72.0,0.0,9.0,0.0,56.0,0.0,102.0,3.0,144.0,0.0,0.0,168.0,113.0,0.0,66.0,0.0,107.0,168.0,8.0,27.0,0.0,170.0,131.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,47.0,1142.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,0.0,0.0,7.0,10.0,156.0,171.0,0.0,20.0,140.0,0.0,14.0,336.0,0.0,0.0,2568.0,0.0,0.0,0.0,11.0,142.0,15.0,88.0,89.0,3.0,3.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,37.0
1153,Ballina (A),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,32681.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,8.0,3.0,17.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,1349.0,0.0,0.0,4.0,0.0,0.0,31.0,16.0,17.0,0.0,3.0,0.0,0.0,0.0,0.0,141.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,18.0,0.0,4.0,45.0,23.0,6.0,0.0,46.0,0.0,8.0,96.0,0.0,31.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,10.0,2044.0,0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,75.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,165.0,0.0,3.0,0.0,0.0,14.0,0.0,9.0,0.0,0.0,125.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,21.0,0.0,0.0,0.0,3.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,131.0,7.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,8.0,17.0
1154,Balranald (A),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
1155,Bankstown (C),0.0,145.0,6.0,31.0,0.0,0.0,3.0,0.0,0.0,0.0,176.0,0.0,3.0,0.0,3.0,96659.0,0.0,0.0,0.0,125.0,0.0,0.0,14.0,196.0,0.0,8.0,18.0,0.0,0.0,0.0,0.0,208.0,3.0,60.0,0.0,7.0,17.0,0.0,4.0,302.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,318.0,0.0,0.0,47.0,0.0,4.0,130.0,7.0,470.0,9.0,623.0,42.0,30.0,0.0,0.0,0.0,37.0,36.0,1169.0,47.0,2155.0,0.0,6.0,38.0,33.0,0.0,990.0,58.0,79.0,0.0,3.0,4.0,3.0,222.0,0.0,688.0,109.0,0.0,2383.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,8.0,0.0,0.0,0.0,797.0,156.0,3.0,118.0,1221.0,610.0,130.0,652.0,296.0,0.0,62.0,2080.0,0.0,99.0,0.0,272.0,0.0,31.0,0.0,6.0,1029.0,185.0,84.0,142.0,12082.0,4.0,9.0,39.0,0.0,90.0,0.0,21.0,0.0,0.0,0.0,461.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,390.0,0.0,0.0,13.0,0.0,0.0,5.0,0.0,0.0,0.0,16.0,0.0,21.0,0.0,0.0,0.0,42.0,201.0,15.0,2419.0,12.0,0.0,59.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,12.0,12761.0,0,4.0,563.0,0.0,3.0,51.0,5.0,96.0,1173.0,749.0,0.0,0.0,296.0,0.0,16.0,0.0,141.0,0.0,122.0,0.0,428.0,8.0,0.0,116.0,416.0,17.0,135.0,7.0,133.0,156.0,24.0,91.0,12.0,43.0,297.0,12.0,0.0,258.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,314.0,0.0,0.0,0.0,0.0,3.0,0.0,183.0,0.0,0.0,22.0,49.0,721.0,112.0,0.0,14.0,265.0,0.0,0.0,211.0,6.0,11.0,360.0,0.0,0.0,0.0,6.0,189.0,59.0,205.0,197.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,12.0,18.0,126.0
1156,Bathurst Regional (A),0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,31395.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,18.0,0.0,3.0,11.0,11.0,0.0,0.0,0.0,3.0,4.0,4.0,3.0,747.0,0.0,0.0,4.0,3.0,0.0,35.0,5.0,19.0,0.0,3.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,14.0,0.0,3.0,34.0,14.0,5.0,3.0,39.0,0.0,0.0,40.0,0.0,28.0,0.0,4.0,0.0,3.0,0.0,0.0,43.0,3.0,0.0,6.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,337.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,3.0,1708.0,0,0.0,3.0,0.0,0.0,25.0,0.0,0.0,74.0,17.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,10.0,157.0,0.0,13.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,4.0,3.0,76.0,0.0,0.0,3.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,3.0,6.0
1157,Baulkham Hills (A),0.0,328.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,138.0,0.0,23.0,0.0,3.0,105327.0,0.0,0.0,0.0,166.0,3.0,3.0,17.0,217.0,4.0,0.0,46.0,0.0,0.0,3.0,0.0,64.0,13.0,66.0,0.0,30.0,22.0,0.0,0.0,78.0,0.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,35.0,0.0,5.0,4.0,8.0,479.0,5.0,147.0,76.0,65.0,0.0,0.0,0.0,65.0,22.0,587.0,9.0,6053.0,0.0,0.0,30.0,9.0,0.0,756.0,62.0,108.0,0.0,4.0,0.0,0.0,32.0,0.0,805.0,63.0,5.0,433.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,2963.0,197.0,5.0,67.0,2920.0,678.0,991.0,108.0,488.0,3.0,63.0,1451.0,10.0,140.0,0.0,105.0,11.0,122.0,0.0,0.0,2036.0,33.0,29.0,54.0,1023.0,0.0,0.0,3.0,0.0,16.0,0.0,62.0,0.0,0.0,5.0,1687.0,0.0,0.0,551.0,3.0,0.0,0.0,0.0,184.0,0.0,0.0,26.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,6.0,3.0,20.0,515.0,13.0,2541.0,0.0,0.0,40.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0,0.0,26.0,6471.0,0,3.0,316.0,0.0,3.0,134.0,4.0,125.0,2116.0,550.0,0.0,0.0,53.0,3.0,3.0,0.0,85.0,0.0,100.0,0.0,18.0,0.0,0.0,43.0,780.0,3.0,97.0,10.0,4.0,539.0,27.0,49.0,19.0,0.0,1732.0,11.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,99.0,1778.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,3.0,66.0,106.0,79.0,534.0,0.0,32.0,195.0,0.0,0.0,36.0,13.0,3.0,277.0,0.0,0.0,0.0,21.0,66.0,45.0,745.0,161.0,9.0,12.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,59.0,154.0
1158,Bega Valley (A),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,25863.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,23.0,0.0,5.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1435.0,0.0,0.0,3.0,0.0,0.0,10.0,11.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,0.0,4.0,24.0,14.0,5.0,4.0,44.0,0.0,3.0,51.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,14.0,1684.0,0,0.0,3.0,0.0,0.0,10.0,0.0,0.0,68.0,28.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,68.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,27.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,4.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,8.0
